GlcCer_NDS,[M+H]+,[M-C6H10O5+H]+,[M-Hex-H2O+H]+,[M-Hex-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
GlcCer_NDS(d17:0/18:2)+H,712.57225,550.51935,532.50875,514.49825,270.27855,252.26805,280.26295,240.26805
GlcCer_NDS(d17:0/18:3)+H,710.55655,548.50375,530.49315,512.48255,270.27855,252.26805,278.24735,240.26805
GlcCer_NDS(d17:0/18:4)+H,708.54085,546.48805,528.47745,510.46695,270.27855,252.26805,276.23165,240.26805
GlcCer_NDS(d17:0/19:0)+H,730.61915,568.56625,550.55575,532.54515,270.27855,252.26805,298.30995,240.26805
GlcCer_NDS(d17:0/19:1)+H,728.60355,566.55065,548.54005,530.52955,270.27855,252.26805,296.29425,240.26805
GlcCer_NDS(d17:0/19:2)+H,726.58785,564.53505,546.52445,528.51385,270.27855,252.26805,294.27855,240.26805
GlcCer_NDS(d17:0/19:3)+H,724.57225,562.51935,544.50875,526.49825,270.27855,252.26805,292.26295,240.26805
GlcCer_NDS(d17:0/19:4)+H,722.55655,560.50375,542.49315,524.48255,270.27855,252.26805,290.24735,240.26805
GlcCer_NDS(d17:0/20:0)+H,744.63475,582.58195,564.57145,546.56075,270.27855,252.26805,312.32555,240.26805
GlcCer_NDS(d17:0/20:1)+H,742.61915,580.56625,562.55575,544.54515,270.27855,252.26805,310.30995,240.26805
GlcCer_NDS(d17:0/20:2)+H,740.60355,578.55065,560.54005,542.52955,270.27855,252.26805,308.29425,240.26805
GlcCer_NDS(d17:0/20:3)+H,738.58785,576.53505,558.52445,540.51385,270.27855,252.26805,306.27855,240.26805
GlcCer_NDS(d17:0/20:4)+H,736.57225,574.51935,556.50875,538.49825,270.27855,252.26805,304.26295,240.26805
GlcCer_NDS(d17:0/21:0)+H,758.65045,596.59755,578.58705,560.57645,270.27855,252.26805,326.34115,240.26805
GlcCer_NDS(d17:0/21:1)+H,756.63475,594.58195,576.57145,558.56075,270.27855,252.26805,324.32555,240.26805
GlcCer_NDS(d17:0/21:2)+H,754.61915,592.56625,574.55575,556.54515,270.27855,252.26805,322.30995,240.26805
GlcCer_NDS(d17:0/21:3)+H,752.60355,590.55065,572.54005,554.52955,270.27855,252.26805,320.29425,240.26805
GlcCer_NDS(d17:0/21:4)+H,750.58785,588.53505,570.52445,552.51385,270.27855,252.26805,318.27855,240.26805
GlcCer_NDS(d17:0/22:0)+H,772.66605,610.61325,592.60265,574.59215,270.27855,252.26805,340.35685,240.26805
GlcCer_NDS(d17:0/22:1)+H,770.65045,608.59755,590.58705,572.57645,270.27855,252.26805,338.34115,240.26805
GlcCer_NDS(d17:0/22:2)+H,768.63475,606.58195,588.57145,570.56075,270.27855,252.26805,336.32555,240.26805
GlcCer_NDS(d17:0/22:3)+H,766.61915,604.56625,586.55575,568.54515,270.27855,252.26805,334.30995,240.26805
GlcCer_NDS(d17:0/22:4)+H,764.60355,602.55065,584.54005,566.52955,270.27855,252.26805,332.29425,240.26805
GlcCer_NDS(d17:0/23:0)+H,786.68175,624.62895,606.61835,588.60775,270.27855,252.26805,354.37245,240.26805
GlcCer_NDS(d17:0/23:1)+H,784.66605,622.61325,604.60265,586.59215,270.27855,252.26805,352.35685,240.26805
GlcCer_NDS(d17:0/23:2)+H,782.65045,620.59755,602.58705,584.57645,270.27855,252.26805,350.34115,240.26805
GlcCer_NDS(d17:0/23:3)+H,780.63475,618.58195,600.57145,582.56075,270.27855,252.26805,348.32555,240.26805
GlcCer_NDS(d17:0/23:4)+H,778.61915,616.56625,598.55575,580.54515,270.27855,252.26805,346.30995,240.26805
GlcCer_NDS(d17:0/24:0)+H,800.69735,638.64455,620.63395,602.62345,270.27855,252.26805,368.38815,240.26805
GlcCer_NDS(d17:0/24:1)+H,798.68175,636.62895,618.61835,600.60775,270.27855,252.26805,366.37245,240.26805
GlcCer_NDS(d17:0/24:2)+H,796.66605,634.61325,616.60265,598.59215,270.27855,252.26805,364.35685,240.26805
GlcCer_NDS(d17:0/24:3)+H,794.65045,632.59755,614.58705,596.57645,270.27855,252.26805,362.34115,240.26805
GlcCer_NDS(d17:0/24:4)+H,792.63475,630.58195,612.57145,594.56075,270.27855,252.26805,360.32555,240.26805
GlcCer_NDS(d17:0/25:0)+H,814.71305,652.66025,634.64965,616.63905,270.27855,252.26805,382.40385,240.26805
GlcCer_NDS(d17:0/25:1)+H,812.69735,650.64455,632.63395,614.62345,270.27855,252.26805,380.38815,240.26805
GlcCer_NDS(d17:0/25:2)+H,810.68175,648.62895,630.61835,612.60775,270.27855,252.26805,378.37245,240.26805
GlcCer_NDS(d17:0/25:3)+H,808.66605,646.61325,628.60265,610.59215,270.27855,252.26805,376.35685,240.26805
GlcCer_NDS(d17:0/25:4)+H,806.65045,644.59755,626.58705,608.57645,270.27855,252.26805,374.34115,240.26805
GlcCer_NDS(d17:0/26:0)+H,828.72865,666.67585,648.66525,630.65475,270.27855,252.26805,396.41945,240.26805
GlcCer_NDS(d17:0/26:1)+H,826.71305,664.66025,646.64965,628.63905,270.27855,252.26805,394.40385,240.26805
GlcCer_NDS(d17:0/26:2)+H,824.69735,662.64455,644.63395,626.62345,270.27855,252.26805,392.38815,240.26805
GlcCer_NDS(d17:0/26:3)+H,822.68175,660.62895,642.61835,624.60775,270.27855,252.26805,390.37245,240.26805
GlcCer_NDS(d17:0/26:4)+H,820.66605,658.61325,640.60265,622.59215,270.27855,252.26805,388.35685,240.26805
GlcCer_NDS(d17:0/27:0)+H,842.74435,680.69155,662.68095,644.67035,270.27855,252.26805,410.43505,240.26805
GlcCer_NDS(d17:0/27:1)+H,840.72865,678.67585,660.66525,642.65475,270.27855,252.26805,408.41945,240.26805
GlcCer_NDS(d17:0/27:2)+H,838.71305,676.66025,658.64965,640.63905,270.27855,252.26805,406.40385,240.26805
GlcCer_NDS(d17:0/27:3)+H,836.69735,674.64455,656.63395,638.62345,270.27855,252.26805,404.38815,240.26805
GlcCer_NDS(d17:0/27:4)+H,834.68175,672.62895,654.61835,636.60775,270.27855,252.26805,402.37245,240.26805
