SM,[M+H]+,MH-PC,MH-N(CH3)3,Mprev-C2H4O4P,Mprev-H2O,PC Head,CH2CHN(CH3)3
SM(30:0)+H,649.52787,466.46183,590.45433,466.46175,448.45117,184.07332,86.09648
SM(30:1)+H,647.51227,464.44623,588.43873,464.44615,446.43557,184.07332,86.09648
SM(30:2)+H,645.49657,462.43053,586.42303,462.43045,444.41987,184.07332,86.09648
SM(30:3)+H,643.48097,460.41493,584.40743,460.41485,442.40427,184.07332,86.09648
SM(30:4)+H,641.46527,458.39923,582.39173,458.39915,440.38857,184.07332,86.09648
SM(30:5)+H,639.44967,456.38363,580.37613,456.38355,438.37297,184.07332,86.09648
SM(30:6)+H,637.43397,454.36793,578.36043,454.36785,436.35727,184.07332,86.09648
SM(31:0)+H,663.54357,480.47753,604.47003,480.47745,462.46687,184.07332,86.09648
SM(31:1)+H,661.52797,478.46193,602.45443,478.46185,460.45127,184.07332,86.09648
SM(31:2)+H,659.51227,476.44623,600.43873,476.44615,458.43557,184.07332,86.09648
SM(31:3)+H,657.49667,474.43063,598.42313,474.43055,456.41997,184.07332,86.09648
SM(31:4)+H,655.48097,472.41493,596.40743,472.41485,454.40427,184.07332,86.09648
SM(32:0)+H,677.55917,494.49313,618.48563,494.49305,476.48247,184.07332,86.09648
SM(32:1)+H,675.54357,492.47753,616.47003,492.47745,474.46687,184.07332,86.09648
SM(32:2)+H,673.52787,490.46183,614.45433,490.46175,472.45117,184.07332,86.09648
SM(32:3)+H,671.51227,488.44623,612.43873,488.44615,470.43557,184.07332,86.09648
SM(32:4)+H,669.49657,486.43053,610.42303,486.43045,468.41987,184.07332,86.09648
SM(32:5)+H,667.48097,484.41493,608.40743,484.41485,466.40427,184.07332,86.09648
SM(32:6)+H,665.46527,482.39923,606.39173,482.39915,464.38857,184.07332,86.09648
SM(33:0)+H,691.57487,508.50883,632.50133,508.50875,490.49817,184.07332,86.09648
SM(33:1)+H,689.55927,506.49323,630.48573,506.49315,488.48257,184.07332,86.09648
SM(33:2)+H,687.54357,504.47753,628.47003,504.47745,486.46687,184.07332,86.09648
SM(33:3)+H,685.52797,502.46193,626.45443,502.46185,484.45127,184.07332,86.09648
SM(33:4)+H,683.51227,500.44623,624.43873,500.44615,482.43557,184.07332,86.09648
SM(33:5)+H,681.49667,498.43063,622.42313,498.43055,480.41997,184.07332,86.09648
SM(34:0)+H,705.59047,522.52443,646.51693,522.52435,504.51377,184.07332,86.09648
SM(34:1)+H,703.57487,520.50883,644.50133,520.50875,502.49817,184.07332,86.09648
SM(34:2)+H,701.55917,518.49313,642.48563,518.49305,500.48247,184.07332,86.09648
SM(34:3)+H,699.54357,516.47753,640.47003,516.47745,498.46687,184.07332,86.09648
SM(34:4)+H,697.52787,514.46183,638.45433,514.46175,496.45117,184.07332,86.09648
SM(34:5)+H,695.51227,512.44623,636.43873,512.44615,494.43557,184.07332,86.09648
SM(34:6)+H,693.49657,510.43053,634.42303,510.43045,492.41987,184.07332,86.09648
SM(35:0)+H,719.60617,536.54013,660.53263,536.54005,518.52947,184.07332,86.09648
SM(35:1)+H,717.59057,534.52453,658.51703,534.52445,516.51387,184.07332,86.09648
SM(35:2)+H,715.57487,532.50883,656.50133,532.50875,514.49817,184.07332,86.09648
SM(35:3)+H,713.55927,530.49323,654.48573,530.49315,512.48257,184.07332,86.09648
SM(35:4)+H,711.54357,528.47753,652.47003,528.47745,510.46687,184.07332,86.09648
SM(35:5)+H,709.52797,526.46193,650.45443,526.46185,508.45127,184.07332,86.09648
SM(35:6)+H,707.51227,524.44623,648.43873,524.44615,506.43557,184.07332,86.09648
SM(36:0)+H,733.62177,550.55573,674.54823,550.55565,532.54507,184.07332,86.09648
SM(36:1)+H,731.60617,548.54013,672.53263,548.54005,530.52947,184.07332,86.09648
SM(36:2)+H,729.59047,546.52443,670.51693,546.52435,528.51377,184.07332,86.09648
SM(36:3)+H,727.57487,544.50883,668.50133,544.50875,526.49817,184.07332,86.09648
SM(36:4)+H,725.55917,542.49313,666.48563,542.49305,524.48247,184.07332,86.09648
SM(36:5)+H,723.54357,540.47753,664.47003,540.47745,522.46687,184.07332,86.09648
SM(36:6)+H,721.52787,538.46183,662.45433,538.46175,520.45117,184.07332,86.09648
SM(36:7)+H,719.51227,536.44623,660.43873,536.44615,518.43557,184.07332,86.09648
SM(36:8)+H,717.49657,534.43053,658.42303,534.43045,516.41987,184.07332,86.09648
SM(37:0)+H,747.63747,564.57143,688.56393,564.57135,546.56077,184.07332,86.09648
SM(37:1)+H,745.62187,562.55583,686.54833,562.55575,544.54517,184.07332,86.09648
SM(37:2)+H,743.60617,560.54013,684.53263,560.54005,542.52947,184.07332,86.09648
SM(37:3)+H,741.59057,558.52453,682.51703,558.52445,540.51387,184.07332,86.09648
SM(37:4)+H,739.57487,556.50883,680.50133,556.50875,538.49817,184.07332,86.09648
SM(37:5)+H,737.55927,554.49323,678.48573,554.49315,536.48257,184.07332,86.09648
SM(37:6)+H,735.54357,552.47753,676.47003,552.47745,534.46687,184.07332,86.09648
SM(37:7)+H,733.52787,550.46183,674.45433,550.46175,532.45117,184.07332,86.09648
SM(38:0)+H,761.65307,578.58703,702.57953,578.58695,560.57637,184.07332,86.09648
SM(38:1)+H,759.63747,576.57143,700.56393,576.57135,558.56077,184.07332,86.09648
SM(38:2)+H,757.62187,574.55583,698.54833,574.55575,556.54517,184.07332,86.09648
SM(38:3)+H,755.60617,572.54013,696.53263,572.54005,554.52947,184.07332,86.09648
SM(38:4)+H,753.59047,570.52443,694.51693,570.52435,552.51377,184.07332,86.09648
SM(38:5)+H,751.57487,568.50883,692.50133,568.50875,550.49817,184.07332,86.09648
SM(38:6)+H,749.55917,566.49313,690.48563,566.49305,548.48247,184.07332,86.09648
SM(38:7)+H,747.54357,564.47753,688.47003,564.47745,546.46687,184.07332,86.09648
SM(38:8)+H,745.52797,562.46193,686.45443,562.46185,544.45127,184.07332,86.09648
SM(38:9)+H,743.51227,560.44623,684.43873,560.44615,542.43557,184.07332,86.09648
SM(39:0)+H,775.66877,592.60273,716.59523,592.60265,574.59207,184.07332,86.09648
SM(39:1)+H,773.65317,590.58713,714.57963,590.58705,572.57647,184.07332,86.09648
SM(39:2)+H,771.63747,588.57143,712.56393,588.57135,570.56077,184.07332,86.09648
SM(39:3)+H,769.62187,586.55583,710.54833,586.55575,568.54517,184.07332,86.09648
SM(39:4)+H,767.60617,584.54013,708.53263,584.54005,566.52947,184.07332,86.09648
SM(39:5)+H,765.59057,582.52453,706.51703,582.52445,564.51387,184.07332,86.09648
SM(39:6)+H,763.57487,580.50883,704.50133,580.50875,562.49817,184.07332,86.09648
SM(39:7)+H,761.55917,578.49313,702.48563,578.49305,560.48247,184.07332,86.09648
SM(39:8)+H,759.54357,576.47753,700.47003,576.47745,558.46687,184.07332,86.09648
SM(40:0)+H,789.68437,606.61833,730.61083,606.61825,588.60767,184.07332,86.09648
SM(40:1)+H,787.66877,604.60273,728.59523,604.60265,586.59207,184.07332,86.09648
SM(40:10)+H,769.52787,586.46183,710.45433,586.46175,568.45117,184.07332,86.09648
SM(40:2)+H,785.65317,602.58713,726.57963,602.58705,584.57647,184.07332,86.09648
SM(40:3)+H,783.63747,600.57143,724.56393,600.57135,582.56077,184.07332,86.09648
SM(40:4)+H,781.62177,598.55573,722.54823,598.55565,580.54507,184.07332,86.09648
SM(40:5)+H,779.60617,596.54013,720.53263,596.54005,578.52947,184.07332,86.09648
SM(40:6)+H,777.59047,594.52443,718.51693,594.52435,576.51377,184.07332,86.09648
SM(40:7)+H,775.57487,592.50883,716.50133,592.50875,574.49817,184.07332,86.09648
SM(40:8)+H,773.55917,590.49313,714.48563,590.49305,572.48247,184.07332,86.09648
SM(40:9)+H,771.54357,588.47753,712.47003,588.47745,570.46687,184.07332,86.09648
SM(41:0)+H,803.70007,620.63403,744.62653,620.63395,602.62337,184.07332,86.09648
SM(41:1)+H,801.68437,618.61833,742.61083,618.61825,600.60767,184.07332,86.09648
SM(41:2)+H,799.66877,616.60273,740.59523,616.60265,598.59207,184.07332,86.09648
SM(41:3)+H,797.65317,614.58713,738.57963,614.58705,596.57647,184.07332,86.09648
SM(41:4)+H,795.63747,612.57143,736.56393,612.57135,594.56077,184.07332,86.09648
SM(41:5)+H,793.62187,610.55583,734.54833,610.55575,592.54517,184.07332,86.09648
SM(41:6)+H,791.60617,608.54013,732.53263,608.54005,590.52947,184.07332,86.09648
SM(42:0)+H,817.71567,634.64963,758.64213,634.64955,616.63897,184.07332,86.09648
SM(42:1)+H,815.70007,632.63403,756.62653,632.63395,614.62337,184.07332,86.09648
SM(42:10)+H,797.55917,614.49313,738.48563,614.49305,596.48247,184.07332,86.09648
SM(42:11)+H,795.54357,612.47753,736.47003,612.47745,594.46687,184.07332,86.09648
SM(42:2)+H,813.68447,630.61843,754.61093,630.61835,612.60777,184.07332,86.09648
SM(42:3)+H,811.66877,628.60273,752.59523,628.60265,610.59207,184.07332,86.09648
SM(42:4)+H,809.65317,626.58713,750.57963,626.58705,608.57647,184.07332,86.09648
SM(42:5)+H,807.63747,624.57143,748.56393,624.57135,606.56077,184.07332,86.09648
SM(42:6)+H,805.62177,622.55573,746.54823,622.55565,604.54507,184.07332,86.09648
SM(42:7)+H,803.60617,620.54013,744.53263,620.54005,602.52947,184.07332,86.09648
SM(42:8)+H,801.59047,618.52443,742.51693,618.52435,600.51377,184.07332,86.09648
SM(42:9)+H,799.57487,616.50883,740.50133,616.50875,598.49817,184.07332,86.09648
SM(43:0)+H,831.73137,648.66533,772.65783,648.66525,630.65467,184.07332,86.09648
SM(43:1)+H,829.71567,646.64963,770.64213,646.64955,628.63897,184.07332,86.09648
SM(43:2)+H,827.70007,644.63403,768.62653,644.63395,626.62337,184.07332,86.09648
SM(43:3)+H,825.68447,642.61843,766.61093,642.61835,624.60777,184.07332,86.09648
SM(43:4)+H,823.66877,640.60273,764.59523,640.60265,622.59207,184.07332,86.09648
SM(43:5)+H,821.65317,638.58713,762.57963,638.58705,620.57647,184.07332,86.09648
SM(43:6)+H,819.63747,636.57143,760.56393,636.57135,618.56077,184.07332,86.09648
SM(44:0)+H,845.74697,662.68093,786.67343,662.68085,644.67027,184.07332,86.09648
SM(44:1)+H,843.73137,660.66533,784.65783,660.66525,642.65467,184.07332,86.09648
SM(44:10)+H,825.59047,642.52443,766.51693,642.52435,624.51377,184.07332,86.09648
SM(44:11)+H,823.57487,640.50883,764.50133,640.50875,622.49817,184.07332,86.09648
SM(44:12)+H,821.55917,638.49313,762.48563,638.49305,620.48247,184.07332,86.09648
SM(44:2)+H,841.71567,658.64963,782.64213,658.64955,640.63897,184.07332,86.09648
SM(44:3)+H,839.70007,656.63403,780.62653,656.63395,638.62337,184.07332,86.09648
SM(44:4)+H,837.68437,654.61833,778.61083,654.61825,636.60767,184.07332,86.09648
SM(44:5)+H,835.66877,652.60273,776.59523,652.60265,634.59207,184.07332,86.09648
SM(44:6)+H,833.65317,650.58713,774.57963,650.58705,632.57647,184.07332,86.09648
SM(44:7)+H,831.63747,648.57143,772.56393,648.57135,630.56077,184.07332,86.09648
SM(44:8)+H,829.62177,646.55573,770.54823,646.55565,628.54507,184.07332,86.09648
SM(44:9)+H,827.60617,644.54013,768.53263,644.54005,626.52947,184.07332,86.09648
SM(45:0)+H,859.76267,676.69663,800.68913,676.69655,658.68597,184.07332,86.09648
SM(45:1)+H,857.74707,674.68103,798.67353,674.68095,656.67037,184.07332,86.09648
SM(45:2)+H,855.73137,672.66533,796.65783,672.66525,654.65467,184.07332,86.09648
SM(45:3)+H,853.71577,670.64973,794.64223,670.64965,652.63907,184.07332,86.09648
SM(45:4)+H,851.70007,668.63403,792.62653,668.63395,650.62337,184.07332,86.09648
SM(45:5)+H,849.68447,666.61843,790.61093,666.61835,648.60777,184.07332,86.09648
SM(45:6)+H,847.66877,664.60273,788.59523,664.60265,646.59207,184.07332,86.09648
SM(46:0)+H,873.77827,690.71223,814.70473,690.71215,672.70157,184.07332,86.09648
SM(46:1)+H,871.76267,688.69663,812.68913,688.69655,670.68597,184.07332,86.09648
SM(46:2)+H,869.74697,686.68093,810.67343,686.68085,668.67027,184.07332,86.09648
SM(46:3)+H,867.73137,684.66533,808.65783,684.66525,666.65467,184.07332,86.09648
SM(46:4)+H,865.71567,682.64963,806.64213,682.64955,664.63897,184.07332,86.09648
SM(46:5)+H,863.70007,680.63403,804.62653,680.63395,662.62337,184.07332,86.09648
SM(46:6)+H,861.68447,678.61843,802.61093,678.61835,660.60777,184.07332,86.09648
SM(46:7)+H,859.66877,676.60273,800.59523,676.60265,658.59207,184.07332,86.09648
SM(47:0)+H,887.79397,704.72793,828.72043,704.72785,686.71727,184.07332,86.09648
SM(47:1)+H,885.77837,702.71233,826.70483,702.71225,684.70167,184.07332,86.09648
SM(47:2)+H,883.76267,700.69663,824.68913,700.69655,682.68597,184.07332,86.09648
SM(47:3)+H,881.74707,698.68103,822.67353,698.68095,680.67037,184.07332,86.09648
SM(47:4)+H,879.73137,696.66533,820.65783,696.66525,678.65467,184.07332,86.09648
SM(47:5)+H,877.71577,694.64973,818.64223,694.64965,676.63907,184.07332,86.09648
SM(47:6)+H,875.70007,692.63403,816.62653,692.63395,674.62337,184.07332,86.09648
SM(48:0)+H,901.80957,718.74353,842.73603,718.74345,700.73287,184.07332,86.09648
SM(48:1)+H,899.79397,716.72793,840.72043,716.72785,698.71727,184.07332,86.09648
SM(48:2)+H,897.77827,714.71223,838.70473,714.71215,696.70157,184.07332,86.09648
SM(48:3)+H,895.76267,712.69663,836.68913,712.69655,694.68597,184.07332,86.09648
SM(48:4)+H,893.74697,710.68093,834.67343,710.68085,692.67027,184.07332,86.09648
SM(48:5)+H,891.73137,708.66533,832.65783,708.66525,690.65467,184.07332,86.09648
SM(48:6)+H,889.71567,706.64963,830.64213,706.64955,688.63897,184.07332,86.09648
SM(49:0)+H,915.82527,732.75923,856.75173,732.75915,714.74857,184.07332,86.09648
SM(49:1)+H,913.80967,730.74363,854.73613,730.74355,712.73297,184.07332,86.09648
SM(50:0)+H,929.84087,746.77483,870.76733,746.77475,728.76417,184.07332,86.09648
SM(50:1)+H,927.82527,744.75923,868.75173,744.75915,726.74857,184.07332,86.09648
SM(51:0)+H,943.85657,760.79053,884.78303,760.79045,742.77987,184.07332,86.09648
SM(52:0)+H,957.87217,774.80613,898.79863,774.80605,756.79547,184.07332,86.09648
