PE,[M+H]+,NL_head,head
PE(43:1)+H,844.67898,703.65987,142.02639
PE(43:2)+H,842.66338,701.64427,142.02639
PE(43:3)+H,840.64778,699.62867,142.02639
PE(43:4)+H,838.63208,697.61297,142.02639
PE(43:5)+H,836.61648,695.59737,142.02639
PE(43:6)+H,834.60078,693.58167,142.02639
PE(44:0)+H,860.71028,719.69117,142.02639
PE(44:1)+H,858.69468,717.67557,142.02639
PE(44:10)+H,840.55378,699.53467,142.02639
PE(44:11)+H,838.53818,697.51907,142.02639
PE(44:12)+H,836.52248,695.50337,142.02639
PE(44:2)+H,856.67898,715.65987,142.02639
PE(44:3)+H,854.66338,713.64427,142.02639
PE(44:4)+H,852.64768,711.62857,142.02639
PE(44:5)+H,850.63208,709.61297,142.02639
PE(44:6)+H,848.61648,707.59737,142.02639
PE(44:7)+H,846.60078,705.58167,142.02639
PE(44:8)+H,844.58508,703.56597,142.02639
PE(44:9)+H,842.56948,701.55037,142.02639
PE(45:0)+H,874.72598,733.70687,142.02639
PE(45:1)+H,872.71038,731.69127,142.02639
PE(45:2)+H,870.69468,729.67557,142.02639
PE(45:3)+H,868.67908,727.65997,142.02639
PE(45:4)+H,866.66338,725.64427,142.02639
PE(45:5)+H,864.64778,723.62867,142.02639
PE(45:6)+H,862.63208,721.61297,142.02639
PE(46:0)+H,888.74158,747.72247,142.02639
PE(46:1)+H,886.72598,745.70687,142.02639
PE(46:2)+H,884.71028,743.69117,142.02639
PE(46:3)+H,882.69468,741.67557,142.02639
PE(46:4)+H,880.67898,739.65987,142.02639
PE(46:5)+H,878.66338,737.64427,142.02639
PE(46:6)+H,876.64778,735.62867,142.02639
PE(46:7)+H,874.63208,733.61297,142.02639
PE(47:0)+H,902.75728,761.73817,142.02639
PE(47:1)+H,900.74168,759.72257,142.02639
PE(47:2)+H,898.72598,757.70687,142.02639
PE(47:3)+H,896.71038,755.69127,142.02639
PE(47:4)+H,894.69468,753.67557,142.02639
PE(47:5)+H,892.67908,751.65997,142.02639
PE(47:6)+H,890.66338,749.64427,142.02639
PE(48:0)+H,916.77288,775.75377,142.02639
PE(48:1)+H,914.75728,773.73817,142.02639
PE(48:2)+H,912.74158,771.72247,142.02639
PE(48:3)+H,910.72598,769.70687,142.02639
PE(48:4)+H,908.71028,767.69117,142.02639
PE(48:5)+H,906.69468,765.67557,142.02639
PE(48:6)+H,904.67898,763.65987,142.02639
PE(49:0)+H,930.78858,789.76947,142.02639
PE(49:1)+H,928.77298,787.75387,142.02639
PE(50:0)+H,944.80418,803.78507,142.02639
PE(50:1)+H,942.78858,801.76947,142.02639
PE(51:0)+H,958.81988,817.80077,142.02639
PE(52:0)+H,972.83548,831.81637,142.02639
