Ac4PIM2,[M-H]-,M-sn1,M-sn2,M-sn3,M-sn4,M-sn1-sn2,M-sn3-sn4,M-sn1-sn2-C3H5O,M-sn3-sn4-C3H5O
Ac4PIM2(14:0_14:0_17:1_16:1)-H,1564.004737,1335.795937,1335.795937,1295.764657,1309.780297,1107.587137,1041.540217,1051.560927,985.5140068
Ac4PIM2(14:0_14:0_17:1_17:1)-H,1578.020387,1349.811587,1349.811587,1309.780307,1309.780307,1121.602787,1041.540227,1065.576577,985.5140169
Ac4PIM2(14:0_14:0_17:1_18:1)-H,1592.036037,1363.827237,1363.827237,1323.795957,1309.780317,1135.618437,1041.540237,1079.592227,985.514027
Ac4PIM2(14:0_14:0_17:1_18:2)-H,1590.020387,1361.811587,1361.811587,1321.780307,1309.780307,1133.602787,1041.540227,1077.576577,985.5140169
Ac4PIM2(14:0_14:0_17:1_methyl-18:0)-H,1608.067337,1379.858537,1379.858537,1339.827257,1309.780337,1151.649737,1041.540257,1095.623527,985.5140471
Ac4PIM2(14:0_14:0_18:1_14:0)-H,1552.004737,1323.795937,1323.795937,1269.749017,1323.795937,1095.587137,1041.540217,1039.560927,985.5140068
Ac4PIM2(14:0_14:0_18:1_15:0)-H,1566.020387,1337.811587,1337.811587,1283.764667,1323.795947,1109.602787,1041.540227,1053.576577,985.5140169
Ac4PIM2(14:0_14:0_18:1_16:0)-H,1580.036037,1351.827237,1351.827237,1297.780317,1323.795957,1123.618437,1041.540237,1067.592227,985.514027
Ac4PIM2(14:0_14:0_18:1_17:0)-H,1594.051687,1365.842887,1365.842887,1311.795967,1323.795967,1137.634087,1041.540247,1081.607877,985.514037
Ac4PIM2(14:0_14:0_18:1_18:0)-H,1608.067337,1379.858537,1379.858537,1325.811617,1323.795977,1151.649737,1041.540257,1095.623527,985.5140471
Ac4PIM2(14:0_14:0_18:1_19:0)-H,1622.082987,1393.874187,1393.874187,1339.827267,1323.795987,1165.665387,1041.540267,1109.639177,985.5140572
Ac4PIM2(14:0_14:0_18:1_20:0)-H,1636.098637,1407.889837,1407.889837,1353.842917,1323.795997,1179.681037,1041.540277,1123.654827,985.5140672
Ac4PIM2(14:0_14:0_18:1_16:1)-H,1578.020387,1349.811587,1349.811587,1295.764667,1323.795947,1121.602787,1041.540227,1065.576577,985.5140169
Ac4PIM2(14:0_14:0_18:1_17:1)-H,1592.036037,1363.827237,1363.827237,1309.780317,1323.795957,1135.618437,1041.540237,1079.592227,985.514027
Ac4PIM2(14:0_14:0_18:1_18:1)-H,1606.051687,1377.842887,1377.842887,1323.795967,1323.795967,1149.634087,1041.540247,1093.607877,985.514037
Ac4PIM2(14:0_14:0_18:1_18:2)-H,1604.036037,1375.827237,1375.827237,1321.780317,1323.795957,1147.618437,1041.540237,1091.592227,985.514027
Ac4PIM2(14:0_14:0_18:1_methyl-18:0)-H,1622.082987,1393.874187,1393.874187,1339.827267,1323.795987,1165.665387,1041.540267,1109.639177,985.5140572
