PS,[M+Na]+,M+Na-87.03203,M+Na-97.9769 (H3PO4),M+Na-185.00892,M+Na-C3H7NO6PNa,NL_87_T1_RCOOH,NL_87_T2_RCOOH,Phosphoserine+Na
PS(13:0_25:0)+Na,842.5882249,755.5561949,744.6113249,559.6024049,635.5973549,541.3628649,373.1750649,207.99872
PS(13:0_26:0)+Na,856.6038249,769.5717949,758.6269249,573.6180049,649.6129549,555.3784649,373.1750649,207.99872
PS(14:0_14:0)+Na,702.4316249,615.3995949,604.4547249,419.4458049,495.4407549,387.1906649,387.1906649,207.99872
PS(14:0_14:1)+Na,700.4160249,613.3839949,602.4391249,417.4302049,493.4251549,385.1750649,387.1906649,207.99872
PS(14:0_15:0)+Na,716.4473249,629.4152949,618.4704249,433.4615049,509.4564549,401.2063649,387.1906649,207.99872
PS(14:0_15:1)+Na,714.4316249,627.3995949,616.4547249,431.4458049,507.4407549,399.1906649,387.1906649,207.99872
PS(14:0_16:0)+Na,730.4629249,643.4308949,632.4860249,447.4771049,523.4720549,415.2219649,387.1906649,207.99872
PS(14:0_16:1)+Na,728.4473249,641.4152949,630.4704249,445.4615049,521.4564549,413.2063649,387.1906649,207.99872
PS(14:0_17:0)+Na,744.4786249,657.4465949,646.5017249,461.4928049,537.4877549,429.2376649,387.1906649,207.99872
PS(14:0_17:1)+Na,742.4629249,655.4308949,644.4860249,459.4771049,535.4720549,427.2219649,387.1906649,207.99872
PS(14:0_17:2)+Na,740.4473249,653.4152949,642.4704249,457.4615049,533.4564549,425.2063649,387.1906649,207.99872
PS(14:0_18:0)+Na,758.4942249,671.4621949,660.5173249,475.5084049,551.5033549,443.2532649,387.1906649,207.99872
PS(14:0_18:1)+Na,756.4786249,669.4465949,658.5017249,473.4928049,549.4877549,441.2376649,387.1906649,207.99872
PS(14:0_18:2)+Na,754.4629249,667.4308949,656.4860249,471.4771049,547.4720549,439.2219649,387.1906649,207.99872
PS(14:0_18:3)+Na,752.4473249,665.4152949,654.4704249,469.4615049,545.4564549,437.2063649,387.1906649,207.99872
PS(14:0_18:4)+Na,750.4316249,663.3995949,652.4547249,467.4458049,543.4407549,435.1906649,387.1906649,207.99872
PS(14:0_19:0)+Na,772.5099249,685.4778949,674.5330249,489.5241049,565.5190549,457.2689649,387.1906649,207.99872
PS(14:0_20:0)+Na,786.5255249,699.4934949,688.5486249,503.5397049,579.5346549,471.2845649,387.1906649,207.99872
PS(14:0_20:1)+Na,784.5099249,697.4778949,686.5330249,501.5241049,577.5190549,469.2689649,387.1906649,207.99872
PS(14:0_20:2)+Na,782.4942249,695.4621949,684.5173249,499.5084049,575.5033549,467.2532649,387.1906649,207.99872
PS(14:0_20:3)+Na,780.4786249,693.4465949,682.5017249,497.4928049,573.4877549,465.2376649,387.1906649,207.99872
PS(14:0_20:4)+Na,778.4629249,691.4308949,680.4860249,495.4771049,571.4720549,463.2219649,387.1906649,207.99872
PS(14:0_20:5)+Na,776.4473249,689.4152949,678.4704249,493.4615049,569.4564549,461.2063649,387.1906649,207.99872
PS(14:0_21:0)+Na,800.5412249,713.5091949,702.5643249,517.5554049,593.5503549,485.3002649,387.1906649,207.99872
