DG,[M+NH4]+,sn1_NL,sn2_NL,sn1_acylChain([RC=O]+),sn2_acylChain([RC=O]+),sn1_acylChain([RC=O]+)-H2O,sn2_acylChain([RC=O]+)-H2O,sn1_acylChain([RC=O]+74)-H2O,sn2_acylChain([RC=O]+74)-H2O
DG(15:0_20:2)+NH4,624.5562,365.305,299.2581,225.2213,291.2682,207.2108,273.2577,281.2476,347.2945
DG(15:0_20:3)+NH4,622.5406,363.2894,299.2581,225.2213,289.2526,207.2108,271.2421,281.2476,345.2789
DG(15:0_20:4)+NH4,620.5249,361.2737,299.2581,225.2213,287.2369,207.2108,269.2264,281.2476,343.2632
DG(15:0_20:5)+NH4,618.5093,359.2581,299.2581,225.2213,285.2213,207.2108,267.2108,281.2476,341.2476
DG(15:0_21:0)+NH4,642.6032,383.352,299.2581,225.2213,309.3152,207.2108,291.3047,281.2476,365.3415
DG(15:0_22:0)+NH4,656.6188,397.3676,299.2581,225.2213,323.3308,207.2108,305.3203,281.2476,379.3571
DG(15:0_22:1)+NH4,654.6032,395.352,299.2581,225.2213,321.3152,207.2108,303.3047,281.2476,377.3415
DG(15:0_22:2)+NH4,652.5875,393.3363,299.2581,225.2213,319.2995,207.2108,301.289,281.2476,375.3258
DG(15:0_22:3)+NH4,650.5719,391.3207,299.2581,225.2213,317.2839,207.2108,299.2734,281.2476,373.3102
DG(15:0_22:4)+NH4,648.5562,389.305,299.2581,225.2213,315.2682,207.2108,297.2577,281.2476,371.2945
DG(15:0_22:5)+NH4,646.5406,387.2894,299.2581,225.2213,313.2526,207.2108,295.2421,281.2476,369.2789
DG(15:0_22:6)+NH4,644.5249,385.2737,299.2581,225.2213,311.2369,207.2108,293.2264,281.2476,367.2632
DG(15:0_23:0)+NH4,670.6345,411.3833,299.2581,225.2213,337.3465,207.2108,319.336,281.2476,393.3728
DG(15:0_24:0)+NH4,684.6501,425.3989,299.2581,225.2213,351.3621,207.2108,333.3516,281.2476,407.3884
DG(15:0_24:1)+NH4,682.6345,423.3833,299.2581,225.2213,349.3465,207.2108,331.336,281.2476,405.3728
DG(15:0_25:0)+NH4,698.6658,439.4146,299.2581,225.2213,365.3778,207.2108,347.3673,281.2476,421.4041
DG(15:0_26:0)+NH4,712.6814,453.4302,299.2581,225.2213,379.3934,207.2108,361.3829,281.2476,435.4197
DG(15:1_15:1)+NH4,554.4779,297.2424,297.2424,223.2056,223.2056,205.1951,205.1951,279.2319,279.2319
DG(15:1_16:0)+NH4,570.5092,313.2737,297.2424,223.2056,239.2369,205.1951,221.2264,279.2319,295.2632
DG(15:1_16:1)+NH4,568.4936,311.2581,297.2424,223.2056,237.2213,205.1951,219.2108,279.2319,293.2476
DG(15:1_17:0)+NH4,584.5249,327.2894,297.2424,223.2056,253.2526,205.1951,235.2421,279.2319,309.2789
DG(15:1_17:1)+NH4,582.5092,325.2737,297.2424,223.2056,251.2369,205.1951,233.2264,279.2319,307.2632
DG(15:1_17:2)+NH4,580.4936,323.2581,297.2424,223.2056,249.2213,205.1951,231.2108,279.2319,305.2476
DG(15:1_18:0)+NH4,598.5405,341.305,297.2424,223.2056,267.2682,205.1951,249.2577,279.2319,323.2945
DG(15:1_18:1)+NH4,596.5249,339.2894,297.2424,223.2056,265.2526,205.1951,247.2421,279.2319,321.2789
DG(15:1_18:2)+NH4,594.5092,337.2737,297.2424,223.2056,263.2369,205.1951,245.2264,279.2319,319.2632
DG(15:1_18:3)+NH4,592.4936,335.2581,297.2424,223.2056,261.2213,205.1951,243.2108,279.2319,317.2476
DG(15:1_18:4)+NH4,590.4779,333.2424,297.2424,223.2056,259.2056,205.1951,241.1951,279.2319,315.2319
DG(15:1_19:0)+NH4,612.5562,355.3207,297.2424,223.2056,281.2839,205.1951,263.2734,279.2319,337.3102
DG(15:1_20:0)+NH4,626.5718,369.3363,297.2424,223.2056,295.2995,205.1951,277.289,279.2319,351.3258
DG(15:1_20:1)+NH4,624.5562,367.3207,297.2424,223.2056,293.2839,205.1951,275.2734,279.2319,349.3102
DG(15:1_20:2)+NH4,622.5405,365.305,297.2424,223.2056,291.2682,205.1951,273.2577,279.2319,347.2945
DG(15:1_20:3)+NH4,620.5249,363.2894,297.2424,223.2056,289.2526,205.1951,271.2421,279.2319,345.2789
DG(15:1_20:4)+NH4,618.5092,361.2737,297.2424,223.2056,287.2369,205.1951,269.2264,279.2319,343.2632
DG(15:1_20:5)+NH4,616.4936,359.2581,297.2424,223.2056,285.2213,205.1951,267.2108,279.2319,341.2476
DG(15:1_21:0)+NH4,640.5875,383.352,297.2424,223.2056,309.3152,205.1951,291.3047,279.2319,365.3415
DG(15:1_22:0)+NH4,654.6031,397.3676,297.2424,223.2056,323.3308,205.1951,305.3203,279.2319,379.3571
DG(15:1_22:1)+NH4,652.5875,395.352,297.2424,223.2056,321.3152,205.1951,303.3047,279.2319,377.3415
DG(15:1_22:2)+NH4,650.5718,393.3363,297.2424,223.2056,319.2995,205.1951,301.289,279.2319,375.3258
DG(15:1_22:3)+NH4,648.5562,391.3207,297.2424,223.2056,317.2839,205.1951,299.2734,279.2319,373.3102
DG(15:1_22:4)+NH4,646.5405,389.305,297.2424,223.2056,315.2682,205.1951,297.2577,279.2319,371.2945
DG(15:1_22:5)+NH4,644.5249,387.2894,297.2424,223.2056,313.2526,205.1951,295.2421,279.2319,369.2789
DG(15:1_22:6)+NH4,642.5092,385.2737,297.2424,223.2056,311.2369,205.1951,293.2264,279.2319,367.2632
DG(15:1_23:0)+NH4,668.6188,411.3833,297.2424,223.2056,337.3465,205.1951,319.336,279.2319,393.3728
DG(15:1_24:0)+NH4,682.6344,425.3989,297.2424,223.2056,351.3621,205.1951,333.3516,279.2319,407.3884
DG(15:1_24:1)+NH4,680.6188,423.3833,297.2424,223.2056,349.3465,205.1951,331.336,279.2319,405.3728
DG(15:1_25:0)+NH4,696.6501,439.4146,297.2424,223.2056,365.3778,205.1951,347.3673,279.2319,421.4041
DG(15:1_26:0)+NH4,710.6657,453.4302,297.2424,223.2056,379.3934,205.1951,361.3829,279.2319,435.4197
DG(16:0_16:0)+NH4,586.5405,313.2737,313.2737,239.2369,239.2369,221.2264,221.2264,295.2632,295.2632
DG(16:0_16:1)+NH4,584.5249,311.2581,313.2737,239.2369,237.2213,221.2264,219.2108,295.2632,293.2476
DG(16:0_17:0)+NH4,600.5562,327.2894,313.2737,239.2369,253.2526,221.2264,235.2421,295.2632,309.2789
DG(16:0_17:1)+NH4,598.5405,325.2737,313.2737,239.2369,251.2369,221.2264,233.2264,295.2632,307.2632
DG(16:0_17:2)+NH4,596.5249,323.2581,313.2737,239.2369,249.2213,221.2264,231.2108,295.2632,305.2476
DG(16:0_18:0)+NH4,614.5718,341.305,313.2737,239.2369,267.2682,221.2264,249.2577,295.2632,323.2945
DG(16:0_18:1)+NH4,612.5562,339.2894,313.2737,239.2369,265.2526,221.2264,247.2421,295.2632,321.2789
DG(16:0_18:2)+NH4,610.5405,337.2737,313.2737,239.2369,263.2369,221.2264,245.2264,295.2632,319.2632
DG(16:0_18:3)+NH4,608.5249,335.2581,313.2737,239.2369,261.2213,221.2264,243.2108,295.2632,317.2476
DG(16:0_18:4)+NH4,606.5092,333.2424,313.2737,239.2369,259.2056,221.2264,241.1951,295.2632,315.2319
DG(16:0_19:0)+NH4,628.5875,355.3207,313.2737,239.2369,281.2839,221.2264,263.2734,295.2632,337.3102
DG(16:0_20:0)+NH4,642.6031,369.3363,313.2737,239.2369,295.2995,221.2264,277.289,295.2632,351.3258
DG(16:0_20:1)+NH4,640.5875,367.3207,313.2737,239.2369,293.2839,221.2264,275.2734,295.2632,349.3102
DG(16:0_20:2)+NH4,638.5718,365.305,313.2737,239.2369,291.2682,221.2264,273.2577,295.2632,347.2945
DG(16:0_20:3)+NH4,636.5562,363.2894,313.2737,239.2369,289.2526,221.2264,271.2421,295.2632,345.2789
DG(16:0_20:4)+NH4,634.5405,361.2737,313.2737,239.2369,287.2369,221.2264,269.2264,295.2632,343.2632
DG(16:0_20:5)+NH4,632.5249,359.2581,313.2737,239.2369,285.2213,221.2264,267.2108,295.2632,341.2476
DG(16:0_21:0)+NH4,656.6188,383.352,313.2737,239.2369,309.3152,221.2264,291.3047,295.2632,365.3415
DG(16:0_22:0)+NH4,670.6344,397.3676,313.2737,239.2369,323.3308,221.2264,305.3203,295.2632,379.3571
DG(16:0_22:1)+NH4,668.6188,395.352,313.2737,239.2369,321.3152,221.2264,303.3047,295.2632,377.3415
DG(16:0_22:2)+NH4,666.6031,393.3363,313.2737,239.2369,319.2995,221.2264,301.289,295.2632,375.3258
DG(16:0_22:3)+NH4,664.5875,391.3207,313.2737,239.2369,317.2839,221.2264,299.2734,295.2632,373.3102
DG(16:0_22:4)+NH4,662.5718,389.305,313.2737,239.2369,315.2682,221.2264,297.2577,295.2632,371.2945
DG(16:0_22:5)+NH4,660.5562,387.2894,313.2737,239.2369,313.2526,221.2264,295.2421,295.2632,369.2789
DG(16:0_22:6)+NH4,658.5405,385.2737,313.2737,239.2369,311.2369,221.2264,293.2264,295.2632,367.2632
DG(16:0_23:0)+NH4,684.6501,411.3833,313.2737,239.2369,337.3465,221.2264,319.336,295.2632,393.3728
DG(16:0_24:0)+NH4,698.6657,425.3989,313.2737,239.2369,351.3621,221.2264,333.3516,295.2632,407.3884
DG(16:0_24:1)+NH4,696.6501,423.3833,313.2737,239.2369,349.3465,221.2264,331.336,295.2632,405.3728
DG(16:0_25:0)+NH4,712.6814,439.4146,313.2737,239.2369,365.3778,221.2264,347.3673,295.2632,421.4041
DG(16:0_26:0)+NH4,726.697,453.4302,313.2737,239.2369,379.3934,221.2264,361.3829,295.2632,435.4197
DG(16:1_16:1)+NH4,582.5093,311.2581,311.2581,237.2213,237.2213,219.2108,219.2108,293.2476,293.2476
DG(16:1_17:0)+NH4,598.5406,327.2894,311.2581,237.2213,253.2526,219.2108,235.2421,293.2476,309.2789
DG(16:1_17:1)+NH4,596.5249,325.2737,311.2581,237.2213,251.2369,219.2108,233.2264,293.2476,307.2632
DG(16:1_17:2)+NH4,594.5093,323.2581,311.2581,237.2213,249.2213,219.2108,231.2108,293.2476,305.2476
DG(16:1_18:0)+NH4,612.5562,341.305,311.2581,237.2213,267.2682,219.2108,249.2577,293.2476,323.2945
DG(16:1_18:1)+NH4,610.5406,339.2894,311.2581,237.2213,265.2526,219.2108,247.2421,293.2476,321.2789
DG(16:1_18:2)+NH4,608.5249,337.2737,311.2581,237.2213,263.2369,219.2108,245.2264,293.2476,319.2632
DG(16:1_18:3)+NH4,606.5093,335.2581,311.2581,237.2213,261.2213,219.2108,243.2108,293.2476,317.2476
DG(16:1_18:4)+NH4,604.4936,333.2424,311.2581,237.2213,259.2056,219.2108,241.1951,293.2476,315.2319
DG(16:1_19:0)+NH4,626.5719,355.3207,311.2581,237.2213,281.2839,219.2108,263.2734,293.2476,337.3102
DG(16:1_20:0)+NH4,640.5875,369.3363,311.2581,237.2213,295.2995,219.2108,277.289,293.2476,351.3258
DG(16:1_20:1)+NH4,638.5719,367.3207,311.2581,237.2213,293.2839,219.2108,275.2734,293.2476,349.3102
DG(16:1_20:2)+NH4,636.5562,365.305,311.2581,237.2213,291.2682,219.2108,273.2577,293.2476,347.2945
DG(16:1_20:3)+NH4,634.5406,363.2894,311.2581,237.2213,289.2526,219.2108,271.2421,293.2476,345.2789
DG(16:1_20:4)+NH4,632.5249,361.2737,311.2581,237.2213,287.2369,219.2108,269.2264,293.2476,343.2632
DG(16:1_20:5)+NH4,630.5093,359.2581,311.2581,237.2213,285.2213,219.2108,267.2108,293.2476,341.2476
DG(16:1_21:0)+NH4,654.6032,383.352,311.2581,237.2213,309.3152,219.2108,291.3047,293.2476,365.3415
DG(16:1_22:0)+NH4,668.6188,397.3676,311.2581,237.2213,323.3308,219.2108,305.3203,293.2476,379.3571
DG(16:1_22:1)+NH4,666.6032,395.352,311.2581,237.2213,321.3152,219.2108,303.3047,293.2476,377.3415
DG(16:1_22:2)+NH4,664.5875,393.3363,311.2581,237.2213,319.2995,219.2108,301.289,293.2476,375.3258
DG(16:1_22:3)+NH4,662.5719,391.3207,311.2581,237.2213,317.2839,219.2108,299.2734,293.2476,373.3102
DG(16:1_22:4)+NH4,660.5562,389.305,311.2581,237.2213,315.2682,219.2108,297.2577,293.2476,371.2945
DG(16:1_22:5)+NH4,658.5406,387.2894,311.2581,237.2213,313.2526,219.2108,295.2421,293.2476,369.2789
DG(16:1_22:6)+NH4,656.5249,385.2737,311.2581,237.2213,311.2369,219.2108,293.2264,293.2476,367.2632
DG(16:1_23:0)+NH4,682.6345,411.3833,311.2581,237.2213,337.3465,219.2108,319.336,293.2476,393.3728
DG(16:1_24:0)+NH4,696.6501,425.3989,311.2581,237.2213,351.3621,219.2108,333.3516,293.2476,407.3884
DG(16:1_24:1)+NH4,694.6345,423.3833,311.2581,237.2213,349.3465,219.2108,331.336,293.2476,405.3728
DG(16:1_25:0)+NH4,710.6658,439.4146,311.2581,237.2213,365.3778,219.2108,347.3673,293.2476,421.4041
DG(16:1_26:0)+NH4,724.6814,453.4302,311.2581,237.2213,379.3934,219.2108,361.3829,293.2476,435.4197
DG(17:0_17:0)+NH4,614.5719,327.2894,327.2894,253.2526,253.2526,235.2421,235.2421,309.2789,309.2789
DG(17:0_17:1)+NH4,612.5562,325.2737,327.2894,253.2526,251.2369,235.2421,233.2264,309.2789,307.2632
DG(17:0_17:2)+NH4,610.5406,323.2581,327.2894,253.2526,249.2213,235.2421,231.2108,309.2789,305.2476
DG(17:0_18:0)+NH4,628.5875,341.305,327.2894,253.2526,267.2682,235.2421,249.2577,309.2789,323.2945
DG(17:0_18:1)+NH4,626.5719,339.2894,327.2894,253.2526,265.2526,235.2421,247.2421,309.2789,321.2789
DG(17:0_18:2)+NH4,624.5562,337.2737,327.2894,253.2526,263.2369,235.2421,245.2264,309.2789,319.2632
DG(17:0_18:3)+NH4,622.5406,335.2581,327.2894,253.2526,261.2213,235.2421,243.2108,309.2789,317.2476
DG(17:0_18:4)+NH4,620.5249,333.2424,327.2894,253.2526,259.2056,235.2421,241.1951,309.2789,315.2319
DG(17:0_19:0)+NH4,642.6032,355.3207,327.2894,253.2526,281.2839,235.2421,263.2734,309.2789,337.3102
DG(17:0_20:0)+NH4,656.6188,369.3363,327.2894,253.2526,295.2995,235.2421,277.289,309.2789,351.3258
DG(17:0_20:1)+NH4,654.6032,367.3207,327.2894,253.2526,293.2839,235.2421,275.2734,309.2789,349.3102
DG(17:0_20:2)+NH4,652.5875,365.305,327.2894,253.2526,291.2682,235.2421,273.2577,309.2789,347.2945
DG(17:0_20:3)+NH4,650.5719,363.2894,327.2894,253.2526,289.2526,235.2421,271.2421,309.2789,345.2789
DG(17:0_20:4)+NH4,648.5562,361.2737,327.2894,253.2526,287.2369,235.2421,269.2264,309.2789,343.2632
DG(17:0_20:5)+NH4,646.5406,359.2581,327.2894,253.2526,285.2213,235.2421,267.2108,309.2789,341.2476
DG(17:0_21:0)+NH4,670.6345,383.352,327.2894,253.2526,309.3152,235.2421,291.3047,309.2789,365.3415
DG(17:0_22:0)+NH4,684.6501,397.3676,327.2894,253.2526,323.3308,235.2421,305.3203,309.2789,379.3571
DG(17:0_22:1)+NH4,682.6345,395.352,327.2894,253.2526,321.3152,235.2421,303.3047,309.2789,377.3415
DG(17:0_22:2)+NH4,680.6188,393.3363,327.2894,253.2526,319.2995,235.2421,301.289,309.2789,375.3258
DG(17:0_22:3)+NH4,678.6032,391.3207,327.2894,253.2526,317.2839,235.2421,299.2734,309.2789,373.3102
DG(17:0_22:4)+NH4,676.5875,389.305,327.2894,253.2526,315.2682,235.2421,297.2577,309.2789,371.2945
DG(17:0_22:5)+NH4,674.5719,387.2894,327.2894,253.2526,313.2526,235.2421,295.2421,309.2789,369.2789
DG(17:0_22:6)+NH4,672.5562,385.2737,327.2894,253.2526,311.2369,235.2421,293.2264,309.2789,367.2632
DG(17:0_23:0)+NH4,698.6658,411.3833,327.2894,253.2526,337.3465,235.2421,319.336,309.2789,393.3728
DG(17:0_24:0)+NH4,712.6814,425.3989,327.2894,253.2526,351.3621,235.2421,333.3516,309.2789,407.3884
DG(17:0_24:1)+NH4,710.6658,423.3833,327.2894,253.2526,349.3465,235.2421,331.336,309.2789,405.3728
DG(17:0_25:0)+NH4,726.6971,439.4146,327.2894,253.2526,365.3778,235.2421,347.3673,309.2789,421.4041
DG(17:0_26:0)+NH4,740.7127,453.4302,327.2894,253.2526,379.3934,235.2421,361.3829,309.2789,435.4197
DG(17:1_17:1)+NH4,610.5405,325.2737,325.2737,251.2369,251.2369,233.2264,233.2264,307.2632,307.2632
DG(17:1_17:2)+NH4,608.5249,323.2581,325.2737,251.2369,249.2213,233.2264,231.2108,307.2632,305.2476
DG(17:1_18:0)+NH4,626.5718,341.305,325.2737,251.2369,267.2682,233.2264,249.2577,307.2632,323.2945
DG(17:1_18:1)+NH4,624.5562,339.2894,325.2737,251.2369,265.2526,233.2264,247.2421,307.2632,321.2789
DG(17:1_18:2)+NH4,622.5405,337.2737,325.2737,251.2369,263.2369,233.2264,245.2264,307.2632,319.2632
DG(17:1_18:3)+NH4,620.5249,335.2581,325.2737,251.2369,261.2213,233.2264,243.2108,307.2632,317.2476
DG(17:1_18:4)+NH4,618.5092,333.2424,325.2737,251.2369,259.2056,233.2264,241.1951,307.2632,315.2319
DG(17:1_19:0)+NH4,640.5875,355.3207,325.2737,251.2369,281.2839,233.2264,263.2734,307.2632,337.3102
DG(17:1_20:0)+NH4,654.6031,369.3363,325.2737,251.2369,295.2995,233.2264,277.289,307.2632,351.3258
DG(17:1_20:1)+NH4,652.5875,367.3207,325.2737,251.2369,293.2839,233.2264,275.2734,307.2632,349.3102
DG(17:1_20:2)+NH4,650.5718,365.305,325.2737,251.2369,291.2682,233.2264,273.2577,307.2632,347.2945
DG(17:1_20:3)+NH4,648.5562,363.2894,325.2737,251.2369,289.2526,233.2264,271.2421,307.2632,345.2789
DG(17:1_20:4)+NH4,646.5405,361.2737,325.2737,251.2369,287.2369,233.2264,269.2264,307.2632,343.2632
DG(17:1_20:5)+NH4,644.5249,359.2581,325.2737,251.2369,285.2213,233.2264,267.2108,307.2632,341.2476
DG(17:1_21:0)+NH4,668.6188,383.352,325.2737,251.2369,309.3152,233.2264,291.3047,307.2632,365.3415
DG(17:1_22:0)+NH4,682.6344,397.3676,325.2737,251.2369,323.3308,233.2264,305.3203,307.2632,379.3571
DG(17:1_22:1)+NH4,680.6188,395.352,325.2737,251.2369,321.3152,233.2264,303.3047,307.2632,377.3415
DG(17:1_22:2)+NH4,678.6031,393.3363,325.2737,251.2369,319.2995,233.2264,301.289,307.2632,375.3258
DG(17:1_22:3)+NH4,676.5875,391.3207,325.2737,251.2369,317.2839,233.2264,299.2734,307.2632,373.3102
DG(17:1_22:4)+NH4,674.5718,389.305,325.2737,251.2369,315.2682,233.2264,297.2577,307.2632,371.2945
DG(17:1_22:5)+NH4,672.5562,387.2894,325.2737,251.2369,313.2526,233.2264,295.2421,307.2632,369.2789
DG(17:1_22:6)+NH4,670.5405,385.2737,325.2737,251.2369,311.2369,233.2264,293.2264,307.2632,367.2632
DG(17:1_23:0)+NH4,696.6501,411.3833,325.2737,251.2369,337.3465,233.2264,319.336,307.2632,393.3728
DG(17:1_24:0)+NH4,710.6657,425.3989,325.2737,251.2369,351.3621,233.2264,333.3516,307.2632,407.3884
DG(17:1_24:1)+NH4,708.6501,423.3833,325.2737,251.2369,349.3465,233.2264,331.336,307.2632,405.3728
DG(17:1_25:0)+NH4,724.6814,439.4146,325.2737,251.2369,365.3778,233.2264,347.3673,307.2632,421.4041
DG(17:1_26:0)+NH4,738.697,453.4302,325.2737,251.2369,379.3934,233.2264,361.3829,307.2632,435.4197
DG(17:2_17:2)+NH4,606.5093,323.2581,323.2581,249.2213,249.2213,231.2108,231.2108,305.2476,305.2476
DG(17:2_18:0)+NH4,624.5562,341.305,323.2581,249.2213,267.2682,231.2108,249.2577,305.2476,323.2945
DG(17:2_18:1)+NH4,622.5406,339.2894,323.2581,249.2213,265.2526,231.2108,247.2421,305.2476,321.2789
DG(17:2_18:2)+NH4,620.5249,337.2737,323.2581,249.2213,263.2369,231.2108,245.2264,305.2476,319.2632
DG(17:2_18:3)+NH4,618.5093,335.2581,323.2581,249.2213,261.2213,231.2108,243.2108,305.2476,317.2476
DG(17:2_18:4)+NH4,616.4936,333.2424,323.2581,249.2213,259.2056,231.2108,241.1951,305.2476,315.2319
DG(17:2_19:0)+NH4,638.5719,355.3207,323.2581,249.2213,281.2839,231.2108,263.2734,305.2476,337.3102
DG(17:2_20:0)+NH4,652.5875,369.3363,323.2581,249.2213,295.2995,231.2108,277.289,305.2476,351.3258
DG(17:2_20:1)+NH4,650.5719,367.3207,323.2581,249.2213,293.2839,231.2108,275.2734,305.2476,349.3102
DG(17:2_20:2)+NH4,648.5562,365.305,323.2581,249.2213,291.2682,231.2108,273.2577,305.2476,347.2945
DG(17:2_20:3)+NH4,646.5406,363.2894,323.2581,249.2213,289.2526,231.2108,271.2421,305.2476,345.2789
DG(17:2_20:4)+NH4,644.5249,361.2737,323.2581,249.2213,287.2369,231.2108,269.2264,305.2476,343.2632
DG(17:2_20:5)+NH4,642.5093,359.2581,323.2581,249.2213,285.2213,231.2108,267.2108,305.2476,341.2476
DG(17:2_21:0)+NH4,666.6032,383.352,323.2581,249.2213,309.3152,231.2108,291.3047,305.2476,365.3415
DG(17:2_22:0)+NH4,680.6188,397.3676,323.2581,249.2213,323.3308,231.2108,305.3203,305.2476,379.3571
DG(17:2_22:1)+NH4,678.6032,395.352,323.2581,249.2213,321.3152,231.2108,303.3047,305.2476,377.3415
DG(17:2_22:2)+NH4,676.5875,393.3363,323.2581,249.2213,319.2995,231.2108,301.289,305.2476,375.3258
DG(17:2_22:3)+NH4,674.5719,391.3207,323.2581,249.2213,317.2839,231.2108,299.2734,305.2476,373.3102
DG(17:2_22:4)+NH4,672.5562,389.305,323.2581,249.2213,315.2682,231.2108,297.2577,305.2476,371.2945
DG(17:2_22:5)+NH4,670.5406,387.2894,323.2581,249.2213,313.2526,231.2108,295.2421,305.2476,369.2789
DG(17:2_22:6)+NH4,668.5249,385.2737,323.2581,249.2213,311.2369,231.2108,293.2264,305.2476,367.2632
DG(17:2_23:0)+NH4,694.6345,411.3833,323.2581,249.2213,337.3465,231.2108,319.336,305.2476,393.3728
DG(17:2_24:0)+NH4,708.6501,425.3989,323.2581,249.2213,351.3621,231.2108,333.3516,305.2476,407.3884
DG(17:2_24:1)+NH4,706.6345,423.3833,323.2581,249.2213,349.3465,231.2108,331.336,305.2476,405.3728
DG(17:2_25:0)+NH4,722.6658,439.4146,323.2581,249.2213,365.3778,231.2108,347.3673,305.2476,421.4041
DG(17:2_26:0)+NH4,736.6814,453.4302,323.2581,249.2213,379.3934,231.2108,361.3829,305.2476,435.4197
DG(18:0_18:0)+NH4,642.6031,341.305,341.305,267.2682,267.2682,249.2577,249.2577,323.2945,323.2945
DG(18:0_18:1)+NH4,640.5875,339.2894,341.305,267.2682,265.2526,249.2577,247.2421,323.2945,321.2789
DG(18:0_18:2)+NH4,638.5718,337.2737,341.305,267.2682,263.2369,249.2577,245.2264,323.2945,319.2632
DG(18:0_18:3)+NH4,636.5562,335.2581,341.305,267.2682,261.2213,249.2577,243.2108,323.2945,317.2476
DG(18:0_18:4)+NH4,634.5405,333.2424,341.305,267.2682,259.2056,249.2577,241.1951,323.2945,315.2319
DG(18:0_19:0)+NH4,656.6188,355.3207,341.305,267.2682,281.2839,249.2577,263.2734,323.2945,337.3102
DG(18:0_20:0)+NH4,670.6344,369.3363,341.305,267.2682,295.2995,249.2577,277.289,323.2945,351.3258
DG(18:0_20:1)+NH4,668.6188,367.3207,341.305,267.2682,293.2839,249.2577,275.2734,323.2945,349.3102
DG(18:0_20:2)+NH4,666.6031,365.305,341.305,267.2682,291.2682,249.2577,273.2577,323.2945,347.2945
DG(18:0_20:3)+NH4,664.5875,363.2894,341.305,267.2682,289.2526,249.2577,271.2421,323.2945,345.2789
DG(18:0_20:4)+NH4,662.5718,361.2737,341.305,267.2682,287.2369,249.2577,269.2264,323.2945,343.2632
DG(18:0_20:5)+NH4,660.5562,359.2581,341.305,267.2682,285.2213,249.2577,267.2108,323.2945,341.2476
DG(18:0_21:0)+NH4,684.6501,383.352,341.305,267.2682,309.3152,249.2577,291.3047,323.2945,365.3415
DG(18:0_22:0)+NH4,698.6657,397.3676,341.305,267.2682,323.3308,249.2577,305.3203,323.2945,379.3571
DG(18:0_22:1)+NH4,696.6501,395.352,341.305,267.2682,321.3152,249.2577,303.3047,323.2945,377.3415
DG(18:0_22:2)+NH4,694.6344,393.3363,341.305,267.2682,319.2995,249.2577,301.289,323.2945,375.3258
DG(18:0_22:3)+NH4,692.6188,391.3207,341.305,267.2682,317.2839,249.2577,299.2734,323.2945,373.3102
DG(18:0_22:4)+NH4,690.6031,389.305,341.305,267.2682,315.2682,249.2577,297.2577,323.2945,371.2945
DG(18:0_22:5)+NH4,688.5875,387.2894,341.305,267.2682,313.2526,249.2577,295.2421,323.2945,369.2789
DG(18:0_22:6)+NH4,686.5718,385.2737,341.305,267.2682,311.2369,249.2577,293.2264,323.2945,367.2632
DG(18:0_23:0)+NH4,712.6814,411.3833,341.305,267.2682,337.3465,249.2577,319.336,323.2945,393.3728
DG(18:0_24:0)+NH4,726.697,425.3989,341.305,267.2682,351.3621,249.2577,333.3516,323.2945,407.3884
DG(18:0_24:1)+NH4,724.6814,423.3833,341.305,267.2682,349.3465,249.2577,331.336,323.2945,405.3728
DG(18:0_25:0)+NH4,740.7127,439.4146,341.305,267.2682,365.3778,249.2577,347.3673,323.2945,421.4041
DG(18:0_26:0)+NH4,754.7283,453.4302,341.305,267.2682,379.3934,249.2577,361.3829,323.2945,435.4197
DG(18:1_18:1)+NH4,638.5719,339.2894,339.2894,265.2526,265.2526,247.2421,247.2421,321.2789,321.2789
DG(18:1_18:2)+NH4,636.5562,337.2737,339.2894,265.2526,263.2369,247.2421,245.2264,321.2789,319.2632
DG(18:1_18:3)+NH4,634.5406,335.2581,339.2894,265.2526,261.2213,247.2421,243.2108,321.2789,317.2476
DG(18:1_18:4)+NH4,632.5249,333.2424,339.2894,265.2526,259.2056,247.2421,241.1951,321.2789,315.2319
DG(18:1_19:0)+NH4,654.6032,355.3207,339.2894,265.2526,281.2839,247.2421,263.2734,321.2789,337.3102
DG(18:1_20:0)+NH4,668.6188,369.3363,339.2894,265.2526,295.2995,247.2421,277.289,321.2789,351.3258
DG(18:1_20:1)+NH4,666.6032,367.3207,339.2894,265.2526,293.2839,247.2421,275.2734,321.2789,349.3102
DG(18:1_20:2)+NH4,664.5875,365.305,339.2894,265.2526,291.2682,247.2421,273.2577,321.2789,347.2945
DG(18:1_20:3)+NH4,662.5719,363.2894,339.2894,265.2526,289.2526,247.2421,271.2421,321.2789,345.2789
DG(18:1_20:4)+NH4,660.5562,361.2737,339.2894,265.2526,287.2369,247.2421,269.2264,321.2789,343.2632
DG(18:1_20:5)+NH4,658.5406,359.2581,339.2894,265.2526,285.2213,247.2421,267.2108,321.2789,341.2476
DG(18:1_21:0)+NH4,682.6345,383.352,339.2894,265.2526,309.3152,247.2421,291.3047,321.2789,365.3415
DG(18:1_22:0)+NH4,696.6501,397.3676,339.2894,265.2526,323.3308,247.2421,305.3203,321.2789,379.3571
DG(18:1_22:1)+NH4,694.6345,395.352,339.2894,265.2526,321.3152,247.2421,303.3047,321.2789,377.3415
DG(18:1_22:2)+NH4,692.6188,393.3363,339.2894,265.2526,319.2995,247.2421,301.289,321.2789,375.3258
