Cer_NS,[M+HCO2]-,[M-H]-,[M-CO-H]-,[M-CO-3H]-,[M-CO-O-3H]-,[FA+NCCO-3H]-,[FA+NCCO-3H]-,[Sph-N-O-5H]-,[FA+N-H]-,[Sph-NCC-3H]-,[FA-3H]-
Cer_NS(d16:1/34:2)+HCO2,802.72951,756.72413,726.71353,724.69783,708.70293,544.51013,528.51523,235.20725,502.50003,209.19162,485.47353
Cer_NS(d16:1/34:3)+HCO2,800.71385,754.70847,724.69787,722.68217,706.68727,542.49447,526.49957,235.20725,500.48437,209.19162,483.45787
Cer_NS(d16:1/34:4)+HCO2,798.69819,752.69281,722.68221,720.66651,704.67161,540.47881,524.48391,235.20725,498.46871,209.19162,481.44221
Cer_NS(d16:1/35:0)+HCO2,820.77649,774.77111,744.76051,742.74481,726.74991,562.55711,546.56221,235.20725,520.54701,209.19162,503.52051
Cer_NS(d16:1/35:1)+HCO2,818.76083,772.75545,742.74485,740.72915,724.73425,560.54145,544.54655,235.20725,518.53135,209.19162,501.50485
Cer_NS(d16:1/35:2)+HCO2,816.74517,770.73979,740.72919,738.71349,722.71859,558.52579,542.53089,235.20725,516.51569,209.19162,499.48919
Cer_NS(d16:1/35:3)+HCO2,814.72951,768.72413,738.71353,736.69783,720.70293,556.51013,540.51523,235.20725,514.50003,209.19162,497.47353
Cer_NS(d16:1/35:4)+HCO2,812.71385,766.70847,736.69787,734.68217,718.68727,554.49447,538.49957,235.20725,512.48437,209.19162,495.45787
Cer_NS(d16:1/36:0)+HCO2,834.79215,788.78677,758.77617,756.76047,740.76557,576.57277,560.57787,235.20725,534.56267,209.19162,517.53617
Cer_NS(d16:1/36:1)+HCO2,832.77649,786.77111,756.76051,754.74481,738.74991,574.55711,558.56221,235.20725,532.54701,209.19162,515.52051
Cer_NS(d16:1/36:2)+HCO2,830.76083,784.75545,754.74485,752.72915,736.73425,572.54145,556.54655,235.20725,530.53135,209.19162,513.50485
Cer_NS(d16:1/36:3)+HCO2,828.74517,782.73979,752.72919,750.71349,734.71859,570.52579,554.53089,235.20725,528.51569,209.19162,511.48919
Cer_NS(d16:1/36:4)+HCO2,826.72951,780.72413,750.71353,748.69783,732.70293,568.51013,552.51523,235.20725,526.50003,209.19162,509.47353
Cer_NS(d17:1/14:0)+HCO2,540.46329,494.45791,464.44731,462.43161,446.43671,268.22825,252.23335,249.22291,226.21815,223.20728,209.19165
Cer_NS(d17:1/14:1)+HCO2,538.44763,492.44225,462.43165,460.41595,444.42105,266.21259,250.21769,249.22291,224.20249,223.20728,207.17599
Cer_NS(d17:1/14:2)+HCO2,536.43197,490.42659,460.41599,458.40029,442.40539,264.19693,248.20203,249.22291,222.18683,223.20728,205.16033
Cer_NS(d17:1/14:3)+HCO2,534.41631,488.41093,458.40033,456.38463,440.38973,262.18127,246.18637,249.22291,220.17117,223.20728,203.14467
Cer_NS(d17:1/15:0)+HCO2,554.47895,508.47357,478.46297,476.44727,460.45237,282.24391,266.24901,249.22291,240.23381,223.20728,223.20731
Cer_NS(d17:1/15:1)+HCO2,552.46329,506.45791,476.44731,474.43161,458.43671,280.22825,264.23335,249.22291,238.21815,223.20728,221.19165
Cer_NS(d17:1/15:2)+HCO2,550.44763,504.44225,474.43165,472.41595,456.42105,278.21259,262.21769,249.22291,236.20249,223.20728,219.17599
Cer_NS(d17:1/15:3)+HCO2,548.43197,502.42659,472.41599,470.40029,454.40539,276.19693,260.20203,249.22291,234.18683,223.20728,217.16033
Cer_NS(d17:1/16:0)+HCO2,568.49461,522.48923,492.47863,490.46293,474.46803,296.25957,280.26467,249.22291,254.24947,223.20728,237.22297
Cer_NS(d17:1/16:1)+HCO2,566.47895,520.47357,490.46297,488.44727,472.45237,294.24391,278.24901,249.22291,252.23381,223.20728,235.20731
Cer_NS(d17:1/16:2)+HCO2,564.46329,518.45791,488.44731,486.43161,470.43671,292.22825,276.23335,249.22291,250.21815,223.20728,233.19165
Cer_NS(d17:1/16:3)+HCO2,562.44763,516.44225,486.43165,484.41595,468.42105,290.21259,274.21769,249.22291,248.20249,223.20728,231.17599
Cer_NS(d17:1/16:4)+HCO2,560.43197,514.42659,484.41599,482.40029,466.40539,288.19693,272.20203,249.22291,246.18683,223.20728,229.16033
Cer_NS(d17:1/17:0)+HCO2,582.51027,536.50489,506.49429,504.47859,488.48369,310.27523,294.28033,249.22291,268.26513,223.20728,251.23863
Cer_NS(d17:1/17:1)+HCO2,580.49461,534.48923,504.47863,502.46293,486.46803,308.25957,292.26467,249.22291,266.24947,223.20728,249.22297
Cer_NS(d17:1/17:2)+HCO2,578.47895,532.47357,502.46297,500.44727,484.45237,306.24391,290.24901,249.22291,264.23381,223.20728,247.20731
Cer_NS(d17:1/17:3)+HCO2,576.46329,530.45791,500.44731,498.43161,482.43671,304.22825,288.23335,249.22291,262.21815,223.20728,245.19165
Cer_NS(d17:1/18:0)+HCO2,596.52593,550.52055,520.50995,518.49425,502.49935,324.29089,308.29599,249.22291,282.28079,223.20728,265.25429
Cer_NS(d17:1/18:1)+HCO2,594.51027,548.50489,518.49429,516.47859,500.48369,322.27523,306.28033,249.22291,280.26513,223.20728,263.23863
Cer_NS(d17:1/18:2)+HCO2,592.49461,546.48923,516.47863,514.46293,498.46803,320.25957,304.26467,249.22291,278.24947,223.20728,261.22297
Cer_NS(d17:1/18:3)+HCO2,590.47895,544.47357,514.46297,512.44727,496.45237,318.24391,302.24901,249.22291,276.23381,223.20728,259.20731
Cer_NS(d17:1/18:4)+HCO2,588.46329,542.45791,512.44731,510.43161,494.43671,316.22825,300.23335,249.22291,274.21815,223.20728,257.19165
Cer_NS(d17:1/19:0)+HCO2,610.54159,564.53621,534.52561,532.50991,516.51501,338.30655,322.31165,249.22291,296.29645,223.20728,279.26995
Cer_NS(d17:1/19:1)+HCO2,608.52593,562.52055,532.50995,530.49425,514.49935,336.29089,320.29599,249.22291,294.28079,223.20728,277.25429
Cer_NS(d17:1/19:2)+HCO2,606.51027,560.50489,530.49429,528.47859,512.48369,334.27523,318.28033,249.22291,292.26513,223.20728,275.23863
Cer_NS(d17:1/19:3)+HCO2,604.49461,558.48923,528.47863,526.46293,510.46803,332.25957,316.26467,249.22291,290.24947,223.20728,273.22297
Cer_NS(d17:1/19:4)+HCO2,602.47895,556.47357,526.46297,524.44727,508.45237,330.24391,314.24901,249.22291,288.23381,223.20728,271.20731
Cer_NS(d17:1/20:0)+HCO2,624.55725,578.55187,548.54127,546.52557,530.53067,352.32221,336.32731,249.22291,310.31211,223.20728,293.28561
Cer_NS(d17:1/20:1)+HCO2,622.54159,576.53621,546.52561,544.50991,528.51501,350.30655,334.31165,249.22291,308.29645,223.20728,291.26995
Cer_NS(d17:1/20:2)+HCO2,620.52593,574.52055,544.50995,542.49425,526.49935,348.29089,332.29599,249.22291,306.28079,223.20728,289.25429
