PG,[M+NH4]+,NL Head,NL_head&H2O
PG(47:3)+NH4,944.73156,773.72566,755.691327
PG(47:4)+NH4,942.71586,771.70996,753.675627
PG(47:5)+NH4,940.70026,769.69436,751.660027
PG(47:6)+NH4,938.68456,767.67866,749.644327
PG(48:0)+NH4,964.79406,793.78816,775.753827
PG(48:1)+NH4,962.77846,791.77256,773.738227
PG(48:2)+NH4,960.76276,789.75686,771.722527
PG(48:3)+NH4,958.74716,787.74126,769.706927
PG(48:4)+NH4,956.73146,785.72556,767.691227
PG(48:5)+NH4,954.71586,783.70996,765.675627
PG(48:6)+NH4,952.70016,781.69426,763.659927
PG(49:0)+NH4,978.80976,807.80386,789.769527
PG(49:1)+NH4,976.79416,805.78826,787.753927
PG(50:0)+NH4,992.82536,821.81946,803.785127
PG(50:1)+NH4,990.80976,819.80386,801.769527
PG(51:0)+NH4,1006.84106,835.83516,817.800827
PG(52:0)+NH4,1020.85666,849.85076,831.816427
SPLASH_PG(33:1(d7))+NH4,759.58765,588.58175,570.547417
