PS,[M-H]-,M-Serine,GlyceroPC_NLCH3&H2O, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
PS(40:9)-H,828.4822,741.45018,224.06881,152.99586,96.96964,78.95852
PS(41:0)-H,860.6387,773.60668,224.06881,152.99586,96.96964,78.95852
PS(41:1)-H,858.623,771.59098,224.06881,152.99586,96.96964,78.95852
PS(41:2)-H,856.6074,769.57538,224.06881,152.99586,96.96964,78.95852
PS(41:3)-H,854.5918,767.55978,224.06881,152.99586,96.96964,78.95852
PS(41:4)-H,852.5761,765.54408,224.06881,152.99586,96.96964,78.95852
PS(41:5)-H,850.5605,763.52848,224.06881,152.99586,96.96964,78.95852
PS(41:6)-H,848.5448,761.51278,224.06881,152.99586,96.96964,78.95852
PS(42:0)-H,874.6543,787.62228,224.06881,152.99586,96.96964,78.95852
PS(42:1)-H,872.6387,785.60668,224.06881,152.99586,96.96964,78.95852
PS(42:10)-H,854.4978,767.46578,224.06881,152.99586,96.96964,78.95852
PS(42:11)-H,852.4822,765.45018,224.06881,152.99586,96.96964,78.95852
PS(42:2)-H,870.6231,783.59108,224.06881,152.99586,96.96964,78.95852
PS(42:3)-H,868.6074,781.57538,224.06881,152.99586,96.96964,78.95852
PS(42:4)-H,866.5918,779.55978,224.06881,152.99586,96.96964,78.95852
PS(42:5)-H,864.5761,777.54408,224.06881,152.99586,96.96964,78.95852
PS(42:6)-H,862.5604,775.52838,224.06881,152.99586,96.96964,78.95852
PS(42:7)-H,860.5448,773.51278,224.06881,152.99586,96.96964,78.95852
PS(42:8)-H,858.5291,771.49708,224.06881,152.99586,96.96964,78.95852
PS(42:9)-H,856.5135,769.48148,224.06881,152.99586,96.96964,78.95852
PS(43:0)-H,888.67,801.63798,224.06881,152.99586,96.96964,78.95852
PS(43:1)-H,886.6543,799.62228,224.06881,152.99586,96.96964,78.95852
PS(43:2)-H,884.6387,797.60668,224.06881,152.99586,96.96964,78.95852
PS(43:3)-H,882.6231,795.59108,224.06881,152.99586,96.96964,78.95852
PS(43:4)-H,880.6074,793.57538,224.06881,152.99586,96.96964,78.95852
