PE,[M+H]+,NL_head,NL_T1RCO,NL_T2RCO,T1_RCO+,T2_RCO+,head
PE(14:0_24:0)+H,776.61638,635.59727,425.39892,285.24242,211.20565,351.36215,142.02639
PE(14:0_24:1)+H,774.60078,633.58167,423.38332,285.24242,211.20565,349.34655,142.02639
PE(14:0_25:0)+H,790.63208,649.61297,439.41462,285.24242,211.20565,365.37785,142.02639
PE(14:0_26:0)+H,804.64768,663.62857,453.43022,285.24242,211.20565,379.39345,142.02639
PE(14:1_14:1)+H,632.42868,491.40957,283.22682,283.22682,209.19005,209.19005,142.02639
PE(14:1_15:0)+H,648.45998,507.44087,299.25812,283.22682,209.19005,225.22135,142.02639
PE(14:1_15:1)+H,646.44428,505.42517,297.24242,283.22682,209.19005,223.20565,142.02639
PE(14:1_16:0)+H,662.47558,521.45647,313.27372,283.22682,209.19005,239.23695,142.02639
PE(14:1_16:1)+H,660.45998,519.44087,311.25812,283.22682,209.19005,237.22135,142.02639
PE(14:1_17:0)+H,676.49128,535.47217,327.28942,283.22682,209.19005,253.25265,142.02639
PE(14:1_17:1)+H,674.47558,533.45647,325.27372,283.22682,209.19005,251.23695,142.02639
PE(14:1_17:2)+H,672.45998,531.44087,323.25812,283.22682,209.19005,249.22135,142.02639
PE(14:1_18:0)+H,690.50688,549.48777,341.30502,283.22682,209.19005,267.26825,142.02639
PE(14:1_18:1)+H,688.49128,547.47217,339.28942,283.22682,209.19005,265.25265,142.02639
PE(14:1_18:2)+H,686.47558,545.45647,337.27372,283.22682,209.19005,263.23695,142.02639
PE(14:1_18:3)+H,684.45998,543.44087,335.25812,283.22682,209.19005,261.22135,142.02639
PE(14:1_18:4)+H,682.44428,541.42517,333.24242,283.22682,209.19005,259.20565,142.02639
PE(14:1_19:0)+H,704.52258,563.50347,355.32072,283.22682,209.19005,281.28395,142.02639
PE(14:1_20:0)+H,718.53818,577.51907,369.33632,283.22682,209.19005,295.29955,142.02639
PE(14:1_20:1)+H,716.52258,575.50347,367.32072,283.22682,209.19005,293.28395,142.02639
PE(14:1_20:2)+H,714.50688,573.48777,365.30502,283.22682,209.19005,291.26825,142.02639
PE(14:1_20:3)+H,712.49128,571.47217,363.28942,283.22682,209.19005,289.25265,142.02639
PE(14:1_20:4)+H,710.47558,569.45647,361.27372,283.22682,209.19005,287.23695,142.02639
PE(14:1_20:5)+H,708.45998,567.44087,359.25812,283.22682,209.19005,285.22135,142.02639
PE(14:1_21:0)+H,732.55388,591.53477,383.35202,283.22682,209.19005,309.31525,142.02639
PE(14:1_22:0)+H,746.56948,605.55037,397.36762,283.22682,209.19005,323.33085,142.02639
PE(14:1_22:1)+H,744.55388,603.53477,395.35202,283.22682,209.19005,321.31525,142.02639
PE(14:1_22:2)+H,742.53818,601.51907,393.33632,283.22682,209.19005,319.29955,142.02639
PE(14:1_22:3)+H,740.52258,599.50347,391.32072,283.22682,209.19005,317.28395,142.02639
PE(14:1_22:4)+H,738.50688,597.48777,389.30502,283.22682,209.19005,315.26825,142.02639
PE(14:1_22:5)+H,736.49128,595.47217,387.28942,283.22682,209.19005,313.25265,142.02639
PE(14:1_22:6)+H,734.47558,593.45647,385.27372,283.22682,209.19005,311.23695,142.02639
PE(14:1_23:0)+H,760.58518,619.56607,411.38332,283.22682,209.19005,337.34655,142.02639
PE(14:1_24:0)+H,774.60078,633.58167,425.39892,283.22682,209.19005,351.36215,142.02639
PE(14:1_24:1)+H,772.58518,631.56607,423.38332,283.22682,209.19005,349.34655,142.02639
PE(14:1_25:0)+H,788.61648,647.59737,439.41462,283.22682,209.19005,365.37785,142.02639
PE(14:1_26:0)+H,802.63208,661.61297,453.43022,283.22682,209.19005,379.39345,142.02639
PE(15:0_15:0)+H,664.49128,523.47217,299.25812,299.25812,225.22135,225.22135,142.02639
PE(15:0_15:1)+H,662.47558,521.45647,297.24242,299.25812,225.22135,223.20565,142.02639
PE(15:0_16:0)+H,678.50688,537.48777,313.27372,299.25812,225.22135,239.23695,142.02639
