GlcCer_NS,[M+HCO2]-,[M-H]-,[M-C6H10O5-H]-,[FAA+C2H3-H]-,[FAA-OH-H]-,[Sph-C2H7NO-H]-,[C6H11O6]-
GlcCer_NS(d16:1/28:1)+HCO2,882.70411,836.69861,674.64581,446.43693,403.41883,209.19162,179.05615
GlcCer_NS(d16:1/28:2)+HCO2,880.68845,834.68295,672.63015,444.42127,401.40317,209.19162,179.05615
GlcCer_NS(d16:1/28:3)+HCO2,878.67279,832.66729,670.61449,442.40561,399.38751,209.19162,179.05615
GlcCer_NS(d16:1/28:4)+HCO2,876.65713,830.65163,668.59883,440.38995,397.37185,209.19162,179.05615
GlcCer_NS(d16:1/29:0)+HCO2,898.73543,852.72993,690.67713,462.46825,419.45015,209.19162,179.05615
GlcCer_NS(d16:1/29:1)+HCO2,896.71977,850.71427,688.66147,460.45259,417.43449,209.19162,179.05615
GlcCer_NS(d16:1/29:2)+HCO2,894.70411,848.69861,686.64581,458.43693,415.41883,209.19162,179.05615
GlcCer_NS(d16:1/29:3)+HCO2,892.68845,846.68295,684.63015,456.42127,413.40317,209.19162,179.05615
GlcCer_NS(d16:1/29:4)+HCO2,890.67279,844.66729,682.61449,454.40561,411.38751,209.19162,179.05615
GlcCer_NS(d16:1/30:0)+HCO2,912.75109,866.74559,704.69279,476.48391,433.46581,209.19162,179.05615
GlcCer_NS(d16:1/30:1)+HCO2,910.73543,864.72993,702.67713,474.46825,431.45015,209.19162,179.05615
GlcCer_NS(d16:1/30:2)+HCO2,908.71977,862.71427,700.66147,472.45259,429.43449,209.19162,179.05615
GlcCer_NS(d16:1/30:3)+HCO2,906.70411,860.69861,698.64581,470.43693,427.41883,209.19162,179.05615
GlcCer_NS(d16:1/30:4)+HCO2,904.68845,858.68295,696.63015,468.42127,425.40317,209.19162,179.05615
GlcCer_NS(d16:1/31:0)+HCO2,926.76675,880.76125,718.70845,490.49957,447.48147,209.19162,179.05615
GlcCer_NS(d16:1/31:1)+HCO2,924.75109,878.74559,716.69279,488.48391,445.46581,209.19162,179.05615
GlcCer_NS(d16:1/31:2)+HCO2,922.73543,876.72993,714.67713,486.46825,443.45015,209.19162,179.05615
GlcCer_NS(d16:1/31:3)+HCO2,920.71977,874.71427,712.66147,484.45259,441.43449,209.19162,179.05615
GlcCer_NS(d16:1/31:4)+HCO2,918.70411,872.69861,710.64581,482.43693,439.41883,209.19162,179.05615
GlcCer_NS(d16:1/32:0)+HCO2,940.78241,894.77691,732.72411,504.51523,461.49713,209.19162,179.05615
GlcCer_NS(d16:1/32:1)+HCO2,938.76675,892.76125,730.70845,502.49957,459.48147,209.19162,179.05615
GlcCer_NS(d16:1/32:2)+HCO2,936.75109,890.74559,728.69279,500.48391,457.46581,209.19162,179.05615
GlcCer_NS(d16:1/32:3)+HCO2,934.73543,888.72993,726.67713,498.46825,455.45015,209.19162,179.05615
GlcCer_NS(d16:1/32:4)+HCO2,932.71977,886.71427,724.66147,496.45259,453.43449,209.19162,179.05615
GlcCer_NS(d16:1/33:0)+HCO2,954.79807,908.79257,746.73977,518.53089,475.51279,209.19162,179.05615
GlcCer_NS(d16:1/33:1)+HCO2,952.78241,906.77691,744.72411,516.51523,473.49713,209.19162,179.05615
GlcCer_NS(d16:1/33:2)+HCO2,950.76675,904.76125,742.70845,514.49957,471.48147,209.19162,179.05615
GlcCer_NS(d16:1/33:3)+HCO2,948.75109,902.74559,740.69279,512.48391,469.46581,209.19162,179.05615
GlcCer_NS(d16:1/33:4)+HCO2,946.73543,900.72993,738.67713,510.46825,467.45015,209.19162,179.05615
GlcCer_NS(d16:1/34:0)+HCO2,968.81373,922.80823,760.75543,532.54655,489.52845,209.19162,179.05615
GlcCer_NS(d16:1/34:1)+HCO2,966.79807,920.79257,758.73977,530.53089,487.51279,209.19162,179.05615
GlcCer_NS(d16:1/34:2)+HCO2,964.78241,918.77691,756.72411,528.51523,485.49713,209.19162,179.05615
GlcCer_NS(d16:1/34:3)+HCO2,962.76675,916.76125,754.70845,526.49957,483.48147,209.19162,179.05615
GlcCer_NS(d16:1/34:4)+HCO2,960.75109,914.74559,752.69279,524.48391,481.46581,209.19162,179.05615
