GlcCer_NDS,[M-H]-,[M-C6H10O5-H]-,[FAA+C2H3-H]-,[Sph-C2H7NO-H]-,[FAA-OH-H]-,[C6H11O6]-
GlcCer_NDS(d17:0/26:4)-H,818.65155,656.59865,412.35845,225.22295,369.34065,179.05615
GlcCer_NDS(d17:0/27:0)-H,840.72975,678.67695,434.43675,225.22295,391.41885,179.05615
GlcCer_NDS(d17:0/27:1)-H,838.71415,676.66135,432.42115,225.22295,389.40325,179.05615
GlcCer_NDS(d17:0/27:2)-H,836.69845,674.64565,430.40545,225.22295,387.38765,179.05615
GlcCer_NDS(d17:0/27:3)-H,834.68285,672.63005,428.38985,225.22295,385.37195,179.05615
GlcCer_NDS(d17:0/27:4)-H,832.66715,670.61435,426.37415,225.22295,383.35625,179.05615
GlcCer_NDS(d17:0/28:0)-H,854.74545,692.69265,448.45235,225.22295,405.43455,179.05615
GlcCer_NDS(d17:0/28:1)-H,852.72975,690.67695,446.43675,225.22295,403.41885,179.05615
GlcCer_NDS(d17:0/28:2)-H,850.71415,688.66135,444.42115,225.22295,401.40325,179.05615
GlcCer_NDS(d17:0/28:3)-H,848.69845,686.64565,442.40545,225.22295,399.38765,179.05615
GlcCer_NDS(d17:0/28:4)-H,846.68285,684.63005,440.38985,225.22295,397.37195,179.05615
GlcCer_NDS(d17:0/29:0)-H,868.76115,706.70825,462.46805,225.22295,419.45015,179.05615
GlcCer_NDS(d17:0/29:1)-H,866.74545,704.69265,460.45235,225.22295,417.43455,179.05615
GlcCer_NDS(d17:0/29:2)-H,864.72975,702.67695,458.43675,225.22295,415.41885,179.05615
GlcCer_NDS(d17:0/29:3)-H,862.71415,700.66135,456.42115,225.22295,413.40325,179.05615
GlcCer_NDS(d17:0/29:4)-H,860.69845,698.64565,454.40545,225.22295,411.38765,179.05615
GlcCer_NDS(d17:0/30:0)-H,882.77675,720.72395,476.48375,225.22295,433.46585,179.05615
GlcCer_NDS(d17:0/30:1)-H,880.76115,718.70825,474.46805,225.22295,431.45015,179.05615
GlcCer_NDS(d17:0/30:2)-H,878.74545,716.69265,472.45235,225.22295,429.43455,179.05615
GlcCer_NDS(d17:0/30:3)-H,876.72975,714.67695,470.43675,225.22295,427.41885,179.05615
GlcCer_NDS(d17:0/30:4)-H,874.71415,712.66135,468.42115,225.22295,425.40325,179.05615
GlcCer_NDS(d17:0/31:0)-H,896.79245,734.73955,490.49935,225.22295,447.48155,179.05615
GlcCer_NDS(d17:0/31:1)-H,894.77675,732.72395,488.48375,225.22295,445.46585,179.05615
GlcCer_NDS(d17:0/31:2)-H,892.76115,730.70825,486.46805,225.22295,443.45015,179.05615
GlcCer_NDS(d17:0/31:3)-H,890.74545,728.69265,484.45235,225.22295,441.43455,179.05615
GlcCer_NDS(d17:0/31:4)-H,888.72975,726.67695,482.43675,225.22295,439.41885,179.05615
GlcCer_NDS(d17:0/32:0)-H,910.80805,748.75525,504.51495,225.22295,461.49715,179.05615
GlcCer_NDS(d17:0/32:1)-H,908.79245,746.73955,502.49935,225.22295,459.48155,179.05615
GlcCer_NDS(d17:0/32:2)-H,906.77675,744.72395,500.48375,225.22295,457.46585,179.05615
GlcCer_NDS(d17:0/32:3)-H,904.76115,742.70825,498.46805,225.22295,455.45015,179.05615
GlcCer_NDS(d17:0/32:4)-H,902.74545,740.69265,496.45235,225.22295,453.43455,179.05615
GlcCer_NDS(d17:0/33:0)-H,924.82365,762.77085,518.53065,225.22295,475.51275,179.05615
GlcCer_NDS(d17:0/33:1)-H,922.80805,760.75525,516.51505,225.22295,473.49715,179.05615
GlcCer_NDS(d17:0/33:2)-H,920.79245,758.73955,514.49935,225.22295,471.48155,179.05615
GlcCer_NDS(d17:0/33:3)-H,918.77675,756.72395,512.48375,225.22295,469.46585,179.05615
GlcCer_NDS(d17:0/33:4)-H,916.76115,754.70825,510.46805,225.22295,467.45015,179.05615
GlcCer_NDS(d17:0/34:0)-H,938.83935,776.78645,532.54635,225.22295,489.52845,179.05615
GlcCer_NDS(d17:0/34:1)-H,936.82365,774.77085,530.53065,225.22295,487.51275,179.05615
GlcCer_NDS(d17:0/34:2)-H,934.80805,772.75525,528.51505,225.22295,485.49715,179.05615
GlcCer_NDS(d17:0/34:3)-H,932.79245,770.73955,526.49935,225.22295,483.48155,179.05615
GlcCer_NDS(d17:0/34:4)-H,930.77675,768.72395,524.48375,225.22295,481.46585,179.05615
GlcCer_NDS(d17:0/35:0)-H,952.85495,790.80215,546.56195,225.22295,503.54405,179.05615
GlcCer_NDS(d17:0/35:1)-H,950.83935,788.78645,544.54635,225.22295,501.52845,179.05615
GlcCer_NDS(d17:0/35:2)-H,948.82365,786.77085,542.53065,225.22295,499.51275,179.05615
GlcCer_NDS(d17:0/35:3)-H,946.80805,784.75525,540.51505,225.22295,497.49715,179.05615
GlcCer_NDS(d17:0/35:4)-H,944.79245,782.73955,538.49935,225.22295,495.48155,179.05615
GlcCer_NDS(d17:0/36:0)-H,966.87065,804.81785,560.57755,225.22295,517.55975,179.05615
GlcCer_NDS(d17:0/36:1)-H,964.85495,802.80215,558.56195,225.22295,515.54415,179.05615
GlcCer_NDS(d17:0/36:2)-H,962.83935,800.78645,556.54635,225.22295,513.52845,179.05615
GlcCer_NDS(d17:0/36:3)-H,960.82365,798.77085,554.53065,225.22295,511.51275,179.05615
GlcCer_NDS(d17:0/36:4)-H,958.80805,796.75525,552.51505,225.22295,509.49715,179.05615
GlcCer_NDS(d18:0/14:0)-H,672.54195,510.48915,252.23335,239.23855,209.21545,179.05615
GlcCer_NDS(d18:0/14:1)-H,670.52635,508.47355,250.21765,239.23855,207.19975,179.05615
GlcCer_NDS(d18:0/14:2)-H,668.51065,506.45785,248.20195,239.23855,205.18415,179.05615
GlcCer_NDS(d18:0/14:3)-H,666.49505,504.44225,246.18635,239.23855,203.16855,179.05615
GlcCer_NDS(d18:0/15:0)-H,686.55765,524.50485,266.24895,239.23855,223.23105,179.05615
GlcCer_NDS(d18:0/15:1)-H,684.54195,522.48915,264.23335,239.23855,221.21545,179.05615
GlcCer_NDS(d18:0/15:2)-H,682.52635,520.47355,262.21765,239.23855,219.19975,179.05615
GlcCer_NDS(d18:0/15:3)-H,680.51065,518.45785,260.20195,239.23855,217.18415,179.05615
