OxLPE,[M-H]-,NL_T1Ketene&serene,NL_T1RCOOH,T1_RCOO-, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-,EthanolaminePhosphate,EthanolaminePhosphate_NLH2O
OxLPE(17:2(OH))-H,478.25759,214.048615,196.038055,281.21227,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(18:1(OH))-H,494.28889,214.048615,196.038055,297.24357,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(18:3(OH))-H,490.25759,214.048615,196.038055,293.21227,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(18:4(OH))-H,488.24189,214.048615,196.038055,291.19657,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(20:1(OH))-H,522.32019,214.048615,196.038055,325.27487,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(20:2(OH))-H,520.30449,214.048615,196.038055,323.25917,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(20:3(OH))-H,518.28889,214.048615,196.038055,321.24357,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(20:5(OH))-H,514.25759,214.048615,196.038055,317.21227,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:1(OH))-H,550.35149,214.048615,196.038055,353.30617,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:2(OH))-H,548.33579,214.048615,196.038055,351.29047,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:3(OH))-H,546.32019,214.048615,196.038055,349.27487,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:4(OH))-H,544.30449,214.048615,196.038055,347.25917,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:5(OH))-H,542.28889,214.048615,196.038055,345.24357,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:6(OH))-H,540.27319,214.048615,196.038055,343.22787,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(24:1(OH))-H,578.38279,214.048615,196.038055,381.33747,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(14:1(OO))-H,454.22121,214.048615,196.038055,257.17589,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(15:1(OO))-H,468.23681,214.048615,196.038055,271.19149,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(16:1(OO))-H,482.25251,214.048615,196.038055,285.20719,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(17:1(OO))-H,496.26811,214.048615,196.038055,299.22279,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(17:2(OO))-H,494.25251,214.048615,196.038055,297.20719,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(18:1(OO))-H,510.28381,214.048615,196.038055,313.23849,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(18:3(OO))-H,506.25251,214.048615,196.038055,309.20719,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(18:4(OO))-H,504.23681,214.048615,196.038055,307.19149,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(20:1(OO))-H,538.31511,214.048615,196.038055,341.26979,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(20:2(OO))-H,536.29941,214.048615,196.038055,339.25409,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(20:3(OO))-H,534.28381,214.048615,196.038055,337.23849,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(20:5(OO))-H,530.25251,214.048615,196.038055,333.20719,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:1(OO))-H,566.34641,214.048615,196.038055,369.30109,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:2(OO))-H,564.33071,214.048615,196.038055,367.28539,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:3(OO))-H,562.31511,214.048615,196.038055,365.26979,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:4(OO))-H,560.29941,214.048615,196.038055,363.25409,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:5(OO))-H,558.28381,214.048615,196.038055,361.23849,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:6(OO))-H,556.26811,214.048615,196.038055,359.22279,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(24:1(OO))-H,594.37771,214.048615,196.038055,397.33239,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(14:1(OOO))-H,470.21613,214.048615,196.038055,273.17081,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(15:1(OOO))-H,484.23173,214.048615,196.038055,287.18641,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(16:1(OOO))-H,498.24743,214.048615,196.038055,301.20211,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(17:1(OOO))-H,512.26303,214.048615,196.038055,315.21771,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(17:2(OOO))-H,510.24743,214.048615,196.038055,313.20211,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(18:1(OOO))-H,526.27873,214.048615,196.038055,329.23341,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(18:2(OOO))-H,524.26303,214.048615,196.038055,327.21771,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(18:3(OOO))-H,522.24743,214.048615,196.038055,325.20211,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(18:4(OOO))-H,520.23173,214.048615,196.038055,323.18641,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(20:1(OOO))-H,554.31003,214.048615,196.038055,357.26471,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(20:2(OOO))-H,552.29433,214.048615,196.038055,355.24901,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(20:3(OOO))-H,550.27873,214.048615,196.038055,353.23341,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(20:4(OOO))-H,548.26303,214.048615,196.038055,351.21771,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(20:5(OOO))-H,546.24743,214.048615,196.038055,349.20211,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:1(OOO))-H,582.34133,214.048615,196.038055,385.29601,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:2(OOO))-H,580.32563,214.048615,196.038055,383.28031,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:3(OOO))-H,578.31003,214.048615,196.038055,381.26471,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:4(OOO))-H,576.29433,214.048615,196.038055,379.24901,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:5(OOO))-H,574.27873,214.048615,196.038055,377.23341,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(22:6(OOO))-H,572.26303,214.048615,196.038055,375.21771,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(24:1(OOO))-H,610.37263,214.048615,196.038055,413.32731,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(14:1(OOOO))-H,486.21105,214.048615,196.038055,289.16573,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(15:1(OOOO))-H,500.22665,214.048615,196.038055,303.18133,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(16:1(OOOO))-H,514.24235,214.048615,196.038055,317.19703,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(17:1(OOOO))-H,528.25795,214.048615,196.038055,331.21263,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(17:2(OOOO))-H,526.24235,214.048615,196.038055,329.19703,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(18:1(OOOO))-H,542.27365,214.048615,196.038055,345.22833,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(18:2(OOOO))-H,540.25795,214.048615,196.038055,343.21263,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(18:3(OOOO))-H,538.24235,214.048615,196.038055,341.19703,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(18:4(OOOO))-H,536.22665,214.048615,196.038055,339.18133,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(20:1(OOOO))-H,570.30495,214.048615,196.038055,373.25963,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(20:2(OOOO))-H,568.28925,214.048615,196.038055,371.24393,152.99586,96.96964,78.95852,140.01128,122.0007
OxLPE(20:3(OOOO))-H,566.27365,214.048615,196.038055,369.22833,152.99586,96.96964,78.95852,140.01128,122.0007
