Cer-NS,[M+H]+,[M-H2O+H]+,[M-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
Cer-NS(d14:3/19:1)+H,518.4568,500.4462,482.4356,222.1853,204.1747,296.2948,192.1747
Cer-NS(d14:3/20:0)+H,534.4881,516.4775,498.4669,222.1853,204.1747,312.3261,192.1747
Cer-NS(d14:3/20:1)+H,532.4724,514.4619,496.4513,222.1853,204.1747,310.3105,192.1747
Cer-NS(d14:3/20:2)+H,530.4568,512.4462,494.4356,222.1853,204.1747,308.2948,192.1747
Cer-NS(d14:3/21:0)+H,548.5037,530.4932,512.4826,222.1853,204.1747,326.3417,192.1747
Cer-NS(d14:3/21:1)+H,546.4881,528.4775,510.4669,222.1853,204.1747,324.3261,192.1747
Cer-NS(d14:3/22:0)+H,562.5193,544.5088,526.4982,222.1853,204.1747,340.3574,192.1747
Cer-NS(d14:3/22:1)+H,560.5037,542.4932,524.4826,222.1853,204.1747,338.3417,192.1747
Cer-NS(d14:3/22:2)+H,558.4881,540.4775,522.4669,222.1853,204.1747,336.3261,192.1747
Cer-NS(d14:3/23:0)+H,576.535,558.5245,540.5139,222.1853,204.1747,354.373,192.1747
Cer-NS(d14:3/23:1)+H,574.5193,556.5088,538.4982,222.1853,204.1747,352.3574,192.1747
Cer-NS(d14:3/24:0)+H,590.5507,572.5401,554.5295,222.1853,204.1747,368.3887,192.1747
Cer-NS(d14:3/24:1)+H,588.535,570.5245,552.5139,222.1853,204.1747,366.373,192.1747
Cer-NS(d14:3/24:2)+H,586.5193,568.5088,550.4982,222.1853,204.1747,364.3574,192.1747
Cer-NS(d14:3/25:0)+H,604.5663,586.5557,568.5452,222.1853,204.1747,382.4044,192.1747
Cer-NS(d14:3/25:1)+H,602.5507,584.5401,566.5295,222.1853,204.1747,380.3887,192.1747
Cer-NS(d14:3/26:0)+H,618.582,600.5714,582.5609,222.1853,204.1747,396.42,192.1747
Cer-NS(d14:3/26:1)+H,616.5663,598.5557,580.5452,222.1853,204.1747,394.4044,192.1747
Cer-NS(d14:3/26:2)+H,614.5507,596.5401,578.5295,222.1853,204.1747,392.3887,192.1747
Cer-NS(d14:3/27:0)+H,632.5976,614.587,596.5765,222.1853,204.1747,410.4356,192.1747
Cer-NS(d14:3/27:1)+H,630.582,612.5714,594.5609,222.1853,204.1747,408.42,192.1747
Cer-NS(d14:3/28:0)+H,646.6133,628.6027,610.5921,222.1853,204.1747,424.4513,192.1747
Cer-NS(d14:3/28:1)+H,644.5976,626.587,608.5765,222.1853,204.1747,422.4356,192.1747
Cer-NS(d14:3/28:2)+H,642.582,624.5714,606.5609,222.1853,204.1747,420.42,192.1747
Cer-NS(d14:3/29:0)+H,660.6289,642.6183,624.6078,222.1853,204.1747,438.4669,192.1747
Cer-NS(d14:3/29:1)+H,658.6133,640.6027,622.5921,222.1853,204.1747,436.4513,192.1747
Cer-NS(d14:3/30:0)+H,674.6446,656.634,638.6234,222.1853,204.1747,452.4826,192.1747
Cer-NS(d14:3/30:1)+H,672.6289,654.6183,636.6078,222.1853,204.1747,450.4669,192.1747
Cer-NS(d14:3/30:2)+H,670.6133,652.6027,634.5921,222.1853,204.1747,448.4513,192.1747
Cer-NS(d14:3/31:0)+H,688.6602,670.6497,652.6391,222.1853,204.1747,466.4983,192.1747
Cer-NS(d14:3/31:1)+H,686.6446,668.634,650.6234,222.1853,204.1747,464.4826,192.1747
Cer-NS(d14:3/32:0)+H,702.6758,684.6653,666.6547,222.1853,204.1747,480.5139,192.1747
Cer-NS(d14:3/32:1)+H,700.6602,682.6497,664.6391,222.1853,204.1747,478.4983,192.1747
Cer-NS(d14:3/32:2)+H,698.6446,680.634,662.6234,222.1853,204.1747,476.4826,192.1747
Cer-NS(d14:3/33:0)+H,716.6915,698.681,680.6704,222.1853,204.1747,494.5295,192.1747
Cer-NS(d14:3/33:1)+H,714.6758,696.6653,678.6547,222.1853,204.1747,492.5139,192.1747
Cer-NS(d14:3/34:0)+H,730.7072,712.6966,694.686,222.1853,204.1747,508.5452,192.1747
Cer-NS(d14:3/34:1)+H,728.6915,710.681,692.6704,222.1853,204.1747,506.5295,192.1747
Cer-NS(d14:3/34:2)+H,726.6758,708.6653,690.6547,222.1853,204.1747,504.5139,192.1747
Cer-NS(d14:3/35:0)+H,744.7228,726.7123,708.7017,222.1853,204.1747,522.5609,192.1747
Cer-NS(d14:3/35:1)+H,742.7072,724.6966,706.686,222.1853,204.1747,520.5452,192.1747
Cer-NS(d14:3/36:0)+H,758.7385,740.7279,722.7173,222.1853,204.1747,536.5765,192.1747
Cer-NS(d14:3/36:1)+H,756.7228,738.7123,720.7017,222.1853,204.1747,534.5609,192.1747
Cer-NS(d14:3/36:2)+H,754.7072,736.6966,718.686,222.1853,204.1747,532.5452,192.1747
Cer-NS(d14:3/38:0)+H,786.7698,768.7592,750.7487,222.1853,204.1747,564.6078,192.1747
Cer-NS(d14:3/38:1)+H,784.7542,766.7435,748.733,222.1853,204.1747,562.5922,192.1747
Cer-NS(d14:3/38:2)+H,782.7385,764.7279,746.7173,222.1853,204.1747,560.5765,192.1747
Cer-NS(d14:3/40:0)+H,814.8011,796.7905,778.7799,222.1853,204.1747,592.6391,192.1747
Cer-NS(d14:3/40:1)+H,812.7854,794.7748,776.7643,222.1853,204.1747,590.6235,192.1747
Cer-NS(d14:3/40:2)+H,810.7698,792.7592,774.7487,222.1853,204.1747,588.6078,192.1747
Cer-NS(d14:3/42:0)+H,842.8324,824.8218,806.8112,222.1853,204.1747,620.6704,192.1747
Cer-NS(d14:3/42:1)+H,840.8167,822.8062,804.7956,222.1853,204.1747,618.6547,192.1747
Cer-NS(d14:3/42:2)+H,838.8011,820.7905,802.7799,222.1853,204.1747,616.6391,192.1747
Cer-NS(d15:1/12:0)+H,440.4098,422.3993,404.3887,240.2322,222.2216,200.2009,210.2216
Cer-NS(d15:1/12:1)+H,438.3942,420.3836,402.373,240.2322,222.2216,198.1853,210.2216
Cer-NS(d15:1/13:0)+H,454.4255,436.4149,418.4043,240.2322,222.2216,214.2166,210.2216
Cer-NS(d15:1/13:1)+H,452.4098,434.3993,416.3887,240.2322,222.2216,212.2009,210.2216
Cer-NS(d15:1/14:0)+H,468.4411,450.4305,432.42,240.2322,222.2216,228.2322,210.2216
Cer-NS(d15:1/14:1)+H,466.4255,448.4149,430.4043,240.2322,222.2216,226.2166,210.2216
Cer-NS(d15:1/15:0)+H,482.4568,464.4462,446.4356,240.2322,222.2216,242.2478,210.2216
Cer-NS(d15:1/15:1)+H,480.4411,462.4305,444.42,240.2322,222.2216,240.2322,210.2216
Cer-NS(d15:1/16:0)+H,496.4724,478.4619,460.4513,240.2322,222.2216,256.2635,210.2216
Cer-NS(d15:1/16:1)+H,494.4568,476.4462,458.4356,240.2322,222.2216,254.2478,210.2216
Cer-NS(d15:1/16:2)+H,492.4411,474.4305,456.42,240.2322,222.2216,252.2322,210.2216
Cer-NS(d15:1/17:0)+H,510.4881,492.4775,474.4669,240.2322,222.2216,270.2791,210.2216
Cer-NS(d15:1/18:0)+H,524.5037,506.4932,488.4826,240.2322,222.2216,284.2948,210.2216
Cer-NS(d15:1/18:1)+H,522.4881,504.4775,486.4669,240.2322,222.2216,282.2791,210.2216
Cer-NS(d15:1/18:2)+H,520.4724,502.4619,484.4513,240.2322,222.2216,280.2635,210.2216
Cer-NS(d15:1/19:0)+H,538.5193,520.5088,502.4982,240.2322,222.2216,298.3105,210.2216
Cer-NS(d15:1/19:1)+H,536.5037,518.4932,500.4826,240.2322,222.2216,296.2948,210.2216
Cer-NS(d15:1/20:0)+H,552.535,534.5245,516.5139,240.2322,222.2216,312.3261,210.2216
Cer-NS(d15:1/20:1)+H,550.5193,532.5088,514.4982,240.2322,222.2216,310.3105,210.2216
Cer-NS(d15:1/20:2)+H,548.5037,530.4932,512.4826,240.2322,222.2216,308.2948,210.2216
Cer-NS(d15:1/21:0)+H,566.5507,548.5401,530.5295,240.2322,222.2216,326.3417,210.2216
Cer-NS(d15:1/21:1)+H,564.535,546.5245,528.5139,240.2322,222.2216,324.3261,210.2216
Cer-NS(d15:1/22:0)+H,580.5663,562.5557,544.5452,240.2322,222.2216,340.3574,210.2216
Cer-NS(d15:1/22:1)+H,578.5507,560.5401,542.5295,240.2322,222.2216,338.3417,210.2216
Cer-NS(d15:1/22:2)+H,576.535,558.5245,540.5139,240.2322,222.2216,336.3261,210.2216
Cer-NS(d15:1/23:0)+H,594.582,576.5714,558.5609,240.2322,222.2216,354.373,210.2216
Cer-NS(d15:1/23:1)+H,592.5663,574.5557,556.5452,240.2322,222.2216,352.3574,210.2216
Cer-NS(d15:1/24:0)+H,608.5976,590.587,572.5765,240.2322,222.2216,368.3887,210.2216
Cer-NS(d15:1/24:1)+H,606.582,588.5714,570.5609,240.2322,222.2216,366.373,210.2216
Cer-NS(d15:1/24:2)+H,604.5663,586.5557,568.5452,240.2322,222.2216,364.3574,210.2216
Cer-NS(d15:1/25:0)+H,622.6133,604.6027,586.5921,240.2322,222.2216,382.4044,210.2216
Cer-NS(d15:1/25:1)+H,620.5976,602.587,584.5765,240.2322,222.2216,380.3887,210.2216
Cer-NS(d15:1/26:0)+H,636.6289,618.6183,600.6078,240.2322,222.2216,396.42,210.2216
Cer-NS(d15:1/26:1)+H,634.6133,616.6027,598.5921,240.2322,222.2216,394.4044,210.2216
Cer-NS(d15:1/26:2)+H,632.5976,614.587,596.5765,240.2322,222.2216,392.3887,210.2216
Cer-NS(d15:1/27:0)+H,650.6446,632.634,614.6234,240.2322,222.2216,410.4356,210.2216
Cer-NS(d15:1/27:1)+H,648.6289,630.6183,612.6078,240.2322,222.2216,408.42,210.2216
Cer-NS(d15:1/28:0)+H,664.6602,646.6497,628.6391,240.2322,222.2216,424.4513,210.2216
Cer-NS(d15:1/28:1)+H,662.6446,644.634,626.6234,240.2322,222.2216,422.4356,210.2216
Cer-NS(d15:1/28:2)+H,660.6289,642.6183,624.6078,240.2322,222.2216,420.42,210.2216
Cer-NS(d15:1/29:0)+H,678.6758,660.6653,642.6547,240.2322,222.2216,438.4669,210.2216
Cer-NS(d15:1/29:1)+H,676.6602,658.6497,640.6391,240.2322,222.2216,436.4513,210.2216
