Cer_NP,[M-H]-,[M-H2O-H]-,[M-2H2O-H]-,[FAA+C3H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H3-H]-,[Sph-CH9NO-H]-,[FA+O-H]-,[Sph-C2H9NO-H]-,[FAA-H]-,[Sph-C3H11NO2-H]-
Cer_NP(t16:0/27:3)-H,674.60935,656.59865,638.58815,458.39985,446.39985,446.39985,428.38925,239.20115,403.35875,227.20115,402.37415,197.19055
Cer_NP(t16:0/27:4)-H,672.59365,654.58305,636.57255,456.38415,444.38415,444.38415,426.37355,239.20115,401.34305,227.20115,400.35845,197.19055
Cer_NP(t16:0/28:0)-H,694.67185,676.66135,658.65075,478.46245,466.46245,466.46245,448.45185,239.20115,423.42125,227.20115,422.43675,197.19055
Cer_NP(t16:0/28:1)-H,692.65625,674.64565,656.63505,476.44675,464.44675,464.44675,446.43615,239.20115,421.40565,227.20115,420.42105,197.19055
Cer_NP(t16:0/28:2)-H,690.64055,672.63005,654.61945,474.43115,462.43115,462.43115,444.42055,239.20115,419.39005,227.20115,418.40545,197.19055
Cer_NP(t16:0/28:3)-H,688.62495,670.61435,652.60385,472.41545,460.41545,460.41545,442.40495,239.20115,417.37435,227.20115,416.38985,197.19055
Cer_NP(t16:0/28:4)-H,686.60935,668.59865,650.58815,470.39985,458.39985,458.39985,440.38925,239.20115,415.35875,227.20115,414.37415,197.19055
Cer_NP(t16:0/29:0)-H,708.68755,690.67695,672.66635,492.47805,480.47805,480.47805,462.46745,239.20115,437.43695,227.20115,436.45235,197.19055
Cer_NP(t16:0/29:1)-H,706.67185,688.66135,670.65075,490.46245,478.46245,478.46245,460.45185,239.20115,435.42125,227.20115,434.43675,197.19055
Cer_NP(t16:0/29:2)-H,704.65625,686.64565,668.63505,488.44675,476.44675,476.44675,458.43615,239.20115,433.40565,227.20115,432.42105,197.19055
Cer_NP(t16:0/29:3)-H,702.64055,684.63005,666.61945,486.43115,474.43115,474.43115,456.42055,239.20115,431.39005,227.20115,430.40545,197.19055
Cer_NP(t16:0/29:4)-H,700.62495,682.61435,664.60385,484.41545,472.41545,472.41545,454.40495,239.20115,429.37435,227.20115,428.38985,197.19055
Cer_NP(t16:0/30:0)-H,722.70315,704.69265,686.68205,506.49375,494.49375,494.49375,476.48315,239.20115,451.45265,227.20115,450.46805,197.19055
Cer_NP(t16:0/30:1)-H,720.68755,702.67695,684.66635,504.47805,492.47805,492.47805,474.46745,239.20115,449.43695,227.20115,448.45235,197.19055
Cer_NP(t16:0/30:2)-H,718.67185,700.66135,682.65075,502.46245,490.46245,490.46245,472.45185,239.20115,447.42125,227.20115,446.43675,197.19055
Cer_NP(t16:0/30:3)-H,716.65625,698.64565,680.63505,500.44675,488.44675,488.44675,470.43615,239.20115,445.40565,227.20115,444.42105,197.19055
Cer_NP(t16:0/30:4)-H,714.64055,696.63005,678.61945,498.43115,486.43115,486.43115,468.42055,239.20115,443.39005,227.20115,442.40545,197.19055
Cer_NP(t16:0/31:0)-H,736.71885,718.70825,700.69765,520.50945,508.50935,508.50935,490.49885,239.20115,465.46825,227.20115,464.48375,197.19055
Cer_NP(t16:0/31:1)-H,734.70315,716.69265,698.68205,518.49375,506.49375,506.49375,488.48315,239.20115,463.45265,227.20115,462.46805,197.19055
Cer_NP(t16:0/31:2)-H,732.68755,714.67695,696.66635,516.47805,504.47805,504.47805,486.46745,239.20115,461.43695,227.20115,460.45235,197.19055
Cer_NP(t16:0/31:3)-H,730.67185,712.66135,694.65075,514.46245,502.46245,502.46245,484.45185,239.20115,459.42125,227.20115,458.43675,197.19055
Cer_NP(t16:0/31:4)-H,728.65625,710.64565,692.63505,512.44675,500.44675,500.44675,482.43615,239.20115,457.40565,227.20115,456.42105,197.19055
Cer_NP(t16:0/32:0)-H,750.73445,732.72395,714.71335,534.52505,522.52505,522.52505,504.51445,239.20115,479.48395,227.20115,478.49935,197.19055
Cer_NP(t16:0/32:1)-H,748.71885,730.70825,712.69765,532.50945,520.50945,520.50945,502.49885,239.20115,477.46825,227.20115,476.48375,197.19055
Cer_NP(t16:0/32:2)-H,746.70315,728.69265,710.68205,530.49375,518.49375,518.49375,500.48315,239.20115,475.45265,227.20115,474.46805,197.19055
Cer_NP(t16:0/32:3)-H,744.68755,726.67695,708.66635,528.47805,516.47805,516.47805,498.46745,239.20115,473.43695,227.20115,472.45235,197.19055
Cer_NP(t16:0/32:4)-H,742.67185,724.66135,706.65075,526.46245,514.46245,514.46245,496.45185,239.20115,471.42125,227.20115,470.43675,197.19055
Cer_NP(t16:0/33:0)-H,764.75015,746.73955,728.72905,548.54065,536.54065,536.54065,518.53005,239.20115,493.49955,227.20115,492.51495,197.19055
Cer_NP(t16:0/33:1)-H,762.73445,744.72395,726.71335,546.52505,534.52505,534.52505,516.51445,239.20115,491.48395,227.20115,490.49935,197.19055
Cer_NP(t16:0/33:2)-H,760.71885,742.70825,724.69765,544.50945,532.50945,532.50945,514.49875,239.20115,489.46825,227.20115,488.48375,197.19055
Cer_NP(t16:0/33:3)-H,758.70315,740.69265,722.68205,542.49375,530.49375,530.49375,512.48315,239.20115,487.45265,227.20115,486.46805,197.19055
Cer_NP(t16:0/33:4)-H,756.68755,738.67695,720.66635,540.47805,528.47805,528.47805,510.46745,239.20115,485.43695,227.20115,484.45235,197.19055
Cer_NP(t16:0/34:0)-H,778.76585,760.75525,742.74465,562.55635,550.55635,550.55635,532.54575,239.20115,507.51515,227.20115,506.53065,197.19055
Cer_NP(t16:0/34:1)-H,776.75015,758.73955,740.72905,560.54065,548.54065,548.54065,530.53005,239.20115,505.49955,227.20115,504.51495,197.19055
Cer_NP(t16:0/34:2)-H,774.73445,756.72395,738.71335,558.52505,546.52505,546.52505,528.51445,239.20115,503.48395,227.20115,502.49935,197.19055
Cer_NP(t16:0/34:3)-H,772.71885,754.70825,736.69765,556.50945,544.50945,544.50945,526.49875,239.20115,501.46825,227.20115,500.48375,197.19055
Cer_NP(t16:0/34:4)-H,770.70315,752.69265,734.68205,554.49375,542.49375,542.49375,524.48315,239.20115,499.45265,227.20115,498.46805,197.19055
Cer_NP(t16:0/35:0)-H,792.78145,774.77085,756.76035,576.57195,564.57195,564.57195,546.56145,239.20115,521.53085,227.20115,520.54625,197.19055
Cer_NP(t16:0/35:1)-H,790.76585,772.75525,754.74465,574.55635,562.55635,562.55635,544.54575,239.20115,519.51515,227.20115,518.53065,197.19055
Cer_NP(t16:0/35:2)-H,788.75015,770.73955,752.72905,572.54065,560.54065,560.54065,542.53005,239.20115,517.49955,227.20115,516.51505,197.19055
Cer_NP(t16:0/35:3)-H,786.73445,768.72395,750.71335,570.52505,558.52505,558.52505,540.51445,239.20115,515.48385,227.20115,514.49935,197.19055
Cer_NP(t16:0/35:4)-H,784.71885,766.70825,748.69765,568.50945,556.50945,556.50945,538.49875,239.20115,513.46825,227.20115,512.48375,197.19055
Cer_NP(t16:0/36:0)-H,806.79715,788.78645,770.77595,590.58765,578.58765,578.58765,560.57705,239.20115,535.54655,227.20115,534.56195,197.19055
Cer_NP(t16:0/36:1)-H,804.78145,786.77085,768.76035,588.57195,576.57195,576.57195,558.56145,239.20115,533.53085,227.20115,532.54625,197.19055
Cer_NP(t16:0/36:2)-H,802.76585,784.75525,766.74465,586.55635,574.55635,574.55635,556.54575,239.20115,531.51515,227.20115,530.53065,197.19055
Cer_NP(t16:0/36:3)-H,800.75015,782.73955,764.72905,584.54065,572.54065,572.54065,554.53005,239.20115,529.49955,227.20115,528.51505,197.19055
Cer_NP(t16:0/36:4)-H,798.73445,780.72395,762.71335,582.52505,570.52505,570.52505,552.51445,239.20115,527.48385,227.20115,526.49935,197.19055
Cer_NP(t17:0/14:0)-H,512.46845,494.45785,476.44725,282.24335,270.24335,270.24335,252.23275,253.21675,227.20225,241.21675,226.21765,211.20615
Cer_NP(t17:0/14:1)-H,510.45275,492.44225,474.43165,280.22765,268.22765,268.22765,250.21715,253.21675,225.18655,241.21675,224.20195,211.20615
Cer_NP(t17:0/14:2)-H,508.43715,490.42655,472.41595,278.21205,266.21205,266.21205,248.20145,253.21675,223.17095,241.21675,222.18635,211.20615
Cer_NP(t17:0/14:3)-H,506.42145,488.41095,470.40035,276.19635,264.19635,264.19635,246.18585,253.21675,221.15525,241.21675,220.17065,211.20615
Cer_NP(t17:0/15:0)-H,526.48405,508.47355,490.46295,296.25895,284.25895,284.25895,266.24845,253.21675,241.21785,241.21675,240.23325,211.20615
Cer_NP(t17:0/15:1)-H,524.46845,506.45785,488.44725,294.24335,282.24335,282.24335,264.23275,253.21675,239.20225,241.21675,238.21765,211.20615
Cer_NP(t17:0/15:2)-H,522.45285,504.44225,486.43165,292.22765,280.22765,280.22765,262.21715,253.21675,237.18655,241.21675,236.20195,211.20615
Cer_NP(t17:0/15:3)-H,520.43715,502.42655,484.41595,290.21205,278.21205,278.21205,260.20145,253.21675,235.17095,241.21675,234.18635,211.20615
Cer_NP(t17:0/16:0)-H,540.49975,522.48915,504.47865,310.27465,298.27465,298.27465,280.26405,253.21675,255.23355,241.21675,254.24895,211.20615
Cer_NP(t17:0/16:1)-H,538.48405,520.47355,502.46295,308.25895,296.25895,296.25895,278.24845,253.21675,253.21785,241.21675,252.23325,211.20615
Cer_NP(t17:0/16:2)-H,536.46845,518.45785,500.44725,306.24335,294.24335,294.24335,276.23275,253.21675,251.20225,241.21675,250.21765,211.20615
Cer_NP(t17:0/16:3)-H,534.45285,516.44225,498.43165,304.22765,292.22765,292.22765,274.21715,253.21675,249.18655,241.21675,248.20195,211.20615
Cer_NP(t17:0/16:4)-H,532.43715,514.42655,496.41595,302.21205,290.21205,290.21205,272.20145,253.21675,247.17095,241.21675,246.18635,211.20615
Cer_NP(t17:0/17:0)-H,554.51535,536.50485,518.49425,324.29025,312.29025,312.29025,294.27965,253.21675,269.24915,241.21675,268.26455,211.20615
