HexCer-AP,[M+HCO2]-,[M-H]-,[M-C6H10O5-H]-,[FA+NC(C)CO-H]-,[FA+NCC-3H]-,[FA+O-H]-,[C6H12O6-H]-,[FA-CO-3H]-
HexCer-AP(t14:1/13:1)+HCO2,676.4272,630.4218,468.3689,282.2064,252.1958,227.1653,179.0556,181.1598
HexCer-AP(t14:1/14:0)+HCO2,692.4585,646.453,484.4002,298.2377,268.2271,243.1966,179.0556,197.1911
HexCer-AP(t14:1/14:1)+HCO2,690.4429,644.4374,482.3846,296.222,266.2115,241.1809,179.0556,195.1754
HexCer-AP(t14:1/15:0)+HCO2,706.4741,660.4687,498.4158,312.2533,282.2428,257.2122,179.0556,211.2067
HexCer-AP(t14:1/15:1)+HCO2,704.4585,658.453,496.4002,310.2377,280.2271,255.1966,179.0556,209.1911
HexCer-AP(t14:1/16:0)+HCO2,720.4898,674.4843,512.4315,326.269,296.2584,271.2279,179.0556,225.2224
HexCer-AP(t14:1/16:1)+HCO2,718.4741,672.4687,510.4158,324.2533,294.2428,269.2122,179.0556,223.2067
HexCer-AP(t14:1/16:2)+HCO2,716.4585,670.453,508.4002,322.2377,292.2271,267.1966,179.0556,221.1911
HexCer-AP(t14:1/17:0)+HCO2,734.5054,688.5,526.4471,340.2846,310.2741,285.2435,179.0556,239.238
HexCer-AP(t14:1/18:0)+HCO2,748.5211,702.5156,540.4628,354.3003,324.2897,299.2592,179.0556,253.2537
HexCer-AP(t14:1/18:1)+HCO2,746.5054,700.5,538.4471,352.2846,322.2741,297.2435,179.0556,251.238
HexCer-AP(t14:1/18:2)+HCO2,744.4898,698.4843,536.4315,350.269,320.2584,295.2279,179.0556,249.2224
HexCer-AP(t14:1/19:0)+HCO2,762.5367,716.5313,554.4785,368.3159,338.3054,313.2748,179.0556,267.2693
HexCer-AP(t14:1/19:1)+HCO2,760.5211,714.5156,552.4628,366.3003,336.2897,311.2592,179.0556,265.2537
HexCer-AP(t14:1/20:0)+HCO2,776.5524,730.5469,568.4941,382.3316,352.321,327.2905,179.0556,281.285
HexCer-AP(t14:1/20:1)+HCO2,774.5367,728.5313,566.4785,380.3159,350.3054,325.2748,179.0556,279.2693
HexCer-AP(t14:1/20:2)+HCO2,772.5211,726.5156,564.4628,378.3003,348.2897,323.2592,179.0556,277.2537
HexCer-AP(t14:1/21:0)+HCO2,790.5681,744.5626,582.5098,396.3472,366.3367,341.3061,179.0556,295.3006
HexCer-AP(t14:1/21:1)+HCO2,788.5524,742.5469,580.4941,394.3316,364.321,339.2905,179.0556,293.285
HexCer-AP(t14:1/22:0)+HCO2,804.5837,758.5782,596.5254,410.3629,380.3523,355.3218,179.0556,309.3163
HexCer-AP(t14:1/22:1)+HCO2,802.5681,756.5626,594.5098,408.3472,378.3367,353.3061,179.0556,307.3006
HexCer-AP(t14:1/22:2)+HCO2,800.5524,754.5469,592.4941,406.3316,376.321,351.2905,179.0556,305.285
HexCer-AP(t14:1/23:0)+HCO2,818.5994,772.5939,610.541,424.3785,394.368,369.3374,179.0556,323.3319
HexCer-AP(t14:1/23:1)+HCO2,816.5837,770.5782,608.5254,422.3629,392.3523,367.3218,179.0556,321.3163
HexCer-AP(t14:1/24:0)+HCO2,832.615,786.6096,624.5567,438.3942,408.3836,383.3531,179.0556,337.3476
HexCer-AP(t14:1/24:1)+HCO2,830.5994,784.5939,622.541,436.3785,406.368,381.3374,179.0556,335.3319
HexCer-AP(t14:1/24:2)+HCO2,828.5837,782.5782,620.5254,434.3629,404.3523,379.3218,179.0556,333.3163
HexCer-AP(t14:1/25:0)+HCO2,846.6307,800.6252,638.5723,452.4099,422.3993,397.3687,179.0556,351.3633
HexCer-AP(t14:1/25:1)+HCO2,844.615,798.6096,636.5567,450.3942,420.3836,395.3531,179.0556,349.3476
HexCer-AP(t14:1/26:0)+HCO2,860.6463,814.6408,652.588,466.4255,436.4149,411.3844,179.0556,365.3789
HexCer-AP(t14:1/26:1)+HCO2,858.6307,812.6252,650.5723,464.4099,434.3993,409.3687,179.0556,363.3633
HexCer-AP(t14:1/26:2)+HCO2,856.615,810.6096,648.5567,462.3942,432.3836,407.3531,179.0556,361.3476
HexCer-AP(t14:1/27:0)+HCO2,874.6619,828.6565,666.6036,480.4411,450.4306,425.4,179.0556,379.3945
HexCer-AP(t14:1/27:1)+HCO2,872.6463,826.6408,664.588,478.4255,448.4149,423.3844,179.0556,377.3789
HexCer-AP(t14:1/28:0)+HCO2,888.6776,842.6721,680.6193,494.4568,464.4462,439.4157,179.0556,393.4102
HexCer-AP(t14:1/28:1)+HCO2,886.6619,840.6565,678.6036,492.4411,462.4306,437.4,179.0556,391.3945
HexCer-AP(t14:1/28:2)+HCO2,884.6463,838.6408,676.588,490.4255,460.4149,435.3844,179.0556,389.3789
