HexCer-AP,[M+HCO2]-,[M-H]-,[M-C6H10O5-H]-,[FA+NC(C)CO-H]-,[FA+NCC-3H]-,[FA+O-H]-,[C6H12O6-H]-,[FA-CO-3H]-
HexCer-AP(t22:0/33:1)+HCO2,1070.881,1024.876,862.8228,562.5194,532.5089,507.4783,179.0556,461.4728
HexCer-AP(t22:0/34:0)+HCO2,1086.912,1040.907,878.8541,578.5507,548.5401,523.5096,179.0556,477.5041
HexCer-AP(t22:0/34:1)+HCO2,1084.897,1038.891,876.8384,576.535,546.5245,521.494,179.0556,475.4884
HexCer-AP(t22:0/34:2)+HCO2,1082.881,1036.876,874.8228,574.5194,544.5089,519.4783,179.0556,473.4728
HexCer-AP(t22:0/35:0)+HCO2,1100.928,1054.922,892.8697,592.5663,562.5558,537.5252,179.0556,491.5197
HexCer-AP(t22:0/35:1)+HCO2,1098.912,1052.907,890.8541,590.5507,560.5401,535.5096,179.0556,489.5041
HexCer-AP(t22:0/36:0)+HCO2,1114.944,1068.938,906.8854,606.582,576.5714,551.5409,179.0556,505.5354
HexCer-AP(t22:0/36:1)+HCO2,1112.928,1066.922,904.8697,604.5663,574.5558,549.5252,179.0556,503.5197
HexCer-AP(t22:0/36:2)+HCO2,1110.912,1064.907,902.8541,602.5507,572.5401,547.5096,179.0556,501.5041
HexCer-AP(t22:0/38:0)+HCO2,1142.975,1096.969,934.9166,634.6133,604.6027,579.5722,179.0556,533.5667
HexCer-AP(t22:0/38:1)+HCO2,1140.959,1094.954,932.901,632.5977,602.5871,577.5565,179.0556,531.551
HexCer-AP(t22:0/38:2)+HCO2,1138.944,1092.938,930.8854,630.582,600.5714,575.5409,179.0556,529.5354
HexCer-AP(t22:0/40:0)+HCO2,1171.006,1125.001,962.9479,662.6446,632.634,607.6035,179.0556,561.598
HexCer-AP(t22:0/40:1)+HCO2,1168.991,1122.985,960.9323,660.629,630.6183,605.5878,179.0556,559.5823
HexCer-AP(t22:0/40:2)+HCO2,1166.975,1120.969,958.9166,658.6133,628.6027,603.5722,179.0556,557.5667
HexCer-AP(t22:0/42:0)+HCO2,1199.038,1153.032,990.9792,690.6759,660.6653,635.6348,179.0556,589.6293
HexCer-AP(t22:0/42:1)+HCO2,1197.022,1151.016,988.9636,688.6602,658.6497,633.6191,179.0556,587.6136
HexCer-AP(t22:0/42:2)+HCO2,1195.006,1149.001,986.9479,686.6446,656.634,631.6035,179.0556,585.598
HexCer-AP(t22:1/12:0)+HCO2,776.5524,730.5469,568.4941,270.2064,240.1958,215.1653,179.0556,169.1598
HexCer-AP(t22:1/12:1)+HCO2,774.5367,728.5313,566.4785,268.1907,238.1802,213.1496,179.0556,167.1441
HexCer-AP(t22:1/13:0)+HCO2,790.5681,744.5626,582.5098,284.222,254.2115,229.1809,179.0556,183.1754
HexCer-AP(t22:1/13:1)+HCO2,788.5524,742.5469,580.4941,282.2064,252.1958,227.1653,179.0556,181.1598
HexCer-AP(t22:1/14:0)+HCO2,804.5837,758.5782,596.5254,298.2377,268.2271,243.1966,179.0556,197.1911
HexCer-AP(t22:1/14:1)+HCO2,802.5681,756.5626,594.5098,296.222,266.2115,241.1809,179.0556,195.1754
HexCer-AP(t22:1/15:0)+HCO2,818.5994,772.5939,610.541,312.2533,282.2428,257.2122,179.0556,211.2067
HexCer-AP(t22:1/15:1)+HCO2,816.5837,770.5782,608.5254,310.2377,280.2271,255.1966,179.0556,209.1911
HexCer-AP(t22:1/16:0)+HCO2,832.615,786.6096,624.5567,326.269,296.2584,271.2279,179.0556,225.2224
HexCer-AP(t22:1/16:1)+HCO2,830.5994,784.5939,622.541,324.2533,294.2428,269.2122,179.0556,223.2067
HexCer-AP(t22:1/16:2)+HCO2,828.5837,782.5782,620.5254,322.2377,292.2271,267.1966,179.0556,221.1911
HexCer-AP(t22:1/17:0)+HCO2,846.6307,800.6252,638.5723,340.2846,310.2741,285.2435,179.0556,239.238
HexCer-AP(t22:1/18:0)+HCO2,860.6463,814.6408,652.588,354.3003,324.2897,299.2592,179.0556,253.2537
HexCer-AP(t22:1/18:1)+HCO2,858.6307,812.6252,650.5723,352.2846,322.2741,297.2435,179.0556,251.238
HexCer-AP(t22:1/18:2)+HCO2,856.615,810.6096,648.5567,350.269,320.2584,295.2279,179.0556,249.2224
HexCer-AP(t22:1/19:0)+HCO2,874.6619,828.6565,666.6036,368.3159,338.3054,313.2748,179.0556,267.2693
HexCer-AP(t22:1/19:1)+HCO2,872.6463,826.6408,664.588,366.3003,336.2897,311.2592,179.0556,265.2537
HexCer-AP(t22:1/20:0)+HCO2,888.6776,842.6721,680.6193,382.3316,352.321,327.2905,179.0556,281.285
HexCer-AP(t22:1/20:1)+HCO2,886.6619,840.6565,678.6036,380.3159,350.3054,325.2748,179.0556,279.2693
HexCer-AP(t22:1/20:2)+HCO2,884.6463,838.6408,676.588,378.3003,348.2897,323.2592,179.0556,277.2537
HexCer-AP(t22:1/21:0)+HCO2,902.6932,856.6878,694.6349,396.3472,366.3367,341.3061,179.0556,295.3006
HexCer-AP(t22:1/21:1)+HCO2,900.6776,854.6721,692.6193,394.3316,364.321,339.2905,179.0556,293.285
HexCer-AP(t22:1/22:0)+HCO2,916.7089,870.7034,708.6506,410.3629,380.3523,355.3218,179.0556,309.3163
HexCer-AP(t22:1/22:1)+HCO2,914.6932,868.6878,706.6349,408.3472,378.3367,353.3061,179.0556,307.3006
HexCer-AP(t22:1/22:2)+HCO2,912.6776,866.6721,704.6193,406.3316,376.321,351.2905,179.0556,305.285
HexCer-AP(t22:1/23:0)+HCO2,930.7245,884.7191,722.6663,424.3785,394.368,369.3374,179.0556,323.3319
HexCer-AP(t22:1/23:1)+HCO2,928.7089,882.7034,720.6506,422.3629,392.3523,367.3218,179.0556,321.3163
HexCer-AP(t22:1/24:0)+HCO2,944.7402,898.7347,736.6819,438.3942,408.3836,383.3531,179.0556,337.3476
HexCer-AP(t22:1/24:1)+HCO2,942.7245,896.7191,734.6663,436.3785,406.368,381.3374,179.0556,335.3319
HexCer-AP(t22:1/24:2)+HCO2,940.7089,894.7034,732.6506,434.3629,404.3523,379.3218,179.0556,333.3163
HexCer-AP(t22:1/25:0)+HCO2,958.7559,912.7504,750.6976,452.4099,422.3993,397.3687,179.0556,351.3633
HexCer-AP(t22:1/25:1)+HCO2,956.7402,910.7347,748.6819,450.3942,420.3836,395.3531,179.0556,349.3476
HexCer-AP(t22:1/26:0)+HCO2,972.7715,926.7661,764.7132,466.4255,436.4149,411.3844,179.0556,365.3789
HexCer-AP(t22:1/26:1)+HCO2,970.7559,924.7504,762.6976,464.4099,434.3993,409.3687,179.0556,363.3633
HexCer-AP(t22:1/26:2)+HCO2,968.7402,922.7347,760.6819,462.3942,432.3836,407.3531,179.0556,361.3476
HexCer-AP(t22:1/27:0)+HCO2,986.7872,940.7817,778.7288,480.4411,450.4306,425.4,179.0556,379.3945
HexCer-AP(t22:1/27:1)+HCO2,984.7715,938.7661,776.7132,478.4255,448.4149,423.3844,179.0556,377.3789
HexCer-AP(t22:1/28:0)+HCO2,1000.803,954.7973,792.7445,494.4568,464.4462,439.4157,179.0556,393.4102
HexCer-AP(t22:1/28:1)+HCO2,998.7872,952.7817,790.7288,492.4411,462.4306,437.4,179.0556,391.3945
HexCer-AP(t22:1/28:2)+HCO2,996.7715,950.7661,788.7132,490.4255,460.4149,435.3844,179.0556,389.3789
HexCer-AP(t22:1/29:0)+HCO2,1014.818,968.813,806.7601,508.4724,478.4619,453.4313,179.0556,407.4258
HexCer-AP(t22:1/29:1)+HCO2,1012.803,966.7973,804.7445,506.4568,476.4462,451.4157,179.0556,405.4102
HexCer-AP(t22:1/30:0)+HCO2,1028.834,982.8286,820.7758,522.4881,492.4775,467.447,179.0556,421.4415
HexCer-AP(t22:1/30:1)+HCO2,1026.818,980.813,818.7601,520.4724,490.4619,465.4313,179.0556,419.4258
HexCer-AP(t22:1/30:2)+HCO2,1024.803,978.7973,816.7445,518.4568,488.4462,463.4157,179.0556,417.4102
HexCer-AP(t22:1/31:0)+HCO2,1042.85,996.8443,834.7914,536.5037,506.4932,481.4626,179.0556,435.4572
HexCer-AP(t22:1/31:1)+HCO2,1040.834,994.8286,832.7758,534.4881,504.4775,479.447,179.0556,433.4415
HexCer-AP(t22:1/32:0)+HCO2,1056.865,1010.86,848.8071,550.5194,520.5089,495.4783,179.0556,449.4728
HexCer-AP(t22:1/32:1)+HCO2,1054.85,1008.844,846.7914,548.5037,518.4932,493.4626,179.0556,447.4572
HexCer-AP(t22:1/32:2)+HCO2,1052.834,1006.829,844.7758,546.4881,516.4775,491.447,179.0556,445.4415
HexCer-AP(t22:1/33:0)+HCO2,1070.881,1024.876,862.8228,564.535,534.5245,509.4939,179.0556,463.4884
HexCer-AP(t22:1/33:1)+HCO2,1068.865,1022.86,860.8071,562.5194,532.5089,507.4783,179.0556,461.4728
HexCer-AP(t22:1/34:0)+HCO2,1084.897,1038.891,876.8384,578.5507,548.5401,523.5096,179.0556,477.5041
HexCer-AP(t22:1/34:1)+HCO2,1082.881,1036.876,874.8228,576.535,546.5245,521.494,179.0556,475.4884
HexCer-AP(t22:1/34:2)+HCO2,1080.865,1034.86,872.8071,574.5194,544.5089,519.4783,179.0556,473.4728
HexCer-AP(t22:1/35:0)+HCO2,1098.912,1052.907,890.8541,592.5663,562.5558,537.5252,179.0556,491.5197
HexCer-AP(t22:1/35:1)+HCO2,1096.897,1050.891,888.8384,590.5507,560.5401,535.5096,179.0556,489.5041
HexCer-AP(t22:1/36:0)+HCO2,1112.928,1066.922,904.8697,606.582,576.5714,551.5409,179.0556,505.5354
HexCer-AP(t22:1/36:1)+HCO2,1110.912,1064.907,902.8541,604.5663,574.5558,549.5252,179.0556,503.5197
HexCer-AP(t22:1/36:2)+HCO2,1108.897,1062.891,900.8384,602.5507,572.5401,547.5096,179.0556,501.5041
HexCer-AP(t22:1/38:0)+HCO2,1140.959,1094.954,932.901,634.6133,604.6027,579.5722,179.0556,533.5667
HexCer-AP(t22:1/38:1)+HCO2,1138.944,1092.938,930.8854,632.5977,602.5871,577.5565,179.0556,531.551
HexCer-AP(t22:1/38:2)+HCO2,1136.928,1090.922,928.8697,630.582,600.5714,575.5409,179.0556,529.5354
HexCer-AP(t22:1/40:0)+HCO2,1168.991,1122.985,960.9323,662.6446,632.634,607.6035,179.0556,561.598
HexCer-AP(t22:1/40:1)+HCO2,1166.975,1120.969,958.9166,660.629,630.6183,605.5878,179.0556,559.5823
HexCer-AP(t22:1/40:2)+HCO2,1164.959,1118.954,956.901,658.6133,628.6027,603.5722,179.0556,557.5667
HexCer-AP(t22:1/42:0)+HCO2,1197.022,1151.016,988.9636,690.6759,660.6653,635.6348,179.0556,589.6293
HexCer-AP(t22:1/42:1)+HCO2,1195.006,1149.001,986.9479,688.6602,658.6497,633.6191,179.0556,587.6136
HexCer-AP(t22:1/42:2)+HCO2,1192.991,1146.985,984.9323,686.6446,656.634,631.6035,179.0556,585.598
HexCer-AP(t22:2/12:0)+HCO2,774.5367,728.5313,566.4785,270.2064,240.1958,215.1653,179.0556,169.1598
HexCer-AP(t22:2/12:1)+HCO2,772.5211,726.5156,564.4628,268.1907,238.1802,213.1496,179.0556,167.1441
HexCer-AP(t22:2/13:0)+HCO2,788.5524,742.5469,580.4941,284.222,254.2115,229.1809,179.0556,183.1754
HexCer-AP(t22:2/13:1)+HCO2,786.5367,740.5313,578.4785,282.2064,252.1958,227.1653,179.0556,181.1598
HexCer-AP(t22:2/14:0)+HCO2,802.5681,756.5626,594.5098,298.2377,268.2271,243.1966,179.0556,197.1911
HexCer-AP(t22:2/14:1)+HCO2,800.5524,754.5469,592.4941,296.222,266.2115,241.1809,179.0556,195.1754
HexCer-AP(t22:2/15:0)+HCO2,816.5837,770.5782,608.5254,312.2533,282.2428,257.2122,179.0556,211.2067
HexCer-AP(t22:2/15:1)+HCO2,814.5681,768.5626,606.5098,310.2377,280.2271,255.1966,179.0556,209.1911
HexCer-AP(t22:2/16:0)+HCO2,830.5994,784.5939,622.541,326.269,296.2584,271.2279,179.0556,225.2224
HexCer-AP(t22:2/16:1)+HCO2,828.5837,782.5782,620.5254,324.2533,294.2428,269.2122,179.0556,223.2067
HexCer-AP(t22:2/16:2)+HCO2,826.5681,780.5626,618.5098,322.2377,292.2271,267.1966,179.0556,221.1911
HexCer-AP(t22:2/17:0)+HCO2,844.615,798.6096,636.5567,340.2846,310.2741,285.2435,179.0556,239.238
HexCer-AP(t22:2/18:0)+HCO2,858.6307,812.6252,650.5723,354.3003,324.2897,299.2592,179.0556,253.2537
HexCer-AP(t22:2/18:1)+HCO2,856.615,810.6096,648.5567,352.2846,322.2741,297.2435,179.0556,251.238
HexCer-AP(t22:2/18:2)+HCO2,854.5994,808.5939,646.541,350.269,320.2584,295.2279,179.0556,249.2224
HexCer-AP(t22:2/19:0)+HCO2,872.6463,826.6408,664.588,368.3159,338.3054,313.2748,179.0556,267.2693
HexCer-AP(t22:2/19:1)+HCO2,870.6307,824.6252,662.5723,366.3003,336.2897,311.2592,179.0556,265.2537
HexCer-AP(t22:2/20:0)+HCO2,886.6619,840.6565,678.6036,382.3316,352.321,327.2905,179.0556,281.285
HexCer-AP(t22:2/20:1)+HCO2,884.6463,838.6408,676.588,380.3159,350.3054,325.2748,179.0556,279.2693
HexCer-AP(t22:2/20:2)+HCO2,882.6307,836.6252,674.5723,378.3003,348.2897,323.2592,179.0556,277.2537
HexCer-AP(t22:2/21:0)+HCO2,900.6776,854.6721,692.6193,396.3472,366.3367,341.3061,179.0556,295.3006
HexCer-AP(t22:2/21:1)+HCO2,898.6619,852.6565,690.6036,394.3316,364.321,339.2905,179.0556,293.285
HexCer-AP(t22:2/22:0)+HCO2,914.6932,868.6878,706.6349,410.3629,380.3523,355.3218,179.0556,309.3163
HexCer-AP(t22:2/22:1)+HCO2,912.6776,866.6721,704.6193,408.3472,378.3367,353.3061,179.0556,307.3006
HexCer-AP(t22:2/22:2)+HCO2,910.6619,864.6565,702.6036,406.3316,376.321,351.2905,179.0556,305.285
HexCer-AP(t22:2/23:0)+HCO2,928.7089,882.7034,720.6506,424.3785,394.368,369.3374,179.0556,323.3319
HexCer-AP(t22:2/23:1)+HCO2,926.6932,880.6878,718.6349,422.3629,392.3523,367.3218,179.0556,321.3163
HexCer-AP(t22:2/24:0)+HCO2,942.7245,896.7191,734.6663,438.3942,408.3836,383.3531,179.0556,337.3476
HexCer-AP(t22:2/24:1)+HCO2,940.7089,894.7034,732.6506,436.3785,406.368,381.3374,179.0556,335.3319
HexCer-AP(t22:2/24:2)+HCO2,938.6932,892.6878,730.6349,434.3629,404.3523,379.3218,179.0556,333.3163
HexCer-AP(t22:2/25:0)+HCO2,956.7402,910.7347,748.6819,452.4099,422.3993,397.3687,179.0556,351.3633
HexCer-AP(t22:2/25:1)+HCO2,954.7245,908.7191,746.6663,450.3942,420.3836,395.3531,179.0556,349.3476
HexCer-AP(t22:2/26:0)+HCO2,970.7559,924.7504,762.6976,466.4255,436.4149,411.3844,179.0556,365.3789
HexCer-AP(t22:2/26:1)+HCO2,968.7402,922.7347,760.6819,464.4099,434.3993,409.3687,179.0556,363.3633
HexCer-AP(t22:2/26:2)+HCO2,966.7245,920.7191,758.6663,462.3942,432.3836,407.3531,179.0556,361.3476
HexCer-AP(t22:2/27:0)+HCO2,984.7715,938.7661,776.7132,480.4411,450.4306,425.4,179.0556,379.3945
HexCer-AP(t22:2/27:1)+HCO2,982.7559,936.7504,774.6976,478.4255,448.4149,423.3844,179.0556,377.3789
HexCer-AP(t22:2/28:0)+HCO2,998.7872,952.7817,790.7288,494.4568,464.4462,439.4157,179.0556,393.4102
HexCer-AP(t22:2/28:1)+HCO2,996.7715,950.7661,788.7132,492.4411,462.4306,437.4,179.0556,391.3945
HexCer-AP(t22:2/28:2)+HCO2,994.7559,948.7504,786.6976,490.4255,460.4149,435.3844,179.0556,389.3789
HexCer-AP(t22:2/29:0)+HCO2,1012.803,966.7973,804.7445,508.4724,478.4619,453.4313,179.0556,407.4258
HexCer-AP(t22:2/29:1)+HCO2,1010.787,964.7817,802.7288,506.4568,476.4462,451.4157,179.0556,405.4102
HexCer-AP(t22:2/30:0)+HCO2,1026.818,980.813,818.7601,522.4881,492.4775,467.447,179.0556,421.4415
HexCer-AP(t22:2/30:1)+HCO2,1024.803,978.7973,816.7445,520.4724,490.4619,465.4313,179.0556,419.4258
HexCer-AP(t22:2/30:2)+HCO2,1022.787,976.7817,814.7288,518.4568,488.4462,463.4157,179.0556,417.4102
HexCer-AP(t22:2/31:0)+HCO2,1040.834,994.8286,832.7758,536.5037,506.4932,481.4626,179.0556,435.4572
HexCer-AP(t22:2/31:1)+HCO2,1038.818,992.813,830.7601,534.4881,504.4775,479.447,179.0556,433.4415
HexCer-AP(t22:2/32:0)+HCO2,1054.85,1008.844,846.7914,550.5194,520.5089,495.4783,179.0556,449.4728
HexCer-AP(t22:2/32:1)+HCO2,1052.834,1006.829,844.7758,548.5037,518.4932,493.4626,179.0556,447.4572
HexCer-AP(t22:2/32:2)+HCO2,1050.818,1004.813,842.7601,546.4881,516.4775,491.447,179.0556,445.4415
HexCer-AP(t22:2/33:0)+HCO2,1068.865,1022.86,860.8071,564.535,534.5245,509.4939,179.0556,463.4884
HexCer-AP(t22:2/33:1)+HCO2,1066.85,1020.844,858.7914,562.5194,532.5089,507.4783,179.0556,461.4728
HexCer-AP(t22:2/34:0)+HCO2,1082.881,1036.876,874.8228,578.5507,548.5401,523.5096,179.0556,477.5041
HexCer-AP(t22:2/34:1)+HCO2,1080.865,1034.86,872.8071,576.535,546.5245,521.494,179.0556,475.4884
HexCer-AP(t22:2/34:2)+HCO2,1078.85,1032.844,870.7914,574.5194,544.5089,519.4783,179.0556,473.4728
HexCer-AP(t22:2/35:0)+HCO2,1096.897,1050.891,888.8384,592.5663,562.5558,537.5252,179.0556,491.5197
HexCer-AP(t22:2/35:1)+HCO2,1094.881,1048.876,886.8228,590.5507,560.5401,535.5096,179.0556,489.5041
HexCer-AP(t22:2/36:0)+HCO2,1110.912,1064.907,902.8541,606.582,576.5714,551.5409,179.0556,505.5354
HexCer-AP(t22:2/36:1)+HCO2,1108.897,1062.891,900.8384,604.5663,574.5558,549.5252,179.0556,503.5197
HexCer-AP(t22:2/36:2)+HCO2,1106.881,1060.876,898.8228,602.5507,572.5401,547.5096,179.0556,501.5041
HexCer-AP(t22:2/38:0)+HCO2,1138.944,1092.938,930.8854,634.6133,604.6027,579.5722,179.0556,533.5667
HexCer-AP(t22:2/38:1)+HCO2,1136.928,1090.922,928.8697,632.5977,602.5871,577.5565,179.0556,531.551
HexCer-AP(t22:2/38:2)+HCO2,1134.912,1088.907,926.8541,630.582,600.5714,575.5409,179.0556,529.5354
HexCer-AP(t22:2/40:0)+HCO2,1166.975,1120.969,958.9166,662.6446,632.634,607.6035,179.0556,561.598
HexCer-AP(t22:2/40:1)+HCO2,1164.959,1118.954,956.901,660.629,630.6183,605.5878,179.0556,559.5823
HexCer-AP(t22:2/40:2)+HCO2,1162.944,1116.938,954.8854,658.6133,628.6027,603.5722,179.0556,557.5667
HexCer-AP(t22:2/42:0)+HCO2,1195.006,1149.001,986.9479,690.6759,660.6653,635.6348,179.0556,589.6293
HexCer-AP(t22:2/42:1)+HCO2,1192.991,1146.985,984.9323,688.6602,658.6497,633.6191,179.0556,587.6136
HexCer-AP(t22:2/42:2)+HCO2,1190.975,1144.969,982.9166,686.6446,656.634,631.6035,179.0556,585.598
HexCer-AP(t23:0/12:0)+HCO2,792.5837,746.5782,584.5254,270.2064,240.1958,215.1653,179.0556,169.1598
HexCer-AP(t23:0/12:1)+HCO2,790.5681,744.5626,582.5098,268.1907,238.1802,213.1496,179.0556,167.1441
HexCer-AP(t23:0/13:0)+HCO2,806.5994,760.5939,598.541,284.222,254.2115,229.1809,179.0556,183.1754
HexCer-AP(t23:0/13:1)+HCO2,804.5837,758.5782,596.5254,282.2064,252.1958,227.1653,179.0556,181.1598
HexCer-AP(t23:0/14:0)+HCO2,820.615,774.6096,612.5567,298.2377,268.2271,243.1966,179.0556,197.1911
HexCer-AP(t23:0/14:1)+HCO2,818.5994,772.5939,610.541,296.222,266.2115,241.1809,179.0556,195.1754
HexCer-AP(t23:0/15:0)+HCO2,834.6307,788.6252,626.5723,312.2533,282.2428,257.2122,179.0556,211.2067
HexCer-AP(t23:0/15:1)+HCO2,832.615,786.6096,624.5567,310.2377,280.2271,255.1966,179.0556,209.1911
HexCer-AP(t23:0/16:0)+HCO2,848.6463,802.6408,640.588,326.269,296.2584,271.2279,179.0556,225.2224
HexCer-AP(t23:0/16:1)+HCO2,846.6307,800.6252,638.5723,324.2533,294.2428,269.2122,179.0556,223.2067
HexCer-AP(t23:0/16:2)+HCO2,844.615,798.6096,636.5567,322.2377,292.2271,267.1966,179.0556,221.1911
HexCer-AP(t23:0/17:0)+HCO2,862.6619,816.6565,654.6036,340.2846,310.2741,285.2435,179.0556,239.238
HexCer-AP(t23:0/18:0)+HCO2,876.6776,830.6721,668.6193,354.3003,324.2897,299.2592,179.0556,253.2537
HexCer-AP(t23:0/18:1)+HCO2,874.6619,828.6565,666.6036,352.2846,322.2741,297.2435,179.0556,251.238
HexCer-AP(t23:0/18:2)+HCO2,872.6463,826.6408,664.588,350.269,320.2584,295.2279,179.0556,249.2224
HexCer-AP(t23:0/19:0)+HCO2,890.6932,844.6878,682.6349,368.3159,338.3054,313.2748,179.0556,267.2693
HexCer-AP(t23:0/19:1)+HCO2,888.6776,842.6721,680.6193,366.3003,336.2897,311.2592,179.0556,265.2537
HexCer-AP(t23:0/20:0)+HCO2,904.7089,858.7034,696.6506,382.3316,352.321,327.2905,179.0556,281.285
HexCer-AP(t23:0/20:1)+HCO2,902.6932,856.6878,694.6349,380.3159,350.3054,325.2748,179.0556,279.2693
HexCer-AP(t23:0/20:2)+HCO2,900.6776,854.6721,692.6193,378.3003,348.2897,323.2592,179.0556,277.2537
HexCer-AP(t23:0/21:0)+HCO2,918.7245,872.7191,710.6663,396.3472,366.3367,341.3061,179.0556,295.3006
HexCer-AP(t23:0/21:1)+HCO2,916.7089,870.7034,708.6506,394.3316,364.321,339.2905,179.0556,293.285
HexCer-AP(t23:0/22:0)+HCO2,932.7402,886.7347,724.6819,410.3629,380.3523,355.3218,179.0556,309.3163
HexCer-AP(t23:0/22:1)+HCO2,930.7245,884.7191,722.6663,408.3472,378.3367,353.3061,179.0556,307.3006
HexCer-AP(t23:0/22:2)+HCO2,928.7089,882.7034,720.6506,406.3316,376.321,351.2905,179.0556,305.285
HexCer-AP(t23:0/23:0)+HCO2,946.7559,900.7504,738.6976,424.3785,394.368,369.3374,179.0556,323.3319
HexCer-AP(t23:0/23:1)+HCO2,944.7402,898.7347,736.6819,422.3629,392.3523,367.3218,179.0556,321.3163
HexCer-AP(t23:0/24:0)+HCO2,960.7715,914.7661,752.7132,438.3942,408.3836,383.3531,179.0556,337.3476
HexCer-AP(t23:0/24:1)+HCO2,958.7559,912.7504,750.6976,436.3785,406.368,381.3374,179.0556,335.3319
HexCer-AP(t23:0/24:2)+HCO2,956.7402,910.7347,748.6819,434.3629,404.3523,379.3218,179.0556,333.3163
HexCer-AP(t23:0/25:0)+HCO2,974.7872,928.7817,766.7288,452.4099,422.3993,397.3687,179.0556,351.3633
HexCer-AP(t23:0/25:1)+HCO2,972.7715,926.7661,764.7132,450.3942,420.3836,395.3531,179.0556,349.3476
HexCer-AP(t23:0/26:0)+HCO2,988.8028,942.7973,780.7445,466.4255,436.4149,411.3844,179.0556,365.3789
HexCer-AP(t23:0/26:1)+HCO2,986.7872,940.7817,778.7288,464.4099,434.3993,409.3687,179.0556,363.3633
HexCer-AP(t23:0/26:2)+HCO2,984.7715,938.7661,776.7132,462.3942,432.3836,407.3531,179.0556,361.3476
HexCer-AP(t23:0/27:0)+HCO2,1002.818,956.813,794.7601,480.4411,450.4306,425.4,179.0556,379.3945
HexCer-AP(t23:0/27:1)+HCO2,1000.803,954.7973,792.7445,478.4255,448.4149,423.3844,179.0556,377.3789
HexCer-AP(t23:0/28:0)+HCO2,1016.834,970.8286,808.7758,494.4568,464.4462,439.4157,179.0556,393.4102
HexCer-AP(t23:0/28:1)+HCO2,1014.818,968.813,806.7601,492.4411,462.4306,437.4,179.0556,391.3945
HexCer-AP(t23:0/28:2)+HCO2,1012.803,966.7973,804.7445,490.4255,460.4149,435.3844,179.0556,389.3789
HexCer-AP(t23:0/29:0)+HCO2,1030.85,984.8443,822.7914,508.4724,478.4619,453.4313,179.0556,407.4258
HexCer-AP(t23:0/29:1)+HCO2,1028.834,982.8286,820.7758,506.4568,476.4462,451.4157,179.0556,405.4102
HexCer-AP(t23:0/30:0)+HCO2,1044.865,998.8599,836.8071,522.4881,492.4775,467.447,179.0556,421.4415
HexCer-AP(t23:0/30:1)+HCO2,1042.85,996.8443,834.7914,520.4724,490.4619,465.4313,179.0556,419.4258
HexCer-AP(t23:0/30:2)+HCO2,1040.834,994.8286,832.7758,518.4568,488.4462,463.4157,179.0556,417.4102
HexCer-AP(t23:0/31:0)+HCO2,1058.881,1012.876,850.8228,536.5037,506.4932,481.4626,179.0556,435.4572
HexCer-AP(t23:0/31:1)+HCO2,1056.865,1010.86,848.8071,534.4881,504.4775,479.447,179.0556,433.4415
HexCer-AP(t23:0/32:0)+HCO2,1072.897,1026.891,864.8384,550.5194,520.5089,495.4783,179.0556,449.4728
HexCer-AP(t23:0/32:1)+HCO2,1070.881,1024.876,862.8228,548.5037,518.4932,493.4626,179.0556,447.4572
HexCer-AP(t23:0/32:2)+HCO2,1068.865,1022.86,860.8071,546.4881,516.4775,491.447,179.0556,445.4415
HexCer-AP(t23:0/33:0)+HCO2,1086.912,1040.907,878.8541,564.535,534.5245,509.4939,179.0556,463.4884
HexCer-AP(t23:0/33:1)+HCO2,1084.897,1038.891,876.8384,562.5194,532.5089,507.4783,179.0556,461.4728
HexCer-AP(t23:0/34:0)+HCO2,1100.928,1054.922,892.8697,578.5507,548.5401,523.5096,179.0556,477.5041
HexCer-AP(t23:0/34:1)+HCO2,1098.912,1052.907,890.8541,576.535,546.5245,521.494,179.0556,475.4884
HexCer-AP(t23:0/34:2)+HCO2,1096.897,1050.891,888.8384,574.5194,544.5089,519.4783,179.0556,473.4728
HexCer-AP(t23:0/35:0)+HCO2,1114.944,1068.938,906.8854,592.5663,562.5558,537.5252,179.0556,491.5197
HexCer-AP(t23:0/35:1)+HCO2,1112.928,1066.922,904.8697,590.5507,560.5401,535.5096,179.0556,489.5041
HexCer-AP(t23:0/36:0)+HCO2,1128.959,1082.954,920.901,606.582,576.5714,551.5409,179.0556,505.5354
HexCer-AP(t23:0/36:1)+HCO2,1126.944,1080.938,918.8854,604.5663,574.5558,549.5252,179.0556,503.5197
HexCer-AP(t23:0/36:2)+HCO2,1124.928,1078.922,916.8697,602.5507,572.5401,547.5096,179.0556,501.5041
HexCer-AP(t23:0/38:0)+HCO2,1156.991,1110.985,948.9323,634.6133,604.6027,579.5722,179.0556,533.5667
HexCer-AP(t23:0/38:1)+HCO2,1154.975,1108.969,946.9166,632.5977,602.5871,577.5565,179.0556,531.551
HexCer-AP(t23:0/38:2)+HCO2,1152.959,1106.954,944.901,630.582,600.5714,575.5409,179.0556,529.5354
HexCer-AP(t23:0/40:0)+HCO2,1185.022,1139.016,976.9636,662.6446,632.634,607.6035,179.0556,561.598
HexCer-AP(t23:0/40:1)+HCO2,1183.006,1137.001,974.9479,660.629,630.6183,605.5878,179.0556,559.5823
HexCer-AP(t23:0/40:2)+HCO2,1180.991,1134.985,972.9323,658.6133,628.6027,603.5722,179.0556,557.5667
