PEtOH,[M+NH4]+,[M-C2H7O4P+H]+,[C5H11O5P+H]+
PEtOH(44:6)+NH4,850.63207,707.5973,183.0417
PEtOH(44:7)+NH4,848.61647,705.5817,183.0417
PEtOH(44:8)+NH4,846.60077,703.566,183.0417
PEtOH(44:9)+NH4,844.58517,701.5504,183.0417
PEtOH(45:0)+NH4,876.74167,733.7069,183.0417
PEtOH(45:1)+NH4,874.72597,731.6912,183.0417
PEtOH(45:2)+NH4,872.71037,729.6756,183.0417
PEtOH(45:3)+NH4,870.69467,727.6599,183.0417
PEtOH(45:4)+NH4,868.67897,725.6442,183.0417
PEtOH(45:5)+NH4,866.66337,723.6286,183.0417
PEtOH(45:6)+NH4,864.64767,721.6129,183.0417
PEtOH(46:0)+NH4,890.75727,747.7225,183.0417
PEtOH(46:1)+NH4,888.74167,745.7069,183.0417
PEtOH(46:10)+NH4,870.60077,727.566,183.0417
PEtOH(46:2)+NH4,886.72597,743.6912,183.0417
PEtOH(46:3)+NH4,884.71037,741.6756,183.0417
PEtOH(46:4)+NH4,882.69467,739.6599,183.0417
PEtOH(46:5)+NH4,880.67897,737.6442,183.0417
PEtOH(46:6)+NH4,878.66337,735.6286,183.0417
PEtOH(46:7)+NH4,876.64767,733.6129,183.0417
PEtOH(46:8)+NH4,874.63207,731.5973,183.0417
PEtOH(46:9)+NH4,872.61647,729.5817,183.0417
PEtOH(47:0)+NH4,904.77297,761.7382,183.0417
PEtOH(47:1)+NH4,902.75727,759.7225,183.0417
PEtOH(47:2)+NH4,900.74167,757.7069,183.0417
PEtOH(47:3)+NH4,898.72597,755.6912,183.0417
PEtOH(47:4)+NH4,896.71037,753.6756,183.0417
PEtOH(47:5)+NH4,894.69467,751.6599,183.0417
PEtOH(47:6)+NH4,892.67897,749.6442,183.0417
PEtOH(48:0)+NH4,918.78857,775.7538,183.0417
PEtOH(48:1)+NH4,916.77297,773.7382,183.0417
PEtOH(48:10)+NH4,898.63207,755.5973,183.0417
PEtOH(48:2)+NH4,914.75727,771.7225,183.0417
PEtOH(48:3)+NH4,912.74167,769.7069,183.0417
PEtOH(48:4)+NH4,910.72597,767.6912,183.0417
PEtOH(48:5)+NH4,908.71037,765.6756,183.0417
PEtOH(48:6)+NH4,906.69467,763.6599,183.0417
PEtOH(48:7)+NH4,904.67897,761.6442,183.0417
PEtOH(48:8)+NH4,902.66337,759.6286,183.0417
PEtOH(48:9)+NH4,900.64767,757.6129,183.0417
PEtOH(49:0)+NH4,932.80427,789.7695,183.0417
PEtOH(49:1)+NH4,930.78857,787.7538,183.0417
PEtOH(49:2)+NH4,928.77297,785.7382,183.0417
PEtOH(49:3)+NH4,926.75727,783.7225,183.0417
PEtOH(49:4)+NH4,924.74167,781.7069,183.0417
PEtOH(49:5)+NH4,922.72597,779.6912,183.0417
PEtOH(49:6)+NH4,920.71037,777.6756,183.0417
PEtOH(50:0)+NH4,946.81987,803.7851,183.0417
PEtOH(50:1)+NH4,944.80427,801.7695,183.0417
PEtOH(50:2)+NH4,942.78857,799.7538,183.0417
PEtOH(50:3)+NH4,940.77297,797.7382,183.0417
PEtOH(50:4)+NH4,938.75727,795.7225,183.0417
PEtOH(50:5)+NH4,936.74167,793.7069,183.0417
PEtOH(50:6)+NH4,934.72597,791.6912,183.0417
PEtOH(50:8)+NH4,930.69467,787.6599,183.0417
PEtOH(51:0)+NH4,960.83547,817.8007,183.0417
PEtOH(51:1)+NH4,958.81987,815.7851,183.0417
PEtOH(51:2)+NH4,956.80427,813.7695,183.0417
PEtOH(51:4)+NH4,952.77297,809.7382,183.0417
PEtOH(52:0)+NH4,974.85117,831.8164,183.0417
PEtOH(52:1)+NH4,972.83547,829.8007,183.0417
PEtOH(52:2)+NH4,970.81987,827.7851,183.0417
PEtOH(52:3)+NH4,968.80427,825.7695,183.0417
PEtOH(52:4)+NH4,966.78857,823.7538,183.0417
PEtOH(52:5)+NH4,964.77297,821.7382,183.0417
PEtOH(52:6)+NH4,962.75727,819.7225,183.0417
PEtOH(52:8)+NH4,958.72597,815.6912,183.0417
PEtOH(53:0)+NH4,988.86677,845.832,183.0417
PEtOH(53:1)+NH4,986.85117,843.8164,183.0417
PEtOH(53:2)+NH4,984.83547,841.8007,183.0417
PEtOH(53:4)+NH4,980.80427,837.7695,183.0417
PEtOH(54:0)+NH4,1002.88247,859.8477,183.0417
