SM,[M+HCO2]-,M-CH3,(P-Cho)-CH3-H
SM(44:7)+HCO2,875.6284,815.6026,168.0431
SM(44:8)+HCO2,873.6127,813.5869,168.0431
SM(44:9)+HCO2,871.5971,811.5713,168.0431
SM(45:0)+HCO2,903.7536,843.7278,168.0431
SM(45:1)+HCO2,901.738,841.7122,168.0431
SM(45:2)+HCO2,899.7223,839.6965,168.0431
SM(45:3)+HCO2,897.7067,837.6809,168.0431
SM(45:4)+HCO2,895.691,835.6652,168.0431
SM(45:5)+HCO2,893.6754,833.6496,168.0431
SM(45:6)+HCO2,891.6597,831.6339,168.0431
SM(46:0)+HCO2,917.7692,857.7434,168.0431
SM(46:1)+HCO2,915.7536,855.7278,168.0431
SM(46:2)+HCO2,913.7379,853.7121,168.0431
SM(46:3)+HCO2,911.7223,851.6965,168.0431
SM(46:4)+HCO2,909.7066,849.6808,168.0431
SM(46:5)+HCO2,907.691,847.6652,168.0431
SM(46:6)+HCO2,905.6754,845.6496,168.0431
SM(46:7)+HCO2,903.6597,843.6339,168.0431
SM(47:0)+HCO2,931.7849,871.7591,168.0431
SM(47:1)+HCO2,929.7693,869.7435,168.0431
SM(47:2)+HCO2,927.7536,867.7278,168.0431
SM(47:3)+HCO2,925.738,865.7122,168.0431
SM(47:4)+HCO2,923.7223,863.6965,168.0431
SM(47:5)+HCO2,921.7067,861.6809,168.0431
SM(47:6)+HCO2,919.691,859.6652,168.0431
SM(48:0)+HCO2,945.8005,885.7747,168.0431
SM(48:1)+HCO2,943.7849,883.7591,168.0431
SM(48:2)+HCO2,941.7692,881.7434,168.0431
SM(48:3)+HCO2,939.7536,879.7278,168.0431
SM(48:4)+HCO2,937.7379,877.7121,168.0431
SM(48:5)+HCO2,935.7223,875.6965,168.0431
SM(48:6)+HCO2,933.7066,873.6808,168.0431
SM(49:0)+HCO2,959.8162,899.7904,168.0431
SM(49:1)+HCO2,957.8006,897.7748,168.0431
SM(50:0)+HCO2,973.8318,913.806,168.0431
SM(50:1)+HCO2,971.8162,911.7904,168.0431
SM(51:0)+HCO2,987.8475,927.8217,168.0431
SM(52:0)+HCO2,1001.8631,941.8373,168.0431
