Plasmanyl-PC,[M+H]+,MH-PC,NL_sn1_ether,NL_sn1_59,NL_sn2_acyl,sn2_NL_H2O,LPC_T2_H,RCOO+58_T2,RCO_T2,PC_Head
Plasmanyl-PC(O-18:1/18:3)+H,768.5902576,585.5242176,502.3293926,443.2558926,508.3762776,490.3657176,518.32419,335.25813,261.2219,184.07332
Plasmanyl-PC(O-18:1/18:4)+H,766.5745576,583.5085176,500.3136926,441.2401926,508.3762776,490.3657176,516.30849,333.24243,259.2062,184.07332
Plasmanyl-PC(O-18:1/19:0)+H,788.6528576,605.5868176,522.3919926,463.3184926,508.3762776,490.3657176,538.38679,355.32073,281.2845,184.07332
Plasmanyl-PC(O-18:1/20:0)+H,802.6684576,619.6024176,536.4075926,477.3340926,508.3762776,490.3657176,552.40239,369.33633,295.3001,184.07332
Plasmanyl-PC(O-18:1/20:1)+H,800.6528576,617.5868176,534.3919926,475.3184926,508.3762776,490.3657176,550.38679,367.32073,293.2845,184.07332
Plasmanyl-PC(O-18:1/20:2)+H,798.6371576,615.5711176,532.3762926,473.3027926,508.3762776,490.3657176,548.37109,365.30503,291.2688,184.07332
Plasmanyl-PC(O-18:1/20:3)+H,796.6215576,613.5555176,530.3606926,471.2871926,508.3762776,490.3657176,546.35549,363.28943,289.2532,184.07332
Plasmanyl-PC(O-18:1/20:4)+H,794.6058576,611.5398176,528.3449926,469.2714926,508.3762776,490.3657176,544.33979,361.27373,287.2375,184.07332
Plasmanyl-PC(O-18:1/20:5)+H,792.5902576,609.5242176,526.3293926,467.2558926,508.3762776,490.3657176,542.32419,359.25813,285.2219,184.07332
Plasmanyl-PC(O-18:1/21:0)+H,816.6841576,633.6181176,550.4232926,491.3497926,508.3762776,490.3657176,566.41809,383.35203,309.3158,184.07332
Plasmanyl-PC(O-18:1/22:0)+H,830.6997576,647.6337176,564.4388926,505.3653926,508.3762776,490.3657176,580.43369,397.36763,323.3314,184.07332
