OxPI,[M-H]-,FA SN2,FA SN2-H2O,C9H14O9P,FA SN2-2H2O,FA SN1,C6H10O8P
OxPI(18:1_20:4(2O))-H,915.5235,335.2228,317.2122,297.0381,299.2017,281.2479,241.0119
OxPI(18:1_20:4(3O))-H,931.5184,351.2177,333.2072,297.0381,315.1966,281.2479,241.0119
OxPI(18:1_20:4(3O(2Cyc)))-H,931.5184,351.2177,333.2072,297.0381,0.01,281.2479,241.0119
OxPI(18:1_20:4(4O(1Cyc)))-H,947.5133,367.2126,349.2021,297.0381,331.1915,281.2479,241.0119
OxPI(18:1_20:4(4O(2Cyc)))-H,947.5133,367.2126,349.2021,297.0381,331.1915,281.2479,241.0119
OxPI(18:1_20:5(1O))-H,897.5129,317.2122,299.2017,297.0381,0.01,281.2479,241.0119
OxPI(18:1_20:5(1O(1Cyc)))-H,895.4973,315.1966,0.01,297.0381,0.01,281.2479,241.0119
OxPI(18:1_20:5(2O))-H,913.5078,333.2071,315.1966,297.0381,297.186,281.2479,241.0119
OxPI(18:1_20:5(3O))-H,929.5027,349.2021,331.1915,297.0381,313.1809,281.2479,241.0119
OxPI(18:1_20:5(3O(2Cyc)))-H,929.5027,349.2021,331.1915,297.0381,0.01,281.2479,241.0119
OxPI(18:1_20:5(4O(2Cyc)))-H,945.4977,365.197,347.1864,297.0381,329.1758,281.2479,241.0119
OxPI(18:1_22:5(1O(1Cyc)))-H,923.5286,343.2279,0.01,297.0381,0.01,281.2479,241.0119
OxPI(18:1_22:5(2O))-H,941.5391,361.2384,343.2279,297.0381,325.2173,281.2479,241.0119
OxPI(18:1_22:6(1O))-H,923.5286,343.2279,325.2173,297.0381,0.01,281.2479,241.0119
OxPI(18:1_22:6(2O))-H,939.5235,359.2228,341.2122,297.0381,323.2017,281.2479,241.0119
OxPI(18:1_22:6(3O))-H,955.5184,375.2177,357.2072,297.0381,339.1966,281.2479,241.0119
OxPI(18:1_22:6(4O))-H,971.5133,391.2126,373.2021,297.0381,355.1915,281.2479,241.0119
