Cer_AP,[M-H]-,[FA+NC(C)CO-H]-,[FA+O-H]-,[FA-CO-3H]-,[Sph-NC(CO)CO-H]-
Cer_AP(t18:0/16:3)-H,564.46335,320.22255,265.18145,219.17595,225.22185
Cer_AP(t18:0/16:4)-H,562.44765,318.20695,263.16585,217.16035,225.22185
Cer_AP(t18:0/17:0)-H,584.52595,340.28515,285.24405,239.23855,225.22185
Cer_AP(t18:0/17:1)-H,582.51035,338.26955,283.22845,237.22295,225.22185
Cer_AP(t18:0/17:2)-H,580.49465,336.25385,281.21275,235.20725,225.22185
Cer_AP(t18:0/17:3)-H,578.47905,334.23825,279.19715,233.19165,225.22185
Cer_AP(t18:0/18:0)-H,598.54165,354.30085,299.25975,253.25425,225.22185
Cer_AP(t18:0/18:1)-H,596.52595,352.28515,297.24405,251.23855,225.22185
Cer_AP(t18:0/18:2)-H,594.51035,350.26955,295.22845,249.22295,225.22185
Cer_AP(t18:0/18:3)-H,592.49465,348.25385,293.21275,247.20725,225.22185
Cer_AP(t18:0/18:4)-H,590.47905,346.23825,291.19715,245.19165,225.22185
Cer_AP(t18:0/19:0)-H,612.55725,368.31645,313.27535,267.26985,225.22185
Cer_AP(t18:0/19:1)-H,610.54165,366.30085,311.25975,265.25425,225.22185
Cer_AP(t18:0/19:2)-H,608.52595,364.28515,309.24405,263.23855,225.22185
Cer_AP(t18:0/19:3)-H,606.51035,362.26955,307.22845,261.22295,225.22185
Cer_AP(t18:0/19:4)-H,604.49465,360.25385,305.21275,259.20725,225.22185
Cer_AP(t18:0/20:0)-H,626.57285,382.33215,327.29105,281.28555,225.22185
Cer_AP(t18:0/20:1)-H,624.55725,380.31645,325.27535,279.26985,225.22185
Cer_AP(t18:0/20:2)-H,622.54165,378.30085,323.25975,277.25425,225.22185
Cer_AP(t18:0/20:3)-H,620.52595,376.28515,321.24405,275.23855,225.22185
Cer_AP(t18:0/20:4)-H,618.51035,374.26955,319.22845,273.22295,225.22185
Cer_AP(t18:0/21:0)-H,640.58855,396.34775,341.30665,295.30115,225.22185
Cer_AP(t18:0/21:1)-H,638.57285,394.33215,339.29105,293.28555,225.22185
Cer_AP(t18:0/21:2)-H,636.55725,392.31645,337.27535,291.26985,225.22185
Cer_AP(t18:0/21:3)-H,634.54165,390.30085,335.25975,289.25425,225.22185
