SM,[M+HCO2]-,M-CH3,FA-H,(P-Cho)-CH3-H
SM(d15:0/25:0)+HCO2,833.6754,773.6496,381.3738,168.0431
SM(d15:0/26:0)+HCO2,847.691,787.6652,395.3894,168.0431
SM(d15:0/8:0)+HCO2,595.4093,535.3835,143.1077,168.0431
SM(d15:1/10:0)+HCO2,621.4249,561.3991,171.139,168.0431
SM(d15:1/12:0)+HCO2,649.4562,589.4304,199.1703,168.0431
SM(d15:1/13:0)+HCO2,663.4719,603.4461,213.186,168.0431
SM(d15:1/14:0)+HCO2,677.4875,617.4617,227.2016,168.0431
SM(d15:1/14:1)+HCO2,675.4719,615.4461,225.186,168.0431
SM(d15:1/15:0)+HCO2,691.5032,631.4774,241.2173,168.0431
SM(d15:1/15:1)+HCO2,689.4875,629.4617,239.2016,168.0431
SM(d15:1/16:0)+HCO2,705.5188,645.493,255.2329,168.0431
SM(d15:1/16:1)+HCO2,703.5032,643.4774,253.2173,168.0431
SM(d15:1/17:0)+HCO2,719.5345,659.5087,269.2486,168.0431
SM(d15:1/17:1)+HCO2,717.5188,657.493,267.2329,168.0431
SM(d15:1/17:2)+HCO2,715.5032,655.4774,265.2173,168.0431
SM(d15:1/18:0)+HCO2,733.5501,673.5243,283.2642,168.0431
SM(d15:1/18:1)+HCO2,731.5345,671.5087,281.2486,168.0431
SM(d15:1/18:2)+HCO2,729.5188,669.493,279.2329,168.0431
SM(d15:1/18:3)+HCO2,727.5032,667.4774,277.2173,168.0431
SM(d15:1/18:4)+HCO2,725.4875,665.4617,275.2016,168.0431
SM(d15:1/19:0)+HCO2,747.5658,687.54,297.2799,168.0431
SM(d15:1/20:0)+HCO2,761.5814,701.5556,311.2955,168.0431
SM(d15:1/20:1)+HCO2,759.5658,699.54,309.2799,168.0431
SM(d15:1/20:2)+HCO2,757.5501,697.5243,307.2642,168.0431
SM(d15:1/20:3)+HCO2,755.5345,695.5087,305.2486,168.0431
SM(d15:1/20:4)+HCO2,753.5188,693.493,303.2329,168.0431
SM(d15:1/20:5)+HCO2,751.5032,691.4774,301.2173,168.0431
SM(d15:1/21:0)+HCO2,775.5971,715.5713,325.3112,168.0431
SM(d15:1/22:0)+HCO2,789.6127,729.5869,339.3268,168.0431
SM(d15:1/22:1)+HCO2,787.5971,727.5713,337.3112,168.0431
SM(d15:1/22:2)+HCO2,785.5814,725.5556,335.2955,168.0431
SM(d15:1/22:3)+HCO2,783.5658,723.54,333.2799,168.0431
SM(d15:1/22:4)+HCO2,781.5501,721.5243,331.2642,168.0431
SM(d15:1/22:5)+HCO2,779.5345,719.5087,329.2486,168.0431
SM(d15:1/22:6)+HCO2,777.5188,717.493,327.2329,168.0431
SM(d15:1/23:0)+HCO2,803.6284,743.6026,353.3425,168.0431
SM(d15:1/24:0)+HCO2,817.644,757.6182,367.3581,168.0431
SM(d15:1/24:1)+HCO2,815.6284,755.6026,365.3425,168.0431
SM(d15:1/25:0)+HCO2,831.6597,771.6339,381.3738,168.0431
SM(d15:1/26:0)+HCO2,845.6753,785.6495,395.3894,168.0431
SM(d15:1/8:0)+HCO2,593.3936,533.3678,143.1077,168.0431
SM(d16:0/10:0)+HCO2,637.4562,577.4304,171.139,168.0431
SM(d16:0/12:0)+HCO2,665.4875,605.4617,199.1703,168.0431
SM(d16:0/13:0)+HCO2,679.5032,619.4774,213.186,168.0431
SM(d16:0/14:0)+HCO2,693.5188,633.493,227.2016,168.0431
SM(d16:0/14:1)+HCO2,691.5032,631.4774,225.186,168.0431
SM(d16:0/15:0)+HCO2,707.5345,647.5087,241.2173,168.0431
