Cer-NDS,[M-H]-,[M-CO-3H]-,[M-CO-O-3H]-,[Sph-H]-,[FA+NCCO-3H]-,[FA+NCC-3H]-,[FA+N-H]-,[Sph-NCCO-3H]-,[FA-3H]-
Cer-NDS(d24:0/36:0)-H,902.9268,870.9006,854.9057,384.3847,576.572,560.577,534.562,323.3319,517.5592
Cer-NDS(d24:0/36:1)-H,900.9112,868.8849,852.89,384.3847,574.5563,558.5614,532.5463,323.3319,515.5436
Cer-NDS(d24:0/36:2)-H,898.8955,866.8693,850.8744,384.3847,572.5406,556.5458,530.5306,323.3319,513.5279
Cer-NDS(d24:0/38:0)-H,930.9581,898.9319,882.937,384.3847,604.6033,588.6083,562.5933,323.3319,545.5905
Cer-NDS(d24:0/38:1)-H,928.9425,896.9163,880.9213,384.3847,602.5876,586.5927,560.5776,323.3319,543.5748
Cer-NDS(d24:0/38:2)-H,926.9268,894.9006,878.9057,384.3847,600.572,584.577,558.562,323.3319,541.5592
Cer-NDS(d24:0/40:0)-H,958.9894,926.9632,910.9683,384.3847,632.6346,616.6396,590.6245,323.3319,573.6218
Cer-NDS(d24:0/40:1)-H,956.9738,924.9476,908.9526,384.3847,630.6189,614.624,588.6089,323.3319,571.6061
Cer-NDS(d24:0/40:2)-H,954.9581,922.9319,906.937,384.3847,628.6033,612.6083,586.5933,323.3319,569.5905
Cer-NDS(d24:0/42:0)-H,987.0208,954.9945,938.9996,384.3847,660.6659,644.671,618.6558,323.3319,601.6531
Cer-NDS(d24:0/42:1)-H,985.0051,952.9789,936.9839,384.3847,658.6502,642.6553,616.6402,323.3319,599.6375
Cer-NDS(d24:0/42:2)-H,982.9894,950.9632,934.9683,384.3847,656.6346,640.6396,614.6245,323.3319,597.6218
Cer-NDS(d25:0/12:0)-H,580.5669,548.5406,532.5457,398.4004,240.1964,224.2014,198.1863,337.3476,181.1836
Cer-NDS(d25:0/12:1)-H,578.5512,546.525,530.5301,398.4004,238.1807,222.1858,196.1707,337.3476,179.168
Cer-NDS(d25:0/13:0)-H,594.5825,562.5563,546.5614,398.4004,254.212,238.2171,212.202,337.3476,195.1992
Cer-NDS(d25:0/13:1)-H,592.5669,560.5406,544.5457,398.4004,252.1964,236.2014,210.1863,337.3476,193.1836
Cer-NDS(d25:0/14:0)-H,608.5982,576.572,560.577,398.4004,268.2277,252.2328,226.2176,337.3476,209.2149
Cer-NDS(d25:0/14:1)-H,606.5825,574.5563,558.5614,398.4004,266.212,250.2171,224.202,337.3476,207.1992
Cer-NDS(d25:0/15:0)-H,622.6138,590.5876,574.5927,398.4004,282.2433,266.2484,240.2333,337.3476,223.2305
Cer-NDS(d25:0/15:1)-H,620.5982,588.572,572.577,398.4004,280.2277,264.2328,238.2176,337.3476,221.2149
Cer-NDS(d25:0/16:0)-H,636.6295,604.6033,588.6083,398.4004,296.259,280.264,254.2489,337.3476,237.2462
Cer-NDS(d25:0/16:1)-H,634.6138,602.5876,586.5927,398.4004,294.2433,278.2484,252.2333,337.3476,235.2305
Cer-NDS(d25:0/16:2)-H,632.5982,600.572,584.577,398.4004,292.2277,276.2328,250.2176,337.3476,233.2149
Cer-NDS(d25:0/17:0)-H,650.6451,618.6189,602.624,398.4004,310.2746,294.2797,268.2646,337.3476,251.2619
Cer-NDS(d25:0/18:0)-H,664.6608,632.6346,616.6396,398.4004,324.2903,308.2953,282.2802,337.3476,265.2775
Cer-NDS(d25:0/18:1)-H,662.6451,630.6189,614.624,398.4004,322.2746,306.2797,280.2646,337.3476,263.2618
Cer-NDS(d25:0/18:2)-H,660.6295,628.6033,612.6083,398.4004,320.259,304.264,278.2489,337.3476,261.2462
Cer-NDS(d25:0/19:0)-H,678.6765,646.6502,630.6553,398.4004,338.3059,322.311,296.2959,337.3476,279.2932
Cer-NDS(d25:0/19:1)-H,676.6608,644.6346,628.6396,398.4004,336.2903,320.2953,294.2802,337.3476,277.2775
Cer-NDS(d25:0/20:0)-H,692.6921,660.6658,644.671,398.4004,352.3216,336.3267,310.3116,337.3476,293.3088
Cer-NDS(d25:0/20:1)-H,690.6765,658.6502,642.6553,398.4004,350.3059,334.311,308.2959,337.3476,291.2932
Cer-NDS(d25:0/20:2)-H,688.6608,656.6346,640.6396,398.4004,348.2903,332.2953,306.2802,337.3476,289.2775
Cer-NDS(d25:0/21:0)-H,706.7077,674.6815,658.6866,398.4004,366.3372,350.3423,324.3272,337.3476,307.3245
Cer-NDS(d25:0/21:1)-H,704.6921,672.6658,656.671,398.4004,364.3216,348.3267,322.3116,337.3476,305.3088
Cer-NDS(d25:0/22:0)-H,720.7234,688.6971,672.7023,398.4004,380.3529,364.3579,338.3428,337.3476,321.3401
Cer-NDS(d25:0/22:1)-H,718.7077,686.6815,670.6866,398.4004,378.3372,362.3423,336.3272,337.3476,319.3245
Cer-NDS(d25:0/22:2)-H,716.6921,684.6658,668.671,398.4004,376.3216,360.3267,334.3116,337.3476,317.3088
Cer-NDS(d25:0/23:0)-H,734.739,702.7128,686.7179,398.4004,394.3685,378.3736,352.3585,337.3476,335.3557
Cer-NDS(d25:0/23:1)-H,732.7234,700.6971,684.7023,398.4004,392.3529,376.3579,350.3428,337.3476,333.3401
Cer-NDS(d25:0/24:0)-H,748.7547,716.7285,700.7335,398.4004,408.3842,392.3893,366.3741,337.3476,349.3714
Cer-NDS(d25:0/24:1)-H,746.739,714.7128,698.7179,398.4004,406.3685,390.3736,364.3585,337.3476,347.3557
Cer-NDS(d25:0/24:2)-H,744.7234,712.6971,696.7023,398.4004,404.3529,388.3579,362.3428,337.3476,345.3401
Cer-NDS(d25:0/25:0)-H,762.7703,730.7441,714.7492,398.4004,422.3998,406.4049,380.3898,337.3476,363.3871
Cer-NDS(d25:0/25:1)-H,760.7547,728.7285,712.7335,398.4004,420.3842,404.3893,378.3741,337.3476,361.3714
Cer-NDS(d25:0/26:0)-H,776.7859,744.7598,728.7648,398.4004,436.4155,420.4206,394.4054,337.3476,377.4027
Cer-NDS(d25:0/26:1)-H,774.7703,742.7441,726.7492,398.4004,434.3998,418.4049,392.3898,337.3476,375.3871
Cer-NDS(d25:0/26:2)-H,772.7547,740.7285,724.7335,398.4004,432.3842,416.3893,390.3741,337.3476,373.3714
Cer-NDS(d25:0/27:0)-H,790.8016,758.7754,742.7805,398.4004,450.4311,434.4362,408.4211,337.3476,391.4183
Cer-NDS(d25:0/27:1)-H,788.7859,756.7598,740.7648,398.4004,448.4155,432.4206,406.4054,337.3476,389.4027
Cer-NDS(d25:0/28:0)-H,804.8173,772.7911,756.7961,398.4004,464.4468,448.4518,422.4367,337.3476,405.434
Cer-NDS(d25:0/28:1)-H,802.8016,770.7754,754.7805,398.4004,462.4311,446.4362,420.4211,337.3476,403.4183
Cer-NDS(d25:0/28:2)-H,800.7859,768.7598,752.7648,398.4004,460.4155,444.4206,418.4054,337.3476,401.4027
Cer-NDS(d25:0/29:0)-H,818.8329,786.8067,770.8118,398.4004,478.4624,462.4675,436.4524,337.3476,419.4496
Cer-NDS(d25:0/29:1)-H,816.8173,784.7911,768.7961,398.4004,476.4468,460.4518,434.4367,337.3476,417.434
Cer-NDS(d25:0/30:0)-H,832.8486,800.8224,784.8275,398.4004,492.4781,476.4832,450.468,337.3476,433.4653
Cer-NDS(d25:0/30:1)-H,830.8329,798.8067,782.8118,398.4004,490.4624,474.4675,448.4524,337.3476,431.4496
Cer-NDS(d25:0/30:2)-H,828.8173,796.7911,780.7961,398.4004,488.4468,472.4518,446.4367,337.3476,429.434
Cer-NDS(d25:0/31:0)-H,846.8643,814.838,798.8431,398.4004,506.4937,490.4988,464.4837,337.3476,447.481
Cer-NDS(d25:0/31:1)-H,844.8486,812.8224,796.8275,398.4004,504.4781,488.4832,462.468,337.3476,445.4653
Cer-NDS(d25:0/32:0)-H,860.8799,828.8536,812.8588,398.4004,520.5094,504.5144,478.4993,337.3476,461.4966
Cer-NDS(d25:0/32:1)-H,858.8643,826.838,810.8431,398.4004,518.4937,502.4988,476.4837,337.3476,459.481
Cer-NDS(d25:0/32:2)-H,856.8486,824.8224,808.8275,398.4004,516.4781,500.4832,474.468,337.3476,457.4653
Cer-NDS(d25:0/33:0)-H,874.8955,842.8693,826.8744,398.4004,534.525,518.5301,492.515,337.3476,475.5122
Cer-NDS(d25:0/33:1)-H,872.8799,840.8536,824.8588,398.4004,532.5094,516.5145,490.4993,337.3476,473.4966
Cer-NDS(d25:0/34:0)-H,888.9112,856.8849,840.89,398.4004,548.5406,532.5458,506.5306,337.3476,489.5279
Cer-NDS(d25:0/34:1)-H,886.8955,854.8693,838.8744,398.4004,546.525,530.5301,504.515,337.3476,487.5122
Cer-NDS(d25:0/34:2)-H,884.8799,852.8536,836.8588,398.4004,544.5094,528.5145,502.4993,337.3476,485.4966
Cer-NDS(d25:0/35:0)-H,902.9268,870.9006,854.9057,398.4004,562.5563,546.5614,520.5463,337.3476,503.5435
Cer-NDS(d25:0/35:1)-H,900.9112,868.8849,852.89,398.4004,560.5406,544.5458,518.5306,337.3476,501.5279
Cer-NDS(d25:0/36:0)-H,916.9425,884.9163,868.9213,398.4004,576.572,560.577,534.562,337.3476,517.5592
Cer-NDS(d25:0/36:1)-H,914.9268,882.9006,866.9057,398.4004,574.5563,558.5614,532.5463,337.3476,515.5436
Cer-NDS(d25:0/36:2)-H,912.9112,880.8849,864.89,398.4004,572.5406,556.5458,530.5306,337.3476,513.5279
Cer-NDS(d25:0/38:0)-H,944.9738,912.9476,896.9526,398.4004,604.6033,588.6083,562.5933,337.3476,545.5905
Cer-NDS(d25:0/38:1)-H,942.9581,910.9319,894.937,398.4004,602.5876,586.5927,560.5776,337.3476,543.5748
Cer-NDS(d25:0/38:2)-H,940.9425,908.9163,892.9213,398.4004,600.572,584.577,558.562,337.3476,541.5592
Cer-NDS(d25:0/40:0)-H,973.0051,940.9789,924.9839,398.4004,632.6346,616.6396,590.6245,337.3476,573.6218
Cer-NDS(d25:0/40:1)-H,970.9894,938.9632,922.9683,398.4004,630.6189,614.624,588.6089,337.3476,571.6061
Cer-NDS(d25:0/40:2)-H,968.9738,936.9476,920.9526,398.4004,628.6033,612.6083,586.5933,337.3476,569.5905
Cer-NDS(d25:0/42:0)-H,1001.036,969.0101,953.0153,398.4004,660.6659,644.671,618.6558,337.3476,601.6531
Cer-NDS(d25:0/42:1)-H,999.0208,966.9945,950.9996,398.4004,658.6502,642.6553,616.6402,337.3476,599.6375
Cer-NDS(d25:0/42:2)-H,997.0051,964.9789,948.9839,398.4004,656.6346,640.6396,614.6245,337.3476,597.6218
Cer-NDS(d26:0/12:0)-H,594.5825,562.5563,546.5614,412.416,240.1964,224.2014,198.1863,351.3633,181.1836
Cer-NDS(d26:0/12:1)-H,592.5669,560.5406,544.5457,412.416,238.1807,222.1858,196.1707,351.3633,179.168
Cer-NDS(d26:0/13:0)-H,608.5982,576.572,560.577,412.416,254.212,238.2171,212.202,351.3633,195.1992
Cer-NDS(d26:0/13:1)-H,606.5825,574.5563,558.5614,412.416,252.1964,236.2014,210.1863,351.3633,193.1836
Cer-NDS(d26:0/14:0)-H,622.6138,590.5876,574.5927,412.416,268.2277,252.2328,226.2176,351.3633,209.2149
Cer-NDS(d26:0/14:1)-H,620.5982,588.572,572.577,412.416,266.212,250.2171,224.202,351.3633,207.1992
Cer-NDS(d26:0/15:0)-H,636.6295,604.6033,588.6083,412.416,282.2433,266.2484,240.2333,351.3633,223.2305
Cer-NDS(d26:0/15:1)-H,634.6138,602.5876,586.5927,412.416,280.2277,264.2328,238.2176,351.3633,221.2149
Cer-NDS(d26:0/16:0)-H,650.6451,618.6189,602.624,412.416,296.259,280.264,254.2489,351.3633,237.2462
Cer-NDS(d26:0/16:1)-H,648.6295,616.6033,600.6083,412.416,294.2433,278.2484,252.2333,351.3633,235.2305
Cer-NDS(d26:0/16:2)-H,646.6138,614.5876,598.5927,412.416,292.2277,276.2328,250.2176,351.3633,233.2149
Cer-NDS(d26:0/17:0)-H,664.6608,632.6346,616.6396,412.416,310.2746,294.2797,268.2646,351.3633,251.2619
Cer-NDS(d26:0/18:0)-H,678.6765,646.6502,630.6553,412.416,324.2903,308.2953,282.2802,351.3633,265.2775
Cer-NDS(d26:0/18:1)-H,676.6608,644.6346,628.6396,412.416,322.2746,306.2797,280.2646,351.3633,263.2618
Cer-NDS(d26:0/18:2)-H,674.6451,642.6189,626.624,412.416,320.259,304.264,278.2489,351.3633,261.2462
Cer-NDS(d26:0/19:0)-H,692.6921,660.6658,644.671,412.416,338.3059,322.311,296.2959,351.3633,279.2932
Cer-NDS(d26:0/19:1)-H,690.6765,658.6502,642.6553,412.416,336.2903,320.2953,294.2802,351.3633,277.2775
Cer-NDS(d26:0/20:0)-H,706.7077,674.6815,658.6866,412.416,352.3216,336.3267,310.3116,351.3633,293.3088
Cer-NDS(d26:0/20:1)-H,704.6921,672.6658,656.671,412.416,350.3059,334.311,308.2959,351.3633,291.2932
Cer-NDS(d26:0/20:2)-H,702.6765,670.6502,654.6553,412.416,348.2903,332.2953,306.2802,351.3633,289.2775
Cer-NDS(d26:0/21:0)-H,720.7234,688.6971,672.7023,412.416,366.3372,350.3423,324.3272,351.3633,307.3245
Cer-NDS(d26:0/21:1)-H,718.7077,686.6815,670.6866,412.416,364.3216,348.3267,322.3116,351.3633,305.3088
Cer-NDS(d26:0/22:0)-H,734.739,702.7128,686.7179,412.416,380.3529,364.3579,338.3428,351.3633,321.3401
Cer-NDS(d26:0/22:1)-H,732.7234,700.6971,684.7023,412.416,378.3372,362.3423,336.3272,351.3633,319.3245
Cer-NDS(d26:0/22:2)-H,730.7077,698.6815,682.6866,412.416,376.3216,360.3267,334.3116,351.3633,317.3088
Cer-NDS(d26:0/23:0)-H,748.7547,716.7285,700.7335,412.416,394.3685,378.3736,352.3585,351.3633,335.3557
Cer-NDS(d26:0/23:1)-H,746.739,714.7128,698.7179,412.416,392.3529,376.3579,350.3428,351.3633,333.3401
Cer-NDS(d26:0/24:0)-H,762.7703,730.7441,714.7492,412.416,408.3842,392.3893,366.3741,351.3633,349.3714
Cer-NDS(d26:0/24:1)-H,760.7547,728.7285,712.7335,412.416,406.3685,390.3736,364.3585,351.3633,347.3557
Cer-NDS(d26:0/24:2)-H,758.739,726.7128,710.7179,412.416,404.3529,388.3579,362.3428,351.3633,345.3401
Cer-NDS(d26:0/25:0)-H,776.7859,744.7598,728.7648,412.416,422.3998,406.4049,380.3898,351.3633,363.3871
Cer-NDS(d26:0/25:1)-H,774.7703,742.7441,726.7492,412.416,420.3842,404.3893,378.3741,351.3633,361.3714
Cer-NDS(d26:0/26:0)-H,790.8016,758.7754,742.7805,412.416,436.4155,420.4206,394.4054,351.3633,377.4027
Cer-NDS(d26:0/26:1)-H,788.7859,756.7598,740.7648,412.416,434.3998,418.4049,392.3898,351.3633,375.3871
Cer-NDS(d26:0/26:2)-H,786.7703,754.7441,738.7492,412.416,432.3842,416.3893,390.3741,351.3633,373.3714
Cer-NDS(d26:0/27:0)-H,804.8173,772.7911,756.7961,412.416,450.4311,434.4362,408.4211,351.3633,391.4183
Cer-NDS(d26:0/27:1)-H,802.8016,770.7754,754.7805,412.416,448.4155,432.4206,406.4054,351.3633,389.4027
Cer-NDS(d26:0/28:0)-H,818.8329,786.8067,770.8118,412.416,464.4468,448.4518,422.4367,351.3633,405.434
Cer-NDS(d26:0/28:1)-H,816.8173,784.7911,768.7961,412.416,462.4311,446.4362,420.4211,351.3633,403.4183
Cer-NDS(d26:0/28:2)-H,814.8016,782.7754,766.7805,412.416,460.4155,444.4206,418.4054,351.3633,401.4027
Cer-NDS(d26:0/29:0)-H,832.8486,800.8224,784.8275,412.416,478.4624,462.4675,436.4524,351.3633,419.4496
Cer-NDS(d26:0/29:1)-H,830.8329,798.8067,782.8118,412.416,476.4468,460.4518,434.4367,351.3633,417.434
Cer-NDS(d26:0/30:0)-H,846.8643,814.838,798.8431,412.416,492.4781,476.4832,450.468,351.3633,433.4653
Cer-NDS(d26:0/30:1)-H,844.8486,812.8224,796.8275,412.416,490.4624,474.4675,448.4524,351.3633,431.4496
Cer-NDS(d26:0/30:2)-H,842.8329,810.8067,794.8118,412.416,488.4468,472.4518,446.4367,351.3633,429.434
Cer-NDS(d26:0/31:0)-H,860.8799,828.8536,812.8588,412.416,506.4937,490.4988,464.4837,351.3633,447.481
Cer-NDS(d26:0/31:1)-H,858.8643,826.838,810.8431,412.416,504.4781,488.4832,462.468,351.3633,445.4653
Cer-NDS(d26:0/32:0)-H,874.8955,842.8693,826.8744,412.416,520.5094,504.5144,478.4993,351.3633,461.4966
Cer-NDS(d26:0/32:1)-H,872.8799,840.8536,824.8588,412.416,518.4937,502.4988,476.4837,351.3633,459.481
Cer-NDS(d26:0/32:2)-H,870.8643,838.838,822.8431,412.416,516.4781,500.4832,474.468,351.3633,457.4653
Cer-NDS(d26:0/33:0)-H,888.9112,856.8849,840.89,412.416,534.525,518.5301,492.515,351.3633,475.5122
Cer-NDS(d26:0/33:1)-H,886.8955,854.8693,838.8744,412.416,532.5094,516.5145,490.4993,351.3633,473.4966
Cer-NDS(d26:0/34:0)-H,902.9268,870.9006,854.9057,412.416,548.5406,532.5458,506.5306,351.3633,489.5279
Cer-NDS(d26:0/34:1)-H,900.9112,868.8849,852.89,412.416,546.525,530.5301,504.515,351.3633,487.5122
Cer-NDS(d26:0/34:2)-H,898.8955,866.8693,850.8744,412.416,544.5094,528.5145,502.4993,351.3633,485.4966
Cer-NDS(d26:0/35:0)-H,916.9425,884.9163,868.9213,412.416,562.5563,546.5614,520.5463,351.3633,503.5435
Cer-NDS(d26:0/35:1)-H,914.9268,882.9006,866.9057,412.416,560.5406,544.5458,518.5306,351.3633,501.5279
Cer-NDS(d26:0/36:0)-H,930.9581,898.9319,882.937,412.416,576.572,560.577,534.562,351.3633,517.5592
Cer-NDS(d26:0/36:1)-H,928.9425,896.9163,880.9213,412.416,574.5563,558.5614,532.5463,351.3633,515.5436
Cer-NDS(d26:0/36:2)-H,926.9268,894.9006,878.9057,412.416,572.5406,556.5458,530.5306,351.3633,513.5279
Cer-NDS(d26:0/38:0)-H,958.9894,926.9632,910.9683,412.416,604.6033,588.6083,562.5933,351.3633,545.5905
Cer-NDS(d26:0/38:1)-H,956.9738,924.9476,908.9526,412.416,602.5876,586.5927,560.5776,351.3633,543.5748
Cer-NDS(d26:0/38:2)-H,954.9581,922.9319,906.937,412.416,600.572,584.577,558.562,351.3633,541.5592
Cer-NDS(d26:0/40:0)-H,987.0208,954.9945,938.9996,412.416,632.6346,616.6396,590.6245,351.3633,573.6218
Cer-NDS(d26:0/40:1)-H,985.0051,952.9789,936.9839,412.416,630.6189,614.624,588.6089,351.3633,571.6061
Cer-NDS(d26:0/40:2)-H,982.9894,950.9632,934.9683,412.416,628.6033,612.6083,586.5933,351.3633,569.5905
Cer-NDS(d26:0/42:0)-H,1015.052,983.0258,967.0309,412.416,660.6659,644.671,618.6558,351.3633,601.6531
Cer-NDS(d26:0/42:1)-H,1013.036,981.0101,965.0153,412.416,658.6502,642.6553,616.6402,351.3633,599.6375
Cer-NDS(d26:0/42:2)-H,1011.021,978.9945,962.9996,412.416,656.6346,640.6396,614.6245,351.3633,597.6218
Cer-NDS(d27:0/12:0)-H,608.5982,576.572,560.577,426.4317,240.1964,224.2014,198.1863,365.3789,181.1836
Cer-NDS(d27:0/12:1)-H,606.5825,574.5563,558.5614,426.4317,238.1807,222.1858,196.1707,365.3789,179.168
Cer-NDS(d27:0/13:0)-H,622.6138,590.5876,574.5927,426.4317,254.212,238.2171,212.202,365.3789,195.1992
Cer-NDS(d27:0/13:1)-H,620.5982,588.572,572.577,426.4317,252.1964,236.2014,210.1863,365.3789,193.1836
Cer-NDS(d27:0/14:0)-H,636.6295,604.6033,588.6083,426.4317,268.2277,252.2328,226.2176,365.3789,209.2149
Cer-NDS(d27:0/14:1)-H,634.6138,602.5876,586.5927,426.4317,266.212,250.2171,224.202,365.3789,207.1992
Cer-NDS(d27:0/15:0)-H,650.6451,618.6189,602.624,426.4317,282.2433,266.2484,240.2333,365.3789,223.2305
Cer-NDS(d27:0/15:1)-H,648.6295,616.6033,600.6083,426.4317,280.2277,264.2328,238.2176,365.3789,221.2149
Cer-NDS(d27:0/16:0)-H,664.6608,632.6346,616.6396,426.4317,296.259,280.264,254.2489,365.3789,237.2462
Cer-NDS(d27:0/16:1)-H,662.6451,630.6189,614.624,426.4317,294.2433,278.2484,252.2333,365.3789,235.2305
Cer-NDS(d27:0/16:2)-H,660.6295,628.6033,612.6083,426.4317,292.2277,276.2328,250.2176,365.3789,233.2149
Cer-NDS(d27:0/17:0)-H,678.6765,646.6502,630.6553,426.4317,310.2746,294.2797,268.2646,365.3789,251.2619
Cer-NDS(d27:0/18:0)-H,692.6921,660.6658,644.671,426.4317,324.2903,308.2953,282.2802,365.3789,265.2775
Cer-NDS(d27:0/18:1)-H,690.6765,658.6502,642.6553,426.4317,322.2746,306.2797,280.2646,365.3789,263.2618
Cer-NDS(d27:0/18:2)-H,688.6608,656.6346,640.6396,426.4317,320.259,304.264,278.2489,365.3789,261.2462
Cer-NDS(d27:0/19:0)-H,706.7077,674.6815,658.6866,426.4317,338.3059,322.311,296.2959,365.3789,279.2932
Cer-NDS(d27:0/19:1)-H,704.6921,672.6658,656.671,426.4317,336.2903,320.2953,294.2802,365.3789,277.2775
Cer-NDS(d27:0/20:0)-H,720.7234,688.6971,672.7023,426.4317,352.3216,336.3267,310.3116,365.3789,293.3088
Cer-NDS(d27:0/20:1)-H,718.7077,686.6815,670.6866,426.4317,350.3059,334.311,308.2959,365.3789,291.2932
Cer-NDS(d27:0/20:2)-H,716.6921,684.6658,668.671,426.4317,348.2903,332.2953,306.2802,365.3789,289.2775
Cer-NDS(d27:0/21:0)-H,734.739,702.7128,686.7179,426.4317,366.3372,350.3423,324.3272,365.3789,307.3245
Cer-NDS(d27:0/21:1)-H,732.7234,700.6971,684.7023,426.4317,364.3216,348.3267,322.3116,365.3789,305.3088
Cer-NDS(d27:0/22:0)-H,748.7547,716.7285,700.7335,426.4317,380.3529,364.3579,338.3428,365.3789,321.3401
Cer-NDS(d27:0/22:1)-H,746.739,714.7128,698.7179,426.4317,378.3372,362.3423,336.3272,365.3789,319.3245
Cer-NDS(d27:0/22:2)-H,744.7234,712.6971,696.7023,426.4317,376.3216,360.3267,334.3116,365.3789,317.3088
Cer-NDS(d27:0/23:0)-H,762.7703,730.7441,714.7492,426.4317,394.3685,378.3736,352.3585,365.3789,335.3557
Cer-NDS(d27:0/23:1)-H,760.7547,728.7285,712.7335,426.4317,392.3529,376.3579,350.3428,365.3789,333.3401
Cer-NDS(d27:0/24:0)-H,776.7859,744.7598,728.7648,426.4317,408.3842,392.3893,366.3741,365.3789,349.3714
Cer-NDS(d27:0/24:1)-H,774.7703,742.7441,726.7492,426.4317,406.3685,390.3736,364.3585,365.3789,347.3557
Cer-NDS(d27:0/24:2)-H,772.7547,740.7285,724.7335,426.4317,404.3529,388.3579,362.3428,365.3789,345.3401
Cer-NDS(d27:0/25:0)-H,790.8016,758.7754,742.7805,426.4317,422.3998,406.4049,380.3898,365.3789,363.3871
Cer-NDS(d27:0/25:1)-H,788.7859,756.7598,740.7648,426.4317,420.3842,404.3893,378.3741,365.3789,361.3714
Cer-NDS(d27:0/26:0)-H,804.8173,772.7911,756.7961,426.4317,436.4155,420.4206,394.4054,365.3789,377.4027
Cer-NDS(d27:0/26:1)-H,802.8016,770.7754,754.7805,426.4317,434.3998,418.4049,392.3898,365.3789,375.3871
Cer-NDS(d27:0/26:2)-H,800.7859,768.7598,752.7648,426.4317,432.3842,416.3893,390.3741,365.3789,373.3714
Cer-NDS(d27:0/27:0)-H,818.8329,786.8067,770.8118,426.4317,450.4311,434.4362,408.4211,365.3789,391.4183
Cer-NDS(d27:0/27:1)-H,816.8173,784.7911,768.7961,426.4317,448.4155,432.4206,406.4054,365.3789,389.4027
Cer-NDS(d27:0/28:0)-H,832.8486,800.8224,784.8275,426.4317,464.4468,448.4518,422.4367,365.3789,405.434
Cer-NDS(d27:0/28:1)-H,830.8329,798.8067,782.8118,426.4317,462.4311,446.4362,420.4211,365.3789,403.4183
Cer-NDS(d27:0/28:2)-H,828.8173,796.7911,780.7961,426.4317,460.4155,444.4206,418.4054,365.3789,401.4027
Cer-NDS(d27:0/29:0)-H,846.8643,814.838,798.8431,426.4317,478.4624,462.4675,436.4524,365.3789,419.4496
Cer-NDS(d27:0/29:1)-H,844.8486,812.8224,796.8275,426.4317,476.4468,460.4518,434.4367,365.3789,417.434
Cer-NDS(d27:0/30:0)-H,860.8799,828.8536,812.8588,426.4317,492.4781,476.4832,450.468,365.3789,433.4653
Cer-NDS(d27:0/30:1)-H,858.8643,826.838,810.8431,426.4317,490.4624,474.4675,448.4524,365.3789,431.4496
Cer-NDS(d27:0/30:2)-H,856.8486,824.8224,808.8275,426.4317,488.4468,472.4518,446.4367,365.3789,429.434
Cer-NDS(d27:0/31:0)-H,874.8955,842.8693,826.8744,426.4317,506.4937,490.4988,464.4837,365.3789,447.481
Cer-NDS(d27:0/31:1)-H,872.8799,840.8536,824.8588,426.4317,504.4781,488.4832,462.468,365.3789,445.4653
Cer-NDS(d27:0/32:0)-H,888.9112,856.8849,840.89,426.4317,520.5094,504.5144,478.4993,365.3789,461.4966
Cer-NDS(d27:0/32:1)-H,886.8955,854.8693,838.8744,426.4317,518.4937,502.4988,476.4837,365.3789,459.481
Cer-NDS(d27:0/32:2)-H,884.8799,852.8536,836.8588,426.4317,516.4781,500.4832,474.468,365.3789,457.4653
Cer-NDS(d27:0/33:0)-H,902.9268,870.9006,854.9057,426.4317,534.525,518.5301,492.515,365.3789,475.5122
Cer-NDS(d27:0/33:1)-H,900.9112,868.8849,852.89,426.4317,532.5094,516.5145,490.4993,365.3789,473.4966
Cer-NDS(d27:0/34:0)-H,916.9425,884.9163,868.9213,426.4317,548.5406,532.5458,506.5306,365.3789,489.5279
Cer-NDS(d27:0/34:1)-H,914.9268,882.9006,866.9057,426.4317,546.525,530.5301,504.515,365.3789,487.5122
Cer-NDS(d27:0/34:2)-H,912.9112,880.8849,864.89,426.4317,544.5094,528.5145,502.4993,365.3789,485.4966
Cer-NDS(d27:0/35:0)-H,930.9581,898.9319,882.937,426.4317,562.5563,546.5614,520.5463,365.3789,503.5435
Cer-NDS(d27:0/35:1)-H,928.9425,896.9163,880.9213,426.4317,560.5406,544.5458,518.5306,365.3789,501.5279
Cer-NDS(d27:0/36:0)-H,944.9738,912.9476,896.9526,426.4317,576.572,560.577,534.562,365.3789,517.5592
Cer-NDS(d27:0/36:1)-H,942.9581,910.9319,894.937,426.4317,574.5563,558.5614,532.5463,365.3789,515.5436
Cer-NDS(d27:0/36:2)-H,940.9425,908.9163,892.9213,426.4317,572.5406,556.5458,530.5306,365.3789,513.5279
Cer-NDS(d27:0/38:0)-H,973.0051,940.9789,924.9839,426.4317,604.6033,588.6083,562.5933,365.3789,545.5905
Cer-NDS(d27:0/38:1)-H,970.9894,938.9632,922.9683,426.4317,602.5876,586.5927,560.5776,365.3789,543.5748
Cer-NDS(d27:0/38:2)-H,968.9738,936.9476,920.9526,426.4317,600.572,584.577,558.562,365.3789,541.5592
Cer-NDS(d27:0/40:0)-H,1001.036,969.0101,953.0153,426.4317,632.6346,616.6396,590.6245,365.3789,573.6218
Cer-NDS(d27:0/40:1)-H,999.0208,966.9945,950.9996,426.4317,630.6189,614.624,588.6089,365.3789,571.6061
Cer-NDS(d27:0/40:2)-H,997.0051,964.9789,948.9839,426.4317,628.6033,612.6083,586.5933,365.3789,569.5905
Cer-NDS(d27:0/42:0)-H,1029.068,997.0414,981.0466,426.4317,660.6659,644.671,618.6558,365.3789,601.6531
