PE,[M-H]-,NL_T1Ketene&serene,NL_T2Ketene&serene,NL_T1RCOOH,NL_T2RCOOH,T1_RCOO-,T2_RCOO-, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-,EthanolaminePhosphate,EthanolaminePhosphate_NLH2O
PE(10:0_17:2)-H,616.39842,462.26265,368.18435,444.25209,350.17379,171.13905,265.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_18:0)-H,634.44532,480.30955,368.18435,462.29899,350.17379,171.13905,283.26425,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_18:1)-H,632.42972,478.29395,368.18435,460.28339,350.17379,171.13905,281.24865,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_18:2)-H,630.41402,476.27825,368.18435,458.26769,350.17379,171.13905,279.23295,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_18:3)-H,628.39842,474.26265,368.18435,456.25209,350.17379,171.13905,277.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_18:4)-H,626.38272,472.24695,368.18435,454.23639,350.17379,171.13905,275.20165,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_19:0)-H,648.46102,494.32525,368.18435,476.31469,350.17379,171.13905,297.27995,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_20:0)-H,662.47662,508.34085,368.18435,490.33029,350.17379,171.13905,311.29555,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_20:1)-H,660.46102,506.32525,368.18435,488.31469,350.17379,171.13905,309.27995,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_20:2)-H,658.44532,504.30955,368.18435,486.29899,350.17379,171.13905,307.26425,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_20:3)-H,656.42972,502.29395,368.18435,484.28339,350.17379,171.13905,305.24865,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_20:4)-H,654.41402,500.27825,368.18435,482.26769,350.17379,171.13905,303.23295,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_20:5)-H,652.39842,498.26265,368.18435,480.25209,350.17379,171.13905,301.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_21:0)-H,676.49232,522.35655,368.18435,504.34599,350.17379,171.13905,325.31125,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_22:0)-H,690.50792,536.37215,368.18435,518.36159,350.17379,171.13905,339.32685,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_22:1)-H,688.49232,534.35655,368.18435,516.34599,350.17379,171.13905,337.31125,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_22:2)-H,686.47662,532.34085,368.18435,514.33029,350.17379,171.13905,335.29555,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_22:3)-H,684.46102,530.32525,368.18435,512.31469,350.17379,171.13905,333.27995,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_22:4)-H,682.44532,528.30955,368.18435,510.29899,350.17379,171.13905,331.26425,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_22:5)-H,680.42972,526.29395,368.18435,508.28339,350.17379,171.13905,329.24865,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_22:6)-H,678.41402,524.27825,368.18435,506.26769,350.17379,171.13905,327.23295,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_23:0)-H,704.52362,550.38785,368.18435,532.37729,350.17379,171.13905,353.34255,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_24:0)-H,718.53922,564.40345,368.18435,546.39289,350.17379,171.13905,367.35815,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_24:1)-H,716.52362,562.38785,368.18435,544.37729,350.17379,171.13905,365.34255,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_25:0)-H,732.55492,578.41915,368.18435,560.40859,350.17379,171.13905,381.37385,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_26:0)-H,746.57052,592.43475,368.18435,574.42419,350.17379,171.13905,395.38945,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_12:0)-H,578.38272,396.21565,396.21565,378.20509,378.20509,199.17035,199.17035,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_13:0)-H,592.39842,410.23135,396.21565,392.22079,378.20509,199.17035,213.18605,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_14:0)-H,606.41402,424.24695,396.21565,406.23639,378.20509,199.17035,227.20165,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_14:1)-H,604.39842,422.23135,396.21565,404.22079,378.20509,199.17035,225.18605,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_15:0)-H,620.42972,438.26265,396.21565,420.25209,378.20509,199.17035,241.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_15:1)-H,618.41402,436.24695,396.21565,418.23639,378.20509,199.17035,239.20165,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_16:0)-H,634.44532,452.27825,396.21565,434.26769,378.20509,199.17035,255.23295,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_16:1)-H,632.42972,450.26265,396.21565,432.25209,378.20509,199.17035,253.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_17:0)-H,648.46102,466.29395,396.21565,448.28339,378.20509,199.17035,269.24865,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_17:1)-H,646.44532,464.27825,396.21565,446.26769,378.20509,199.17035,267.23295,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_17:2)-H,644.42972,462.26265,396.21565,444.25209,378.20509,199.17035,265.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_18:0)-H,662.47662,480.30955,396.21565,462.29899,378.20509,199.17035,283.26425,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_18:1)-H,660.46102,478.29395,396.21565,460.28339,378.20509,199.17035,281.24865,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_18:2)-H,658.44532,476.27825,396.21565,458.26769,378.20509,199.17035,279.23295,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_18:3)-H,656.42972,474.26265,396.21565,456.25209,378.20509,199.17035,277.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_18:4)-H,654.41402,472.24695,396.21565,454.23639,378.20509,199.17035,275.20165,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_19:0)-H,676.49232,494.32525,396.21565,476.31469,378.20509,199.17035,297.27995,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_20:0)-H,690.50792,508.34085,396.21565,490.33029,378.20509,199.17035,311.29555,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_20:1)-H,688.49232,506.32525,396.21565,488.31469,378.20509,199.17035,309.27995,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_20:2)-H,686.47662,504.30955,396.21565,486.29899,378.20509,199.17035,307.26425,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_20:3)-H,684.46102,502.29395,396.21565,484.28339,378.20509,199.17035,305.24865,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_20:4)-H,682.44532,500.27825,396.21565,482.26769,378.20509,199.17035,303.23295,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_20:5)-H,680.42972,498.26265,396.21565,480.25209,378.20509,199.17035,301.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_21:0)-H,704.52362,522.35655,396.21565,504.34599,378.20509,199.17035,325.31125,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_22:0)-H,718.53922,536.37215,396.21565,518.36159,378.20509,199.17035,339.32685,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_22:1)-H,716.52362,534.35655,396.21565,516.34599,378.20509,199.17035,337.31125,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_22:2)-H,714.50792,532.34085,396.21565,514.33029,378.20509,199.17035,335.29555,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_22:3)-H,712.49232,530.32525,396.21565,512.31469,378.20509,199.17035,333.27995,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_22:4)-H,710.47662,528.30955,396.21565,510.29899,378.20509,199.17035,331.26425,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_22:5)-H,708.46102,526.29395,396.21565,508.28339,378.20509,199.17035,329.24865,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_22:6)-H,706.44532,524.27825,396.21565,506.26769,378.20509,199.17035,327.23295,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_23:0)-H,732.55492,550.38785,396.21565,532.37729,378.20509,199.17035,353.34255,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_24:0)-H,746.57052,564.40345,396.21565,546.39289,378.20509,199.17035,367.35815,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_24:1)-H,744.55492,562.38785,396.21565,544.37729,378.20509,199.17035,365.34255,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_25:0)-H,760.58622,578.41915,396.21565,560.40859,378.20509,199.17035,381.37385,152.99586,96.96964,78.95852,140.01128,122.0007
PE(12:0_26:0)-H,774.60182,592.43475,396.21565,574.42419,378.20509,199.17035,395.38945,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_13:0)-H,606.41412,410.23135,410.23135,392.22079,392.22079,213.18605,213.18605,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_14:0)-H,620.42972,424.24695,410.23135,406.23639,392.22079,213.18605,227.20165,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_14:1)-H,618.41412,422.23135,410.23135,404.22079,392.22079,213.18605,225.18605,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_15:0)-H,634.44542,438.26265,410.23135,420.25209,392.22079,213.18605,241.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_15:1)-H,632.42972,436.24695,410.23135,418.23639,392.22079,213.18605,239.20165,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_16:0)-H,648.46102,452.27825,410.23135,434.26769,392.22079,213.18605,255.23295,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_16:1)-H,646.44542,450.26265,410.23135,432.25209,392.22079,213.18605,253.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_17:0)-H,662.47672,466.29395,410.23135,448.28339,392.22079,213.18605,269.24865,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_17:1)-H,660.46102,464.27825,410.23135,446.26769,392.22079,213.18605,267.23295,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_17:2)-H,658.44542,462.26265,410.23135,444.25209,392.22079,213.18605,265.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_18:0)-H,676.49232,480.30955,410.23135,462.29899,392.22079,213.18605,283.26425,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_18:1)-H,674.47672,478.29395,410.23135,460.28339,392.22079,213.18605,281.24865,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_18:2)-H,672.46102,476.27825,410.23135,458.26769,392.22079,213.18605,279.23295,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_18:3)-H,670.44542,474.26265,410.23135,456.25209,392.22079,213.18605,277.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_18:4)-H,668.42972,472.24695,410.23135,454.23639,392.22079,213.18605,275.20165,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_19:0)-H,690.50802,494.32525,410.23135,476.31469,392.22079,213.18605,297.27995,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_20:0)-H,704.52362,508.34085,410.23135,490.33029,392.22079,213.18605,311.29555,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_20:1)-H,702.50802,506.32525,410.23135,488.31469,392.22079,213.18605,309.27995,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_20:2)-H,700.49232,504.30955,410.23135,486.29899,392.22079,213.18605,307.26425,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_20:3)-H,698.47672,502.29395,410.23135,484.28339,392.22079,213.18605,305.24865,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_20:4)-H,696.46102,500.27825,410.23135,482.26769,392.22079,213.18605,303.23295,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_20:5)-H,694.44542,498.26265,410.23135,480.25209,392.22079,213.18605,301.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_21:0)-H,718.53932,522.35655,410.23135,504.34599,392.22079,213.18605,325.31125,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_22:0)-H,732.55492,536.37215,410.23135,518.36159,392.22079,213.18605,339.32685,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_22:1)-H,730.53932,534.35655,410.23135,516.34599,392.22079,213.18605,337.31125,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_22:2)-H,728.52362,532.34085,410.23135,514.33029,392.22079,213.18605,335.29555,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_22:3)-H,726.50802,530.32525,410.23135,512.31469,392.22079,213.18605,333.27995,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_22:4)-H,724.49232,528.30955,410.23135,510.29899,392.22079,213.18605,331.26425,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_22:5)-H,722.47672,526.29395,410.23135,508.28339,392.22079,213.18605,329.24865,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_22:6)-H,720.46102,524.27825,410.23135,506.26769,392.22079,213.18605,327.23295,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_23:0)-H,746.57062,550.38785,410.23135,532.37729,392.22079,213.18605,353.34255,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_24:0)-H,760.58622,564.40345,410.23135,546.39289,392.22079,213.18605,367.35815,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_24:1)-H,758.57062,562.38785,410.23135,544.37729,392.22079,213.18605,365.34255,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_25:0)-H,774.60192,578.41915,410.23135,560.40859,392.22079,213.18605,381.37385,152.99586,96.96964,78.95852,140.01128,122.0007
PE(13:0_26:0)-H,788.61752,592.43475,410.23135,574.42419,392.22079,213.18605,395.38945,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_14:0)-H,634.44532,424.24695,424.24695,406.23639,406.23639,227.20165,227.20165,152.99586,96.96964,78.95852,140.01128,122.0007
PE(14:0_14:1)-H,632.42972,422.23135,424.24695,404.22079,406.23639,227.20165,225.18605,152.99586,96.96964,78.95852,140.01128,122.0007
