PE,[M+Na]+,PreCursor -43,PreCursor -141,M+Na-43-SN1-H acyl loss,M+Na-43-SN2-H acyl loss,phosphoethanolamine+Na
PE(13:0_17:1)+Na,684.4575178,641.4153178,543.4384235,427.2221378,373.1752378,164.00888
PE(13:0_17:2)+Na,682.4419178,639.3997178,541.4228235,425.2065378,373.1752378,164.00888
PE(13:0_18:0)+Na,700.4888178,657.4466178,559.4697235,443.2534378,373.1752378,164.00888
PE(13:0_18:1)+Na,698.4732178,655.4310178,557.4541235,441.2378378,373.1752378,164.00888
PE(13:0_18:2)+Na,696.4575178,653.4153178,555.4384235,439.2221378,373.1752378,164.00888
PE(13:0_18:3)+Na,694.4419178,651.3997178,553.4228235,437.2065378,373.1752378,164.00888
PE(13:0_18:4)+Na,692.4262178,649.3840178,551.4071235,435.1908378,373.1752378,164.00888
PE(13:0_19:0)+Na,714.5045178,671.4623178,573.4854235,457.2691378,373.1752378,164.00888
PE(13:0_20:0)+Na,728.5201178,685.4779178,587.5010235,471.2847378,373.1752378,164.00888
PE(13:0_20:1)+Na,726.5045178,683.4623178,585.4854235,469.2691378,373.1752378,164.00888
PE(13:0_20:2)+Na,724.4888178,681.4466178,583.4697235,467.2534378,373.1752378,164.00888
PE(13:0_20:3)+Na,722.4732178,679.4310178,581.4541235,465.2378378,373.1752378,164.00888
PE(13:0_20:4)+Na,720.4575178,677.4153178,579.4384235,463.2221378,373.1752378,164.00888
PE(13:0_20:5)+Na,718.4419178,675.3997178,577.4228235,461.2065378,373.1752378,164.00888
PE(13:0_21:0)+Na,742.5358178,699.4936178,601.5167235,485.3004378,373.1752378,164.00888
PE(13:0_22:0)+Na,756.5514178,713.5092178,615.5323235,499.3160378,373.1752378,164.00888
PE(13:0_22:1)+Na,754.5358178,711.4936178,613.5167235,497.3004378,373.1752378,164.00888
PE(13:0_22:2)+Na,752.5201178,709.4779178,611.5010235,495.2847378,373.1752378,164.00888
PE(13:0_22:3)+Na,750.5045178,707.4623178,609.4854235,493.2691378,373.1752378,164.00888
PE(13:0_22:4)+Na,748.4888178,705.4466178,607.4697235,491.2534378,373.1752378,164.00888
PE(13:0_22:5)+Na,746.4732178,703.4310178,605.4541235,489.2378378,373.1752378,164.00888
PE(13:0_22:6)+Na,744.4575178,701.4153178,603.4384235,487.2221378,373.1752378,164.00888
PE(13:0_23:0)+Na,770.5671178,727.5249178,629.5480235,513.3317378,373.1752378,164.00888
PE(13:0_24:0)+Na,784.5827178,741.5405178,643.5636235,527.3473378,373.1752378,164.00888
PE(13:0_24:1)+Na,782.5671178,739.5249178,641.5480235,525.3317378,373.1752378,164.00888
PE(13:0_25:0)+Na,798.5984178,755.5562178,657.5793235,541.3630378,373.1752378,164.00888
PE(13:0_26:0)+Na,812.6140178,769.5718178,671.5949235,555.3786378,373.1752378,164.00888
PE(14:0_14:0)+Na,658.4418178,615.3996178,517.4227235,387.1908378,387.1908378,164.00888
PE(14:0_14:1)+Na,656.4262178,613.3840178,515.4071235,385.1752378,387.1908378,164.00888
PE(14:0_15:0)+Na,672.4575178,629.4153178,531.4384235,401.2065378,387.1908378,164.00888
PE(14:0_15:1)+Na,670.4418178,627.3996178,529.4227235,399.1908378,387.1908378,164.00888
PE(14:0_16:0)+Na,686.4731178,643.4309178,545.4540235,415.2221378,387.1908378,164.00888
PE(14:0_16:1)+Na,684.4575178,641.4153178,543.4384235,413.2065378,387.1908378,164.00888
PE(14:0_17:0)+Na,700.4888178,657.4466178,559.4697235,429.2378378,387.1908378,164.00888
PE(14:0_17:1)+Na,698.4731178,655.4309178,557.4540235,427.2221378,387.1908378,164.00888
PE(14:0_17:2)+Na,696.4575178,653.4153178,555.4384235,425.2065378,387.1908378,164.00888
PE(14:0_18:0)+Na,714.5044178,671.4622178,573.4853235,443.2534378,387.1908378,164.00888
PE(14:0_18:1)+Na,712.4888178,669.4466178,571.4697235,441.2378378,387.1908378,164.00888
PE(14:0_18:2)+Na,710.4731178,667.4309178,569.4540235,439.2221378,387.1908378,164.00888
PE(14:0_18:3)+Na,708.4575178,665.4153178,567.4384235,437.2065378,387.1908378,164.00888
PE(14:0_18:4)+Na,706.4418178,663.3996178,565.4227235,435.1908378,387.1908378,164.00888
PE(14:0_19:0)+Na,728.5201178,685.4779178,587.5010235,457.2691378,387.1908378,164.00888
PE(14:0_20:0)+Na,742.5357178,699.4935178,601.5166235,471.2847378,387.1908378,164.00888
PE(14:0_20:1)+Na,740.5201178,697.4779178,599.5010235,469.2691378,387.1908378,164.00888
PE(14:0_20:2)+Na,738.5044178,695.4622178,597.4853235,467.2534378,387.1908378,164.00888
PE(14:0_20:3)+Na,736.4888178,693.4466178,595.4697235,465.2378378,387.1908378,164.00888
PE(14:0_20:4)+Na,734.4731178,691.4309178,593.4540235,463.2221378,387.1908378,164.00888
