PA,[M+H]+,NL_head,NL_T1_RCOOH,NL_T2_RCOOH,T1_RCO+,T2_RCO+
PA(13:0_15:1)+H,591.4021,493.42519,297.24244,271.22684,197.19005,223.20565
PA(13:0_16:0)+H,607.4334,509.45649,313.27374,271.22684,197.19005,239.23695
PA(13:0_16:1)+H,605.4178,507.44089,311.25814,271.22684,197.19005,237.22135
PA(13:0_17:0)+H,621.4491,523.47219,327.28944,271.22684,197.19005,253.25265
PA(13:0_17:1)+H,619.4334,521.45649,325.27374,271.22684,197.19005,251.23695
PA(13:0_17:2)+H,617.4178,519.44089,323.25814,271.22684,197.19005,249.22135
PA(13:0_18:0)+H,635.4647,537.48779,341.30504,271.22684,197.19005,267.26825
PA(13:0_18:1)+H,633.4491,535.47219,339.28944,271.22684,197.19005,265.25265
PA(13:0_18:2)+H,631.4334,533.45649,337.27374,271.22684,197.19005,263.23695
PA(13:0_18:3)+H,629.4178,531.44089,335.25814,271.22684,197.19005,261.22135
PA(13:0_18:4)+H,627.4021,529.42519,333.24244,271.22684,197.19005,259.20565
PA(13:0_19:0)+H,649.4804,551.50349,355.32074,271.22684,197.19005,281.28395
PA(13:0_20:0)+H,663.496,565.51909,369.33634,271.22684,197.19005,295.29955
PA(13:0_20:1)+H,661.4804,563.50349,367.32074,271.22684,197.19005,293.28395
PA(13:0_20:2)+H,659.4647,561.48779,365.30504,271.22684,197.19005,291.26825
PA(13:0_20:3)+H,657.4491,559.47219,363.28944,271.22684,197.19005,289.25265
PA(13:0_20:4)+H,655.4334,557.45649,361.27374,271.22684,197.19005,287.23695
PA(13:0_20:5)+H,653.4178,555.44089,359.25814,271.22684,197.19005,285.22135
PA(13:0_21:0)+H,677.5117,579.53479,383.35204,271.22684,197.19005,309.31525
PA(13:0_22:0)+H,691.5273,593.55039,397.36764,271.22684,197.19005,323.33085
PA(13:0_22:1)+H,689.5117,591.53479,395.35204,271.22684,197.19005,321.31525
PA(13:0_22:2)+H,687.496,589.51909,393.33634,271.22684,197.19005,319.29955
PA(13:0_22:3)+H,685.4804,587.50349,391.32074,271.22684,197.19005,317.28395
PA(13:0_22:4)+H,683.4647,585.48779,389.30504,271.22684,197.19005,315.26825
PA(13:0_22:5)+H,681.4491,583.47219,387.28944,271.22684,197.19005,313.25265
