DGDG,[M+HCO2]-,[M-H]-,C15H27O13,C15H25O12,C15H23O11
DGDG(32:7)+HCO2,923.5004,877.4949,415.1457,397.1352,379.1246
DGDG(34:8)+HCO2,949.5161,903.5106,415.1457,397.1352,379.1246
DGDG(36:8)+HCO2,977.5474,931.5419,415.1457,397.1352,379.1246
DGDG(38:9)+HCO2,1003.563,957.5576,415.1457,397.1352,379.1246
DGDG(40:7)+HCO2,1035.626,989.6202,415.1457,397.1352,379.1246
DGDG(42:7)+HCO2,1063.657,1017.651,415.1457,397.1352,379.1246
DGDG(43:3)+HCO2,1085.735,1039.73,415.1457,397.1352,379.1246
DGDG(32:8)+HCO2,921.4848,875.4793,415.1457,397.1352,379.1246
DGDG(34:9)+HCO2,947.5004,901.4949,415.1457,397.1352,379.1246
DGDG(36:9)+HCO2,975.5317,929.5262,415.1457,397.1352,379.1246
DGDG(38:10)+HCO2,1001.547,955.5419,415.1457,397.1352,379.1246
DGDG(40:8)+HCO2,1033.61,987.6045,415.1457,397.1352,379.1246
DGDG(42:8)+HCO2,1061.641,1015.636,415.1457,397.1352,379.1246
DGDG(43:4)+HCO2,1083.719,1037.714,415.1457,397.1352,379.1246
DGDG(39:6)+HCO2,1023.626,977.6202,415.1457,397.1352,379.1246
DGDG(44:0)+HCO2,1105.798,1059.792,415.1457,397.1352,379.1246
DGDG(39:7)+HCO2,1021.61,975.6045,415.1457,397.1352,379.1246
DGDG(43:5)+HCO2,1081.704,1035.698,415.1457,397.1352,379.1246
DGDG(44:1)+HCO2,1103.782,1057.777,415.1457,397.1352,379.1246
DGDG(39:8)+HCO2,1019.594,973.5889,415.1457,397.1352,379.1246
DGDG(41:6)+HCO2,1051.657,1005.651,415.1457,397.1352,379.1246
DGDG(43:6)+HCO2,1079.688,1033.683,415.1457,397.1352,379.1246
DGDG(44:2)+HCO2,1101.766,1055.761,415.1457,397.1352,379.1246
DGDG(44:4)+HCO2,1097.735,1051.73,415.1457,397.1352,379.1246
DGDG(45:0)+HCO2,1119.813,1073.808,415.1457,397.1352,379.1246
DGDG(44:3)+HCO2,1099.751,1053.745,415.1457,397.1352,379.1246
DGDG(44:5)+HCO2,1095.719,1049.714,415.1457,397.1352,379.1246
DGDG(45:1)+HCO2,1117.798,1071.792,415.1457,397.1352,379.1246
DGDG(44:6)+HCO2,1093.704,1047.698,415.1457,397.1352,379.1246
DGDG(45:2)+HCO2,1115.782,1069.777,415.1457,397.1352,379.1246
DGDG(40:9)+HCO2,1031.594,985.5889,415.1457,397.1352,379.1246
DGDG(44:7)+HCO2,1091.688,1045.683,415.1457,397.1352,379.1246
DGDG(45:3)+HCO2,1113.766,1067.761,415.1457,397.1352,379.1246
DGDG(40:10)+HCO2,1029.579,983.5732,415.1457,397.1352,379.1246
DGDG(44:8)+HCO2,1089.673,1043.667,415.1457,397.1352,379.1246
DGDG(45:4)+HCO2,1111.751,1065.745,415.1457,397.1352,379.1246
DGDG(36:10)+HCO2,973.5161,927.5106,415.1457,397.1352,379.1246
DGDG(40:11)+HCO2,1027.563,981.5576,415.1457,397.1352,379.1246
DGDG(42:9)+HCO2,1059.626,1013.62,415.1457,397.1352,379.1246
DGDG(44:9)+HCO2,1087.657,1041.651,415.1457,397.1352,379.1246
DGDG(45:5)+HCO2,1109.735,1063.73,415.1457,397.1352,379.1246
DGDG(46:0)+HCO2,1133.829,1087.824,415.1457,397.1352,379.1246
DGDG(41:7)+HCO2,1049.641,1003.636,415.1457,397.1352,379.1246
DGDG(46:1)+HCO2,1131.813,1085.808,415.1457,397.1352,379.1246
DGDG(41:8)+HCO2,1047.626,1001.62,415.1457,397.1352,379.1246
DGDG(45:6)+HCO2,1107.719,1061.714,415.1457,397.1352,379.1246
DGDG(46:2)+HCO2,1129.798,1083.792,415.1457,397.1352,379.1246
DGDG(46:4)+HCO2,1125.766,1079.761,415.1457,397.1352,379.1246
DGDG(47:0)+HCO2,1147.845,1101.839,415.1457,397.1352,379.1246
DGDG(46:3)+HCO2,1127.782,1081.777,415.1457,397.1352,379.1246
DGDG(46:5)+HCO2,1123.751,1077.745,415.1457,397.1352,379.1246
DGDG(47:1)+HCO2,1145.829,1099.824,415.1457,397.1352,379.1246
DGDG(46:6)+HCO2,1121.735,1075.73,415.1457,397.1352,379.1246
DGDG(47:2)+HCO2,1143.813,1097.808,415.1457,397.1352,379.1246
DGDG(46:7)+HCO2,1119.719,1073.714,415.1457,397.1352,379.1246
DGDG(47:3)+HCO2,1141.798,1095.792,415.1457,397.1352,379.1246
DGDG(42:10)+HCO2,1057.61,1011.604,415.1457,397.1352,379.1246
DGDG(46:8)+HCO2,1117.704,1071.698,415.1457,397.1352,379.1246
DGDG(47:4)+HCO2,1139.782,1093.777,415.1457,397.1352,379.1246
DGDG(42:11)+HCO2,1055.594,1009.589,415.1457,397.1352,379.1246
DGDG(46:9)+HCO2,1115.688,1069.683,415.1457,397.1352,379.1246
DGDG(47:5)+HCO2,1137.766,1091.761,415.1457,397.1352,379.1246
DGDG(48:0)+HCO2,1161.86,1115.855,415.1457,397.1352,379.1246
DGDG(43:7)+HCO2,1077.673,1031.667,415.1457,397.1352,379.1246
DGDG(48:1)+HCO2,1159.845,1113.839,415.1457,397.1352,379.1246
DGDG(43:8)+HCO2,1075.657,1029.651,415.1457,397.1352,379.1246
DGDG(47:6)+HCO2,1135.751,1089.745,415.1457,397.1352,379.1246
DGDG(48:2)+HCO2,1157.829,1111.824,415.1457,397.1352,379.1246
DGDG(48:4)+HCO2,1153.798,1107.792,415.1457,397.1352,379.1246
DGDG(49:0)+HCO2,1175.876,1129.871,415.1457,397.1352,379.1246
DGDG(48:3)+HCO2,1155.813,1109.808,415.1457,397.1352,379.1246
DGDG(48:5)+HCO2,1151.782,1105.777,415.1457,397.1352,379.1246
DGDG(49:1)+HCO2,1173.86,1127.855,415.1457,397.1352,379.1246
DGDG(48:6)+HCO2,1149.766,1103.761,415.1457,397.1352,379.1246
DGDG(49:2)+HCO2,1171.845,1125.839,415.1457,397.1352,379.1246
DGDG(48:7)+HCO2,1147.751,1101.745,415.1457,397.1352,379.1246
DGDG(49:3)+HCO2,1169.829,1123.824,415.1457,397.1352,379.1246
DGDG(44:10)+HCO2,1085.641,1039.636,415.1457,397.1352,379.1246
DGDG(48:8)+HCO2,1145.735,1099.73,415.1457,397.1352,379.1246
DGDG(49:4)+HCO2,1167.813,1121.808,415.1457,397.1352,379.1246
DGDG(44:11)+HCO2,1083.626,1037.62,415.1457,397.1352,379.1246
DGDG(48:9)+HCO2,1143.719,1097.714,415.1457,397.1352,379.1246
DGDG(49:5)+HCO2,1165.798,1119.792,415.1457,397.1352,379.1246
DGDG(44:12)+HCO2,1081.61,1035.604,415.1457,397.1352,379.1246
DGDG(46:10)+HCO2,1113.673,1067.667,415.1457,397.1352,379.1246
DGDG(48:10)+HCO2,1141.704,1095.698,415.1457,397.1352,379.1246
DGDG(49:6)+HCO2,1163.782,1117.777,415.1457,397.1352,379.1246
DGDG(50:0)+HCO2,1189.892,1143.886,415.1457,397.1352,379.1246
DGDG(50:1)+HCO2,1187.876,1141.871,415.1457,397.1352,379.1246
DGDG(50:2)+HCO2,1185.86,1139.855,415.1457,397.1352,379.1246
DGDG(50:4)+HCO2,1181.829,1135.824,415.1457,397.1352,379.1246
DGDG(51:0)+HCO2,1203.907,1157.902,415.1457,397.1352,379.1246
DGDG(50:3)+HCO2,1183.845,1137.839,415.1457,397.1352,379.1246
DGDG(50:5)+HCO2,1179.813,1133.808,415.1457,397.1352,379.1246
DGDG(51:1)+HCO2,1201.892,1155.886,415.1457,397.1352,379.1246
DGDG(50:6)+HCO2,1177.798,1131.792,415.1457,397.1352,379.1246
DGDG(51:2)+HCO2,1199.876,1153.871,415.1457,397.1352,379.1246
DGDG(50:8)+HCO2,1173.766,1127.761,415.1457,397.1352,379.1246
DGDG(51:4)+HCO2,1195.845,1149.839,415.1457,397.1352,379.1246
DGDG(52:0)+HCO2,1217.923,1171.917,415.1457,397.1352,379.1246
DGDG(52:1)+HCO2,1215.907,1169.902,415.1457,397.1352,379.1246
DGDG(52:2)+HCO2,1213.892,1167.886,415.1457,397.1352,379.1246
DGDG(52:4)+HCO2,1209.86,1163.855,415.1457,397.1352,379.1246
DGDG(53:0)+HCO2,1231.939,1185.933,415.1457,397.1352,379.1246
DGDG(52:3)+HCO2,1211.876,1165.871,415.1457,397.1352,379.1246
DGDG(52:5)+HCO2,1207.845,1161.839,415.1457,397.1352,379.1246
DGDG(53:1)+HCO2,1229.923,1183.917,415.1457,397.1352,379.1246
DGDG(52:6)+HCO2,1205.829,1159.824,415.1457,397.1352,379.1246
DGDG(53:2)+HCO2,1227.907,1181.902,415.1457,397.1352,379.1246
DGDG(52:8)+HCO2,1201.798,1155.792,415.1457,397.1352,379.1246
DGDG(53:4)+HCO2,1223.876,1177.871,415.1457,397.1352,379.1246
DGDG(54:0)+HCO2,1245.954,1199.949,415.1457,397.1352,379.1246
