ether-TG,[M+NH4],NL R2COOH,NL R3COOH,RCO_2,RCO_3,RCO2+74.0368,RCO3+74.0368,RCO2+74-H2O,RCO3+74-H2O
plasmanyl-TG(O-16:0_10:0_18:0)+NH4,754.72835,565.55535,453.43015,155.14304,267.26824,229.1798364,341.3050364,211.1692714,323.2944714
plasmanyl-TG(O-16:0_10:0_18:1)+NH4,752.71275,563.53975,453.43015,155.14304,265.25264,229.1798364,339.2894364,211.1692714,321.2788714
plasmanyl-TG(O-16:0_10:0_18:2)+NH4,750.69705,561.52405,453.43015,155.14304,263.23694,229.1798364,337.2737364,211.1692714,319.2631714
plasmanyl-TG(O-16:0_10:0_18:3)+NH4,748.68145,559.50845,453.43015,155.14304,261.22134,229.1798364,335.2581364,211.1692714,317.2475714
plasmanyl-TG(O-16:0_10:0_18:4)+NH4,746.66575,557.49275,453.43015,155.14304,259.20564,229.1798364,333.2424364,211.1692714,315.2318714
plasmanyl-TG(O-16:0_10:0_19:0)+NH4,768.74405,579.57105,453.43015,155.14304,281.28394,229.1798364,355.3207364,211.1692714,337.3101714
plasmanyl-TG(O-16:0_10:0_20:0)+NH4,782.75965,593.58665,453.43015,155.14304,295.29954,229.1798364,369.3363364,211.1692714,351.3257714
plasmanyl-TG(O-16:0_10:0_20:1)+NH4,780.74405,591.57105,453.43015,155.14304,293.28394,229.1798364,367.3207364,211.1692714,349.3101714
plasmanyl-TG(O-16:0_10:0_20:2)+NH4,778.72835,589.55535,453.43015,155.14304,291.26824,229.1798364,365.3050364,211.1692714,347.2944714
plasmanyl-TG(O-16:0_10:0_20:3)+NH4,776.71275,587.53975,453.43015,155.14304,289.25264,229.1798364,363.2894364,211.1692714,345.2788714
plasmanyl-TG(O-16:0_10:0_20:4)+NH4,774.69705,585.52405,453.43015,155.14304,287.23694,229.1798364,361.2737364,211.1692714,343.2631714
plasmanyl-TG(O-16:0_10:0_20:5)+NH4,772.68145,583.50845,453.43015,155.14304,285.22134,229.1798364,359.2581364,211.1692714,341.2475714
plasmanyl-TG(O-16:0_10:0_21:0)+NH4,796.77535,607.60235,453.43015,155.14304,309.31524,229.1798364,383.3520364,211.1692714,365.3414714
plasmanyl-TG(O-16:0_10:0_22:0)+NH4,810.79095,621.61795,453.43015,155.14304,323.33084,229.1798364,397.3676364,211.1692714,379.3570714
