SQDG,[M+NH4]+,[M-SN1+H]+,[M-SN2+H]+,[M-C6H10O7S+H]+,[M-C6H10O7S-H2O+H]+,[M-C6H10O7S-SN1+H]+,[M-C6H10O7S-SN2+H]+,SN2,SN1
SQDG(14:0_20:4)+NH4,832.5245,587.2885,511.2571,589.4827,571.4721,361.2737,285.2424,287.2369,211.2056
SQDG(14:0_20:5)+NH4,830.5089,585.2728,511.2571,587.467,569.4564,359.2581,285.2424,285.2213,211.2056
SQDG(14:0_21:0)+NH4,854.6027,609.3667,511.2571,611.5609,593.5504,383.352,285.2424,309.3152,211.2056
SQDG(14:0_21:1)+NH4,852.5871,607.351,511.2571,609.5452,591.5347,381.3363,285.2424,307.2996,211.2056
SQDG(14:0_21:2)+NH4,850.5714,605.3354,511.2571,607.5296,589.519,379.3206,285.2424,305.2839,211.2056
SQDG(14:0_22:0)+NH4,868.6183,623.3823,511.2571,625.5765,607.566,397.3676,285.2424,323.3308,211.2056
SQDG(14:0_22:1)+NH4,866.6027,621.3667,511.2571,623.5609,605.5504,395.352,285.2424,321.3152,211.2056
SQDG(14:0_22:2)+NH4,864.5871,619.351,511.2571,621.5452,603.5347,393.3363,285.2424,319.2996,211.2056
SQDG(14:0_22:3)+NH4,862.5714,617.3354,511.2571,619.5296,601.519,391.3206,285.2424,317.2839,211.2056
SQDG(14:0_22:4)+NH4,860.5558,615.3198,511.2571,617.514,599.5034,389.305,285.2424,315.2682,211.2056
SQDG(14:0_22:5)+NH4,858.5401,613.3041,511.2571,615.4983,597.4877,387.2894,285.2424,313.2526,211.2056
SQDG(14:0_22:6)+NH4,856.5245,611.2885,511.2571,613.4827,595.4721,385.2737,285.2424,311.2369,211.2056
SQDG(14:0_23:0)+NH4,882.634,637.398,511.2571,639.5922,621.5816,411.3833,285.2424,337.3465,211.2056
SQDG(14:0_24:0)+NH4,896.6497,651.4136,511.2571,653.6078,635.5973,425.3989,285.2424,351.3622,211.2056
SQDG(14:0_24:1)+NH4,894.634,649.398,511.2571,651.5922,633.5816,423.3833,285.2424,349.3465,211.2056
SQDG(14:0_24:2)+NH4,892.6183,647.3823,511.2571,649.5765,631.566,421.3676,285.2424,347.3308,211.2056
SQDG(14:0_24:4)+NH4,888.5871,643.351,511.2571,645.5452,627.5347,417.3363,285.2424,343.2996,211.2056
SQDG(14:0_25:0)+NH4,910.6653,665.4293,511.2571,667.6235,649.6129,439.4146,285.2424,365.3778,211.2056
SQDG(14:0_26:0)+NH4,924.681,679.4449,511.2571,681.6392,663.6286,453.4302,285.2424,379.3935,211.2056
SQDG(14:0_26:1)+NH4,922.6653,677.4293,511.2571,679.6235,661.6129,451.4146,285.2424,377.3778,211.2056
SQDG(14:0_26:2)+NH4,920.6497,675.4136,511.2571,677.6078,659.5973,449.3989,285.2424,375.3622,211.2056
SQDG(14:0_26:4)+NH4,916.6183,671.3823,511.2571,673.5765,655.566,445.3676,285.2424,371.3308,211.2056
SQDG(14:0_27:0)+NH4,938.6966,693.4606,511.2571,695.6548,677.6442,467.4459,285.2424,393.4091,211.2056
SQDG(14:1_14:1)+NH4,752.4619,509.2415,509.2415,509.42,491.4095,283.2267,283.2267,209.19,209.19
SQDG(15:0_14:1)+NH4,768.4932,509.2415,525.2728,525.4514,507.4408,283.2267,299.2581,209.19,225.2213
SQDG(14:1_15:1)+NH4,766.4775,523.2571,509.2415,523.4357,505.4251,297.2424,283.2267,223.2056,209.19
SQDG(16:0_14:1)+NH4,782.5089,509.2415,539.2885,539.467,521.4564,283.2267,313.2737,209.19,239.237
SQDG(14:1_16:1)+NH4,780.4932,537.2728,509.2415,537.4514,519.4408,311.2581,283.2267,237.2213,209.19
