SQDG,[M+NH4]+,[M-SN1+H]+,[M-SN2+H]+,[M-C6H10O7S+H]+,[M-C6H10O7S-H2O+H]+,[M-C6H10O7S-SN1+H]+,[M-C6H10O7S-SN2+H]+,SN2,SN1
SQDG(16:2_20:4)+NH4,856.5245,587.2885,535.2571,613.4827,595.4721,361.2737,309.2424,287.2369,235.2056
SQDG(16:2_20:5)+NH4,854.5089,585.2728,535.2571,611.467,593.4564,359.2581,309.2424,285.2213,235.2056
SQDG(21:0_16:2)+NH4,878.6027,535.2571,609.3667,635.5609,617.5504,309.2424,383.352,235.2056,309.3152
SQDG(21:1_16:2)+NH4,876.5871,535.2571,607.351,633.5452,615.5347,309.2424,381.3363,235.2056,307.2996
SQDG(16:2_21:2)+NH4,874.5714,605.3354,535.2571,631.5296,613.519,379.3206,309.2424,305.2839,235.2056
SQDG(22:0_16:2)+NH4,892.6183,535.2571,623.3823,649.5765,631.566,309.2424,397.3676,235.2056,323.3308
SQDG(22:1_16:2)+NH4,890.6027,535.2571,621.3667,647.5609,629.5504,309.2424,395.352,235.2056,321.3152
SQDG(16:2_22:2)+NH4,888.5871,619.351,535.2571,645.5452,627.5347,393.3363,309.2424,319.2996,235.2056
SQDG(16:2_22:3)+NH4,886.5714,617.3354,535.2571,643.5296,625.519,391.3206,309.2424,317.2839,235.2056
SQDG(16:2_22:4)+NH4,884.5558,615.3198,535.2571,641.514,623.5034,389.305,309.2424,315.2682,235.2056
SQDG(16:2_22:5)+NH4,882.5401,613.3041,535.2571,639.4983,621.4877,387.2894,309.2424,313.2526,235.2056
SQDG(16:2_22:6)+NH4,880.5245,611.2885,535.2571,637.4827,619.4721,385.2737,309.2424,311.2369,235.2056
SQDG(23:0_16:2)+NH4,906.634,535.2571,637.398,663.5922,645.5816,309.2424,411.3833,235.2056,337.3465
SQDG(24:0_16:2)+NH4,920.6497,535.2571,651.4136,677.6078,659.5973,309.2424,425.3989,235.2056,351.3622
SQDG(24:1_16:2)+NH4,918.634,535.2571,649.398,675.5922,657.5816,309.2424,423.3833,235.2056,349.3465
SQDG(16:2_24:2)+NH4,916.6183,647.3823,535.2571,673.5765,655.566,421.3676,309.2424,347.3308,235.2056
SQDG(16:2_24:4)+NH4,912.5871,643.351,535.2571,669.5452,651.5347,417.3363,309.2424,343.2996,235.2056
SQDG(25:0_16:2)+NH4,934.6653,535.2571,665.4293,691.6235,673.6129,309.2424,439.4146,235.2056,365.3778
SQDG(26:0_16:2)+NH4,948.681,535.2571,679.4449,705.6392,687.6286,309.2424,453.4302,235.2056,379.3935
SQDG(26:1_16:2)+NH4,946.6653,535.2571,677.4293,703.6235,685.6129,309.2424,451.4146,235.2056,377.3778
SQDG(16:2_26:2)+NH4,944.6497,675.4136,535.2571,701.6078,683.5973,449.3989,309.2424,375.3622,235.2056
SQDG(16:2_26:4)+NH4,940.6183,671.3823,535.2571,697.5765,679.566,445.3676,309.2424,371.3308,235.2056
SQDG(27:0_16:2)+NH4,962.6966,535.2571,693.4606,719.6548,701.6442,309.2424,467.4459,235.2056,393.4091
SQDG(16:3_16:3)+NH4,800.4619,533.2415,533.2415,557.42,539.4095,307.2267,307.2267,233.19,233.19
SQDG(16:3_16:4)+NH4,798.4462,531.2258,533.2415,555.4044,537.3939,305.2111,307.2267,231.1743,233.19
SQDG(17:0_16:3)+NH4,820.5245,533.2415,553.3041,577.4827,559.4721,307.2267,327.2894,233.19,253.2526
SQDG(17:1_16:3)+NH4,818.5089,533.2415,551.2885,575.467,557.4564,307.2267,325.2737,233.19,251.237
SQDG(17:2_16:3)+NH4,816.4932,533.2415,549.2728,573.4514,555.4408,307.2267,323.2581,233.19,249.2213
SQDG(18:0_16:3)+NH4,834.5401,533.2415,567.3198,591.4983,573.4877,307.2267,341.305,233.19,267.2682
SQDG(18:1_16:3)+NH4,832.5245,533.2415,565.3041,589.4827,571.4721,307.2267,339.2894,233.19,265.2526
SQDG(18:2_16:3)+NH4,830.5089,533.2415,563.2885,587.467,569.4564,307.2267,337.2737,233.19,263.2369
SQDG(16:3_18:3)+NH4,828.4932,561.2728,533.2415,585.4514,567.4408,335.2581,307.2267,261.2213,233.19
SQDG(16:3_18:4)+NH4,826.4775,559.2571,533.2415,583.4357,565.4251,333.2424,307.2267,259.2057,233.19
SQDG(16:3_18:5)+NH4,824.4619,557.2415,533.2415,581.42,563.4095,331.2267,307.2267,257.19,233.19
SQDG(19:0_16:3)+NH4,848.5558,533.2415,581.3354,605.514,587.5034,307.2267,355.3206,233.19,281.2839
SQDG(19:1_16:3)+NH4,846.5401,533.2415,579.3198,603.4983,585.4877,307.2267,353.305,233.19,279.2682
SQDG(19:2_16:3)+NH4,844.5245,533.2415,577.3041,601.4827,583.4721,307.2267,351.2894,233.19,277.2526
SQDG(20:0_16:3)+NH4,862.5714,533.2415,595.351,619.5296,601.519,307.2267,369.3363,233.19,295.2996
SQDG(20:1_16:3)+NH4,860.5558,533.2415,593.3354,617.514,599.5034,307.2267,367.3206,233.19,293.2839
SQDG(20:2_16:3)+NH4,858.5401,533.2415,591.3198,615.4983,597.4877,307.2267,365.305,233.19,291.2682
SQDG(16:3_20:3)+NH4,856.5245,589.3041,533.2415,613.4827,595.4721,363.2894,307.2267,289.2526,233.19
SQDG(16:3_20:4)+NH4,854.5089,587.2885,533.2415,611.467,593.4564,361.2737,307.2267,287.2369,233.19
SQDG(16:3_20:5)+NH4,852.4932,585.2728,533.2415,609.4514,591.4408,359.2581,307.2267,285.2213,233.19
SQDG(21:0_16:3)+NH4,876.5871,533.2415,609.3667,633.5452,615.5347,307.2267,383.352,233.19,309.3152
SQDG(21:1_16:3)+NH4,874.5714,533.2415,607.351,631.5296,613.519,307.2267,381.3363,233.19,307.2996
SQDG(21:2_16:3)+NH4,872.5558,533.2415,605.3354,629.514,611.5034,307.2267,379.3206,233.19,305.2839
SQDG(22:0_16:3)+NH4,890.6027,533.2415,623.3823,647.5609,629.5504,307.2267,397.3676,233.19,323.3308
SQDG(22:1_16:3)+NH4,888.5871,533.2415,621.3667,645.5452,627.5347,307.2267,395.352,233.19,321.3152
SQDG(22:2_16:3)+NH4,886.5714,533.2415,619.351,643.5296,625.519,307.2267,393.3363,233.19,319.2996
SQDG(16:3_22:3)+NH4,884.5558,617.3354,533.2415,641.514,623.5034,391.3206,307.2267,317.2839,233.19
SQDG(16:3_22:4)+NH4,882.5401,615.3198,533.2415,639.4983,621.4877,389.305,307.2267,315.2682,233.19
SQDG(16:3_22:5)+NH4,880.5245,613.3041,533.2415,637.4827,619.4721,387.2894,307.2267,313.2526,233.19
SQDG(16:3_22:6)+NH4,878.5089,611.2885,533.2415,635.467,617.4564,385.2737,307.2267,311.2369,233.19
SQDG(23:0_16:3)+NH4,904.6183,533.2415,637.398,661.5765,643.566,307.2267,411.3833,233.19,337.3465
SQDG(24:0_16:3)+NH4,918.634,533.2415,651.4136,675.5922,657.5816,307.2267,425.3989,233.19,351.3622
SQDG(24:1_16:3)+NH4,916.6183,533.2415,649.398,673.5765,655.566,307.2267,423.3833,233.19,349.3465
SQDG(24:2_16:3)+NH4,914.6027,533.2415,647.3823,671.5609,653.5504,307.2267,421.3676,233.19,347.3308
SQDG(16:3_24:4)+NH4,910.5714,643.351,533.2415,667.5296,649.519,417.3363,307.2267,343.2996,233.19
SQDG(25:0_16:3)+NH4,932.6497,533.2415,665.4293,689.6078,671.5973,307.2267,439.4146,233.19,365.3778
SQDG(26:0_16:3)+NH4,946.6653,533.2415,679.4449,703.6235,685.6129,307.2267,453.4302,233.19,379.3935
SQDG(26:1_16:3)+NH4,944.6497,533.2415,677.4293,701.6078,683.5973,307.2267,451.4146,233.19,377.3778
SQDG(26:2_16:3)+NH4,942.634,533.2415,675.4136,699.5922,681.5816,307.2267,449.3989,233.19,375.3622
SQDG(16:3_26:4)+NH4,938.6027,671.3823,533.2415,695.5609,677.5504,445.3676,307.2267,371.3308,233.19
SQDG(27:0_16:3)+NH4,960.681,533.2415,693.4606,717.6392,699.6286,307.2267,467.4459,233.19,393.4091
SQDG(16:4_16:4)+NH4,796.4305,531.2258,531.2258,553.3887,535.3782,305.2111,305.2111,231.1743,231.1743
SQDG(17:0_16:4)+NH4,818.5089,531.2258,553.3041,575.467,557.4564,305.2111,327.2894,231.1743,253.2526
SQDG(17:1_16:4)+NH4,816.4932,531.2258,551.2885,573.4514,555.4408,305.2111,325.2737,231.1743,251.237
SQDG(17:2_16:4)+NH4,814.4775,531.2258,549.2728,571.4357,553.4251,305.2111,323.2581,231.1743,249.2213
SQDG(18:0_16:4)+NH4,832.5245,531.2258,567.3197,589.4827,571.4721,305.2111,341.305,231.1743,267.2682
SQDG(18:1_16:4)+NH4,830.5089,531.2258,565.3041,587.467,569.4564,305.2111,339.2894,231.1743,265.2526
SQDG(18:2_16:4)+NH4,828.4932,531.2258,563.2885,585.4514,567.4408,305.2111,337.2737,231.1743,263.2369
SQDG(18:3_16:4)+NH4,826.4775,531.2258,561.2728,583.4357,565.4251,305.2111,335.2581,231.1743,261.2213
SQDG(16:4_18:4)+NH4,824.4619,559.2571,531.2258,581.42,563.4095,333.2424,305.2111,259.2057,231.1743
SQDG(16:4_18:5)+NH4,822.4462,557.2415,531.2258,579.4044,561.3939,331.2267,305.2111,257.19,231.1743
SQDG(19:0_16:4)+NH4,846.5401,531.2258,581.3354,603.4983,585.4877,305.2111,355.3206,231.1743,281.2839
SQDG(19:1_16:4)+NH4,844.5245,531.2258,579.3197,601.4827,583.4721,305.2111,353.305,231.1743,279.2682
SQDG(19:2_16:4)+NH4,842.5089,531.2258,577.3041,599.467,581.4564,305.2111,351.2894,231.1743,277.2526
SQDG(20:0_16:4)+NH4,860.5558,531.2258,595.351,617.514,599.5034,305.2111,369.3363,231.1743,295.2996
SQDG(20:1_16:4)+NH4,858.5401,531.2258,593.3354,615.4983,597.4877,305.2111,367.3206,231.1743,293.2839
SQDG(20:2_16:4)+NH4,856.5245,531.2258,591.3197,613.4827,595.4721,305.2111,365.305,231.1743,291.2682
SQDG(20:3_16:4)+NH4,854.5089,531.2258,589.3041,611.467,593.4564,305.2111,363.2894,231.1743,289.2526
SQDG(16:4_20:4)+NH4,852.4932,587.2885,531.2258,609.4514,591.4408,361.2737,305.2111,287.2369,231.1743
SQDG(16:4_20:5)+NH4,850.4775,585.2728,531.2258,607.4357,589.4251,359.2581,305.2111,285.2213,231.1743
SQDG(21:0_16:4)+NH4,874.5714,531.2258,609.3667,631.5296,613.519,305.2111,383.352,231.1743,309.3152
SQDG(21:1_16:4)+NH4,872.5558,531.2258,607.351,629.514,611.5034,305.2111,381.3363,231.1743,307.2996
SQDG(21:2_16:4)+NH4,870.5401,531.2258,605.3354,627.4983,609.4877,305.2111,379.3206,231.1743,305.2839
SQDG(22:0_16:4)+NH4,888.5871,531.2258,623.3823,645.5452,627.5347,305.2111,397.3676,231.1743,323.3308
SQDG(22:1_16:4)+NH4,886.5714,531.2258,621.3667,643.5296,625.519,305.2111,395.352,231.1743,321.3152
SQDG(22:2_16:4)+NH4,884.5558,531.2258,619.351,641.514,623.5034,305.2111,393.3363,231.1743,319.2996
SQDG(22:3_16:4)+NH4,882.5401,531.2258,617.3354,639.4983,621.4877,305.2111,391.3206,231.1743,317.2839
SQDG(16:4_22:4)+NH4,880.5245,615.3197,531.2258,637.4827,619.4721,389.305,305.2111,315.2682,231.1743
SQDG(16:4_22:5)+NH4,878.5089,613.3041,531.2258,635.467,617.4564,387.2894,305.2111,313.2526,231.1743
SQDG(16:4_22:6)+NH4,876.4932,611.2885,531.2258,633.4514,615.4408,385.2737,305.2111,311.2369,231.1743
SQDG(23:0_16:4)+NH4,902.6027,531.2258,637.398,659.5609,641.5504,305.2111,411.3833,231.1743,337.3465
SQDG(24:0_16:4)+NH4,916.6183,531.2258,651.4136,673.5765,655.566,305.2111,425.3989,231.1743,351.3622
SQDG(24:1_16:4)+NH4,914.6027,531.2258,649.398,671.5609,653.5504,305.2111,423.3833,231.1743,349.3465
SQDG(24:2_16:4)+NH4,912.5871,531.2258,647.3823,669.5452,651.5347,305.2111,421.3676,231.1743,347.3308
SQDG(16:4_24:4)+NH4,908.5558,643.351,531.2258,665.514,647.5034,417.3363,305.2111,343.2996,231.1743
SQDG(25:0_16:4)+NH4,930.634,531.2258,665.4293,687.5922,669.5816,305.2111,439.4146,231.1743,365.3778
SQDG(26:0_16:4)+NH4,944.6497,531.2258,679.4449,701.6078,683.5973,305.2111,453.4302,231.1743,379.3935
SQDG(26:1_16:4)+NH4,942.634,531.2258,677.4293,699.5922,681.5816,305.2111,451.4146,231.1743,377.3778
SQDG(26:2_16:4)+NH4,940.6183,531.2258,675.4136,697.5765,679.566,305.2111,449.3989,231.1743,375.3622
SQDG(16:4_26:4)+NH4,936.5871,671.3823,531.2258,693.5452,675.5347,445.3676,305.2111,371.3308,231.1743
SQDG(27:0_16:4)+NH4,958.6653,531.2258,693.4606,715.6235,697.6129,305.2111,467.4459,231.1743,393.4091
SQDG(17:0_17:0)+NH4,840.5871,553.3041,553.3041,597.5452,579.5347,327.2894,327.2894,253.2526,253.2526
SQDG(17:0_17:1)+NH4,838.5714,551.2885,553.3041,595.5296,577.519,325.2737,327.2894,251.237,253.2526
SQDG(17:0_17:2)+NH4,836.5558,549.2728,553.3041,593.514,575.5034,323.2581,327.2894,249.2213,253.2526
SQDG(17:0_18:0)+NH4,854.6027,567.3198,553.3041,611.5609,593.5504,341.305,327.2894,267.2682,253.2526
SQDG(17:0_18:1)+NH4,852.5871,565.3041,553.3041,609.5452,591.5347,339.2894,327.2894,265.2526,253.2526
SQDG(17:0_18:2)+NH4,850.5714,563.2885,553.3041,607.5296,589.519,337.2737,327.2894,263.2369,253.2526
SQDG(17:0_18:3)+NH4,848.5558,561.2728,553.3041,605.514,587.5034,335.2581,327.2894,261.2213,253.2526
SQDG(17:0_18:4)+NH4,846.5401,559.2571,553.3041,603.4983,585.4877,333.2424,327.2894,259.2057,253.2526
SQDG(17:0_18:5)+NH4,844.5245,557.2415,553.3041,601.4827,583.4721,331.2267,327.2894,257.19,253.2526
SQDG(17:0_19:0)+NH4,868.6183,581.3354,553.3041,625.5765,607.566,355.3206,327.2894,281.2839,253.2526
SQDG(17:0_19:1)+NH4,866.6027,579.3198,553.3041,623.5609,605.5504,353.305,327.2894,279.2682,253.2526
SQDG(17:0_19:2)+NH4,864.5871,577.3041,553.3041,621.5452,603.5347,351.2894,327.2894,277.2526,253.2526
SQDG(17:0_20:0)+NH4,882.634,595.351,553.3041,639.5922,621.5816,369.3363,327.2894,295.2996,253.2526
SQDG(17:0_20:1)+NH4,880.6183,593.3354,553.3041,637.5765,619.566,367.3206,327.2894,293.2839,253.2526
SQDG(17:0_20:2)+NH4,878.6027,591.3198,553.3041,635.5609,617.5504,365.305,327.2894,291.2682,253.2526
SQDG(17:0_20:3)+NH4,876.5871,589.3041,553.3041,633.5452,615.5347,363.2894,327.2894,289.2526,253.2526
SQDG(17:0_20:4)+NH4,874.5714,587.2885,553.3041,631.5296,613.519,361.2737,327.2894,287.2369,253.2526
SQDG(17:0_20:5)+NH4,872.5558,585.2728,553.3041,629.514,611.5034,359.2581,327.2894,285.2213,253.2526
SQDG(17:0_21:0)+NH4,896.6497,609.3667,553.3041,653.6078,635.5973,383.352,327.2894,309.3152,253.2526
SQDG(17:0_21:1)+NH4,894.634,607.351,553.3041,651.5922,633.5816,381.3363,327.2894,307.2996,253.2526
SQDG(17:0_21:2)+NH4,892.6183,605.3354,553.3041,649.5765,631.566,379.3206,327.2894,305.2839,253.2526
SQDG(17:0_22:0)+NH4,910.6653,623.3823,553.3041,667.6235,649.6129,397.3676,327.2894,323.3308,253.2526
SQDG(17:0_22:1)+NH4,908.6497,621.3667,553.3041,665.6078,647.5973,395.352,327.2894,321.3152,253.2526
SQDG(17:0_22:2)+NH4,906.634,619.351,553.3041,663.5922,645.5816,393.3363,327.2894,319.2996,253.2526
SQDG(17:0_22:3)+NH4,904.6183,617.3354,553.3041,661.5765,643.566,391.3206,327.2894,317.2839,253.2526
SQDG(17:0_22:4)+NH4,902.6027,615.3198,553.3041,659.5609,641.5504,389.305,327.2894,315.2682,253.2526
SQDG(17:0_22:5)+NH4,900.5871,613.3041,553.3041,657.5452,639.5347,387.2894,327.2894,313.2526,253.2526
SQDG(17:0_22:6)+NH4,898.5714,611.2885,553.3041,655.5296,637.519,385.2737,327.2894,311.2369,253.2526
SQDG(17:0_23:0)+NH4,924.681,637.398,553.3041,681.6392,663.6286,411.3833,327.2894,337.3465,253.2526
SQDG(17:0_24:0)+NH4,938.6966,651.4136,553.3041,695.6548,677.6442,425.3989,327.2894,351.3622,253.2526
SQDG(17:0_24:1)+NH4,936.681,649.398,553.3041,693.6392,675.6286,423.3833,327.2894,349.3465,253.2526
SQDG(17:0_24:2)+NH4,934.6653,647.3823,553.3041,691.6235,673.6129,421.3676,327.2894,347.3308,253.2526
SQDG(17:0_24:4)+NH4,930.634,643.351,553.3041,687.5922,669.5816,417.3363,327.2894,343.2996,253.2526
SQDG(17:0_25:0)+NH4,952.7123,665.4293,553.3041,709.6705,691.6599,439.4146,327.2894,365.3778,253.2526
SQDG(17:0_26:0)+NH4,966.7279,679.4449,553.3041,723.6861,705.6755,453.4302,327.2894,379.3935,253.2526
SQDG(17:0_26:1)+NH4,964.7123,677.4293,553.3041,721.6705,703.6599,451.4146,327.2894,377.3778,253.2526
SQDG(17:0_26:2)+NH4,962.6966,675.4136,553.3041,719.6548,701.6442,449.3989,327.2894,375.3622,253.2526
SQDG(17:0_26:4)+NH4,958.6653,671.3823,553.3041,715.6235,697.6129,445.3676,327.2894,371.3308,253.2526
SQDG(17:0_27:0)+NH4,980.7436,693.4606,553.3041,737.7017,719.6912,467.4459,327.2894,393.4091,253.2526
SQDG(17:1_17:1)+NH4,836.5558,551.2885,551.2885,593.514,575.5034,325.2737,325.2737,251.237,251.237
SQDG(17:1_17:2)+NH4,834.5401,549.2728,551.2885,591.4983,573.4877,323.2581,325.2737,249.2213,251.237
SQDG(18:0_17:1)+NH4,852.5871,551.2885,567.3198,609.5452,591.5347,325.2737,341.305,251.237,267.2682
SQDG(17:1_18:1)+NH4,850.5714,565.3041,551.2885,607.5296,589.519,339.2894,325.2737,265.2526,251.237
SQDG(17:1_18:2)+NH4,848.5558,563.2885,551.2885,605.514,587.5034,337.2737,325.2737,263.2369,251.237
SQDG(17:1_18:3)+NH4,846.5401,561.2728,551.2885,603.4983,585.4877,335.2581,325.2737,261.2213,251.237
SQDG(17:1_18:4)+NH4,844.5245,559.2571,551.2885,601.4827,583.4721,333.2424,325.2737,259.2057,251.237
SQDG(17:1_18:5)+NH4,842.5089,557.2415,551.2885,599.467,581.4564,331.2267,325.2737,257.19,251.237
SQDG(19:0_17:1)+NH4,866.6027,551.2885,581.3354,623.5609,605.5504,325.2737,355.3206,251.237,281.2839
SQDG(17:1_19:1)+NH4,864.5871,579.3198,551.2885,621.5452,603.5347,353.305,325.2737,279.2682,251.237
SQDG(17:1_19:2)+NH4,862.5714,577.3041,551.2885,619.5296,601.519,351.2894,325.2737,277.2526,251.237
SQDG(20:0_17:1)+NH4,880.6183,551.2885,595.351,637.5765,619.566,325.2737,369.3363,251.237,295.2996
SQDG(17:1_20:1)+NH4,878.6027,593.3354,551.2885,635.5609,617.5504,367.3206,325.2737,293.2839,251.237
SQDG(17:1_20:2)+NH4,876.5871,591.3198,551.2885,633.5452,615.5347,365.305,325.2737,291.2682,251.237
SQDG(17:1_20:3)+NH4,874.5714,589.3041,551.2885,631.5296,613.519,363.2894,325.2737,289.2526,251.237
SQDG(17:1_20:4)+NH4,872.5558,587.2885,551.2885,629.514,611.5034,361.2737,325.2737,287.2369,251.237
SQDG(17:1_20:5)+NH4,870.5401,585.2728,551.2885,627.4983,609.4877,359.2581,325.2737,285.2213,251.237
SQDG(21:0_17:1)+NH4,894.634,551.2885,609.3667,651.5922,633.5816,325.2737,383.352,251.237,309.3152
SQDG(17:1_21:1)+NH4,892.6183,607.351,551.2885,649.5765,631.566,381.3363,325.2737,307.2996,251.237
SQDG(17:1_21:2)+NH4,890.6027,605.3354,551.2885,647.5609,629.5504,379.3206,325.2737,305.2839,251.237
SQDG(22:0_17:1)+NH4,908.6497,551.2885,623.3823,665.6078,647.5973,325.2737,397.3676,251.237,323.3308
SQDG(17:1_22:1)+NH4,906.634,621.3667,551.2885,663.5922,645.5816,395.352,325.2737,321.3152,251.237
SQDG(17:1_22:2)+NH4,904.6183,619.351,551.2885,661.5765,643.566,393.3363,325.2737,319.2996,251.237
SQDG(17:1_22:3)+NH4,902.6027,617.3354,551.2885,659.5609,641.5504,391.3206,325.2737,317.2839,251.237
SQDG(17:1_22:4)+NH4,900.5871,615.3198,551.2885,657.5452,639.5347,389.305,325.2737,315.2682,251.237
SQDG(17:1_22:5)+NH4,898.5714,613.3041,551.2885,655.5296,637.519,387.2894,325.2737,313.2526,251.237
SQDG(17:1_22:6)+NH4,896.5558,611.2885,551.2885,653.514,635.5034,385.2737,325.2737,311.2369,251.237
SQDG(23:0_17:1)+NH4,922.6653,551.2885,637.398,679.6235,661.6129,325.2737,411.3833,251.237,337.3465
SQDG(24:0_17:1)+NH4,936.681,551.2885,651.4136,693.6392,675.6286,325.2737,425.3989,251.237,351.3622
SQDG(17:1_24:1)+NH4,934.6653,649.398,551.2885,691.6235,673.6129,423.3833,325.2737,349.3465,251.237
SQDG(17:1_24:2)+NH4,932.6497,647.3823,551.2885,689.6078,671.5973,421.3676,325.2737,347.3308,251.237
SQDG(17:1_24:4)+NH4,928.6183,643.351,551.2885,685.5765,667.566,417.3363,325.2737,343.2996,251.237
SQDG(25:0_17:1)+NH4,950.6966,551.2885,665.4293,707.6548,689.6442,325.2737,439.4146,251.237,365.3778
SQDG(26:0_17:1)+NH4,964.7123,551.2885,679.4449,721.6705,703.6599,325.2737,453.4302,251.237,379.3935
SQDG(17:1_26:1)+NH4,962.6966,677.4293,551.2885,719.6548,701.6442,451.4146,325.2737,377.3778,251.237
SQDG(17:1_26:2)+NH4,960.681,675.4136,551.2885,717.6392,699.6286,449.3989,325.2737,375.3622,251.237
SQDG(17:1_26:4)+NH4,956.6497,671.3823,551.2885,713.6078,695.5973,445.3676,325.2737,371.3308,251.237
SQDG(27:0_17:1)+NH4,978.7279,551.2885,693.4606,735.6861,717.6755,325.2737,467.4459,251.237,393.4091
SQDG(17:2_17:2)+NH4,832.5245,549.2728,549.2728,589.4827,571.4721,323.2581,323.2581,249.2213,249.2213
SQDG(18:0_17:2)+NH4,850.5714,549.2728,567.3198,607.5296,589.519,323.2581,341.305,249.2213,267.2682
SQDG(18:1_17:2)+NH4,848.5558,549.2728,565.3041,605.514,587.5034,323.2581,339.2894,249.2213,265.2526
SQDG(17:2_18:2)+NH4,846.5401,563.2885,549.2728,603.4983,585.4877,337.2737,323.2581,263.2369,249.2213
SQDG(17:2_18:3)+NH4,844.5245,561.2728,549.2728,601.4827,583.4721,335.2581,323.2581,261.2213,249.2213
SQDG(17:2_18:4)+NH4,842.5089,559.2571,549.2728,599.467,581.4564,333.2424,323.2581,259.2057,249.2213
SQDG(17:2_18:5)+NH4,840.4932,557.2415,549.2728,597.4514,579.4408,331.2267,323.2581,257.19,249.2213
SQDG(19:0_17:2)+NH4,864.5871,549.2728,581.3354,621.5452,603.5347,323.2581,355.3206,249.2213,281.2839
SQDG(19:1_17:2)+NH4,862.5714,549.2728,579.3198,619.5296,601.519,323.2581,353.305,249.2213,279.2682
SQDG(17:2_19:2)+NH4,860.5558,577.3041,549.2728,617.514,599.5034,351.2894,323.2581,277.2526,249.2213
SQDG(20:0_17:2)+NH4,878.6027,549.2728,595.351,635.5609,617.5504,323.2581,369.3363,249.2213,295.2996
SQDG(20:1_17:2)+NH4,876.5871,549.2728,593.3354,633.5452,615.5347,323.2581,367.3206,249.2213,293.2839
SQDG(17:2_20:2)+NH4,874.5714,591.3198,549.2728,631.5296,613.519,365.305,323.2581,291.2682,249.2213
SQDG(17:2_20:3)+NH4,872.5558,589.3041,549.2728,629.514,611.5034,363.2894,323.2581,289.2526,249.2213
SQDG(17:2_20:4)+NH4,870.5401,587.2885,549.2728,627.4983,609.4877,361.2737,323.2581,287.2369,249.2213
SQDG(17:2_20:5)+NH4,868.5245,585.2728,549.2728,625.4827,607.4721,359.2581,323.2581,285.2213,249.2213
SQDG(21:0_17:2)+NH4,892.6183,549.2728,609.3667,649.5765,631.566,323.2581,383.352,249.2213,309.3152
SQDG(21:1_17:2)+NH4,890.6027,549.2728,607.351,647.5609,629.5504,323.2581,381.3363,249.2213,307.2996
SQDG(17:2_21:2)+NH4,888.5871,605.3354,549.2728,645.5452,627.5347,379.3206,323.2581,305.2839,249.2213
SQDG(22:0_17:2)+NH4,906.634,549.2728,623.3823,663.5922,645.5816,323.2581,397.3676,249.2213,323.3308
SQDG(22:1_17:2)+NH4,904.6183,549.2728,621.3667,661.5765,643.566,323.2581,395.352,249.2213,321.3152
SQDG(17:2_22:2)+NH4,902.6027,619.351,549.2728,659.5609,641.5504,393.3363,323.2581,319.2996,249.2213
SQDG(17:2_22:3)+NH4,900.5871,617.3354,549.2728,657.5452,639.5347,391.3206,323.2581,317.2839,249.2213
SQDG(17:2_22:4)+NH4,898.5714,615.3198,549.2728,655.5296,637.519,389.305,323.2581,315.2682,249.2213
SQDG(17:2_22:5)+NH4,896.5558,613.3041,549.2728,653.514,635.5034,387.2894,323.2581,313.2526,249.2213
SQDG(17:2_22:6)+NH4,894.5401,611.2885,549.2728,651.4983,633.4877,385.2737,323.2581,311.2369,249.2213
SQDG(23:0_17:2)+NH4,920.6497,549.2728,637.398,677.6078,659.5973,323.2581,411.3833,249.2213,337.3465
SQDG(24:0_17:2)+NH4,934.6653,549.2728,651.4136,691.6235,673.6129,323.2581,425.3989,249.2213,351.3622
SQDG(24:1_17:2)+NH4,932.6497,549.2728,649.398,689.6078,671.5973,323.2581,423.3833,249.2213,349.3465
SQDG(17:2_24:2)+NH4,930.634,647.3823,549.2728,687.5922,669.5816,421.3676,323.2581,347.3308,249.2213
SQDG(17:2_24:4)+NH4,926.6027,643.351,549.2728,683.5609,665.5504,417.3363,323.2581,343.2996,249.2213
SQDG(25:0_17:2)+NH4,948.681,549.2728,665.4293,705.6392,687.6286,323.2581,439.4146,249.2213,365.3778
SQDG(26:0_17:2)+NH4,962.6966,549.2728,679.4449,719.6548,701.6442,323.2581,453.4302,249.2213,379.3935
SQDG(26:1_17:2)+NH4,960.681,549.2728,677.4293,717.6392,699.6286,323.2581,451.4146,249.2213,377.3778
SQDG(17:2_26:2)+NH4,958.6653,675.4136,549.2728,715.6235,697.6129,449.3989,323.2581,375.3622,249.2213
SQDG(17:2_26:4)+NH4,954.634,671.3823,549.2728,711.5922,693.5816,445.3676,323.2581,371.3308,249.2213
SQDG(27:0_17:2)+NH4,976.7123,549.2728,693.4606,733.6705,715.6599,323.2581,467.4459,249.2213,393.4091
SQDG(18:0_18:0)+NH4,868.6183,567.3198,567.3198,625.5765,607.566,341.305,341.305,267.2682,267.2682
SQDG(18:0_18:1)+NH4,866.6027,565.3041,567.3198,623.5609,605.5504,339.2894,341.305,265.2526,267.2682
SQDG(18:0_18:2)+NH4,864.5871,563.2885,567.3198,621.5452,603.5347,337.2737,341.305,263.2369,267.2682
SQDG(18:0_18:3)+NH4,862.5714,561.2728,567.3198,619.5296,601.519,335.2581,341.305,261.2213,267.2682
SQDG(18:0_18:4)+NH4,860.5558,559.2571,567.3198,617.514,599.5034,333.2424,341.305,259.2057,267.2682
SQDG(18:0_18:5)+NH4,858.5401,557.2415,567.3198,615.4983,597.4877,331.2267,341.305,257.19,267.2682
