Cer_EOS,[M-H]-,NL of EFA,[FAA+C2H2-H]-,[FAA-H]-,[EFA-H]-,[Sph-C2H8NO]-
Cer_EOS(d17:1/18:2/O-25:3)-H,920.80765,658.57805,416.35395,390.33835,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-25:4)-H,918.79195,656.56235,414.33835,388.32265,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-26:0)-H,940.87025,678.64055,436.41655,410.40095,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-26:1)-H,938.85465,676.62495,434.40095,408.38525,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-26:2)-H,936.83895,674.60935,432.38525,406.36955,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-26:3)-H,934.82335,672.59365,430.36955,404.35395,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-26:4)-H,932.80765,670.57805,428.35395,402.33835,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-27:0)-H,954.88595,692.65625,450.43225,424.41655,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-27:1)-H,952.87025,690.64055,448.41655,422.40095,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-27:2)-H,950.85465,688.62495,446.40095,420.38525,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-27:3)-H,948.83895,686.60935,444.38525,418.36955,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-27:4)-H,946.82335,684.59365,442.36955,416.35395,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-28:0)-H,968.90155,706.67185,464.44785,438.43225,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-28:1)-H,966.88595,704.65625,462.43225,436.41655,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-28:2)-H,964.87025,702.64055,460.41655,434.40095,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-28:3)-H,962.85465,700.62495,458.40095,432.38525,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-28:4)-H,960.83895,698.60935,456.38525,430.36955,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-29:0)-H,982.91725,720.68755,478.46355,452.44785,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-29:1)-H,980.90155,718.67185,476.44785,450.43225,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-29:2)-H,978.88595,716.65625,474.43225,448.41655,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-29:3)-H,976.87025,714.64055,472.41655,446.40095,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-29:4)-H,974.85465,712.62495,470.40095,444.38525,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-30:0)-H,996.93285,734.70315,492.47915,466.46355,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-30:1)-H,994.91725,732.68755,490.46355,464.44785,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-30:2)-H,992.90155,730.67185,488.44785,462.43225,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-30:3)-H,990.88595,728.65625,486.43225,460.41655,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-30:4)-H,988.87025,726.64055,484.41655,458.40095,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-31:0)-H,1010.94855,748.71885,506.49485,480.47915,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-31:1)-H,1008.93255,746.70315,504.47915,478.46355,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-31:2)-H,1006.91755,744.68755,502.46355,476.44785,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-31:3)-H,1004.90155,742.67185,500.44785,474.43225,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-31:4)-H,1002.88555,740.65625,498.43225,472.41655,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-32:0)-H,1024.96455,762.73445,520.51045,494.49485,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-32:1)-H,1022.94855,760.71885,518.49485,492.47915,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-32:2)-H,1020.93255,758.70315,516.47915,490.46355,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-32:3)-H,1018.91755,756.68755,514.46355,488.44785,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-32:4)-H,1016.90155,754.67185,512.44785,486.43225,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-33:0)-H,1038.97955,776.75015,534.52615,508.51045,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-33:1)-H,1036.96455,774.73445,532.51045,506.49485,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-33:2)-H,1034.94855,772.71885,530.49485,504.47915,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-33:3)-H,1032.93255,770.70315,528.47915,502.46355,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-33:4)-H,1030.91755,768.68755,526.46355,500.44785,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-34:0)-H,1052.99555,790.76585,548.54175,522.52615,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-34:1)-H,1050.97955,788.75015,546.52615,520.51045,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-34:2)-H,1048.96455,786.73445,544.51045,518.49485,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-34:3)-H,1046.94855,784.71885,542.49485,516.47915,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-34:4)-H,1044.93255,782.70315,540.47915,514.46355,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-35:0)-H,1067.01155,804.78145,562.55745,536.54175,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-35:1)-H,1064.99555,802.76585,560.54175,534.52615,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-35:2)-H,1062.97955,800.75015,558.52615,532.51045,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-35:3)-H,1060.96455,798.73445,556.51045,530.49485,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-35:4)-H,1058.94855,796.71885,554.49485,528.47915,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-36:0)-H,1081.02655,818.79715,576.57305,550.55745,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-36:1)-H,1079.01155,816.78145,574.55745,548.54175,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-36:2)-H,1076.99555,814.76585,572.54175,546.52615,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-36:3)-H,1074.97955,812.75015,570.52615,544.51045,279.23355,223.20725
Cer_EOS(d17:1/18:2/O-36:4)-H,1072.96455,810.73445,568.51045,542.49485,279.23355,223.20725
Cer_EOS(d18:1/16:0/O-16:0)-H,790.72945,552.49975,296.26005,270.24445,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-16:1)-H,788.71375,550.48405,294.24445,268.22875,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-16:2)-H,786.69815,548.46845,292.22875,266.21315,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-16:3)-H,784.68245,546.45285,290.21315,264.19745,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-16:4)-H,782.66685,544.43715,288.19745,262.18185,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-17:0)-H,804.74505,566.51535,310.27565,284.26005,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-17:1)-H,802.72945,564.49975,308.26005,282.24445,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-17:2)-H,800.71375,562.48405,306.24445,280.22875,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-17:3)-H,798.69815,560.46845,304.22875,278.21315,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-18:0)-H,818.76065,580.53105,324.29135,298.27565,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-18:1)-H,816.74505,578.51535,322.27565,296.26005,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-18:2)-H,814.72945,576.49975,320.26005,294.24445,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-18:3)-H,812.71375,574.48405,318.24445,292.22875,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-18:4)-H,810.69815,572.46845,316.22875,290.21315,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-19:0)-H,832.77635,594.54665,338.30705,312.29135,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-19:1)-H,830.76065,592.53105,336.29135,310.27565,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-19:2)-H,828.74505,590.51535,334.27565,308.26005,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-19:3)-H,826.72945,588.49975,332.26005,306.24445,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-19:4)-H,824.71375,586.48405,330.24445,304.22875,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-20:0)-H,846.79195,608.56235,352.32265,326.30705,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-20:1)-H,844.77635,606.54665,350.30705,324.29135,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-20:2)-H,842.76065,604.53105,348.29135,322.27565,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-20:3)-H,840.74505,602.51535,346.27565,320.26005,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-20:4)-H,838.72945,600.49975,344.26005,318.24445,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-21:0)-H,860.80765,622.57805,366.33835,340.32265,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-21:1)-H,858.79195,620.56235,364.32265,338.30705,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-21:2)-H,856.77635,618.54665,362.30705,336.29135,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-21:3)-H,854.76065,616.53105,360.29135,334.27565,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-21:4)-H,852.74505,614.51535,358.27565,332.26005,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-22:0)-H,874.82335,636.59365,380.35395,354.33835,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-22:1)-H,872.80765,634.57805,378.33835,352.32265,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-22:2)-H,870.79195,632.56235,376.32265,350.30705,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-22:3)-H,868.77635,630.54665,374.30705,348.29135,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-22:4)-H,866.76065,628.53105,372.29135,346.27565,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-23:0)-H,888.83895,650.60935,394.36955,368.35395,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-23:1)-H,886.82335,648.59365,392.35395,366.33835,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-23:2)-H,884.80765,646.57805,390.33835,364.32265,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-23:3)-H,882.79195,644.56235,388.32265,362.30705,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-23:4)-H,880.77635,642.54665,386.30705,360.29135,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-24:0)-H,902.85465,664.62495,408.38525,382.36955,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-24:1)-H,900.83895,662.60935,406.36955,380.35395,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-24:2)-H,898.82335,660.59365,404.35395,378.33835,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-24:3)-H,896.80765,658.57805,402.33835,376.32265,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-24:4)-H,894.79195,656.56235,400.32265,374.30705,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-25:0)-H,916.87025,678.64055,422.40095,396.38525,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-25:1)-H,914.85465,676.62495,420.38525,394.36955,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-25:2)-H,912.83895,674.60935,418.36955,392.35395,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-25:3)-H,910.82335,672.59365,416.35395,390.33835,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-25:4)-H,908.80765,670.57805,414.33835,388.32265,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-26:0)-H,930.88595,692.65625,436.41655,410.40095,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-26:1)-H,928.87025,690.64055,434.40095,408.38525,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-26:2)-H,926.85465,688.62495,432.38525,406.36955,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-26:3)-H,924.83895,686.60935,430.36955,404.35395,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-26:4)-H,922.82335,684.59365,428.35395,402.33835,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-27:0)-H,944.90155,706.67185,450.43225,424.41655,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-27:1)-H,942.88595,704.65625,448.41655,422.40095,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-27:2)-H,940.87025,702.64055,446.40095,420.38525,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-27:3)-H,938.85465,700.62495,444.38525,418.36955,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-27:4)-H,936.83895,698.60935,442.36955,416.35395,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-28:0)-H,958.91725,720.68755,464.44785,438.43225,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-28:1)-H,956.90155,718.67185,462.43225,436.41655,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-28:2)-H,954.88595,716.65625,460.41655,434.40095,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-28:3)-H,952.87025,714.64055,458.40095,432.38525,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-28:4)-H,950.85465,712.62495,456.38525,430.36955,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-29:0)-H,972.93285,734.70315,478.46355,452.44785,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-29:1)-H,970.91725,732.68755,476.44785,450.43225,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-29:2)-H,968.90155,730.67185,474.43225,448.41655,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-29:3)-H,966.88595,728.65625,472.41655,446.40095,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-29:4)-H,964.87025,726.64055,470.40095,444.38525,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-30:0)-H,986.94845,748.71885,492.47915,466.46355,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-30:1)-H,984.93285,746.70315,490.46355,464.44785,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-30:2)-H,982.91725,744.68755,488.44785,462.43225,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-30:3)-H,980.90155,742.67185,486.43225,460.41655,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-30:4)-H,978.88595,740.65625,484.41655,458.40095,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-31:0)-H,1000.96455,762.73445,506.49485,480.47915,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-31:1)-H,998.94845,760.71885,504.47915,478.46355,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-31:2)-H,996.93285,758.70315,502.46355,476.44785,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-31:3)-H,994.91725,756.68755,500.44785,474.43225,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-31:4)-H,992.90155,754.67185,498.43225,472.41655,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-32:0)-H,1014.97955,776.75015,520.51045,494.49485,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-32:1)-H,1012.96455,774.73445,518.49485,492.47915,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-32:2)-H,1010.94855,772.71885,516.47915,490.46355,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-32:3)-H,1008.93255,770.70315,514.46355,488.44785,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-32:4)-H,1006.91755,768.68755,512.44785,486.43225,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-33:0)-H,1028.99555,790.76585,534.52615,508.51045,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-33:1)-H,1026.97955,788.75015,532.51045,506.49485,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-33:2)-H,1024.96455,786.73445,530.49485,504.47915,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-33:3)-H,1022.94855,784.71885,528.47915,502.46355,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-33:4)-H,1020.93255,782.70315,526.46355,500.44785,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-34:0)-H,1043.01155,804.78145,548.54175,522.52615,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-34:1)-H,1040.99555,802.76585,546.52615,520.51045,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-34:2)-H,1038.97955,800.75015,544.51045,518.49485,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-34:3)-H,1036.96455,798.73445,542.49485,516.47915,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-34:4)-H,1034.94855,796.71885,540.47915,514.46355,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-35:0)-H,1057.02655,818.79715,562.55745,536.54175,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-35:1)-H,1055.01155,816.78145,560.54175,534.52615,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-35:2)-H,1052.99555,814.76585,558.52615,532.51045,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-35:3)-H,1050.97955,812.75015,556.51045,530.49485,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-35:4)-H,1048.96455,810.73445,554.49485,528.47915,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-36:0)-H,1071.04255,832.81275,576.57305,550.55745,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-36:1)-H,1069.02655,830.79715,574.55745,548.54175,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-36:2)-H,1067.01155,828.78145,572.54175,546.52615,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-36:3)-H,1064.99555,826.76585,570.52615,544.51045,255.23355,237.22295
Cer_EOS(d18:1/16:0/O-36:4)-H,1062.97955,824.75015,568.51045,542.49485,255.23355,237.22295
Cer_EOS(d18:1/16:1/O-16:0)-H,788.71375,552.49975,296.26005,270.24445,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-16:1)-H,786.69815,550.48405,294.24445,268.22875,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-16:2)-H,784.68245,548.46845,292.22875,266.21315,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-16:3)-H,782.66685,546.45275,290.21315,264.19745,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-16:4)-H,780.65115,544.43715,288.19745,262.18185,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-17:0)-H,802.72945,566.51535,310.27565,284.26005,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-17:1)-H,800.71375,564.49975,308.26005,282.24445,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-17:2)-H,798.69815,562.48405,306.24445,280.22875,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-17:3)-H,796.68245,560.46845,304.22875,278.21315,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-18:0)-H,816.74505,580.53105,324.29135,298.27565,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-18:1)-H,814.72945,578.51535,322.27565,296.26005,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-18:2)-H,812.71375,576.49975,320.26005,294.24445,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-18:3)-H,810.69815,574.48405,318.24445,292.22875,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-18:4)-H,808.68245,572.46845,316.22875,290.21315,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-19:0)-H,830.76065,594.54665,338.30705,312.29135,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-19:1)-H,828.74505,592.53105,336.29135,310.27565,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-19:2)-H,826.72945,590.51535,334.27565,308.26005,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-19:3)-H,824.71375,588.49975,332.26005,306.24445,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-19:4)-H,822.69815,586.48405,330.24445,304.22875,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-20:0)-H,844.77635,608.56235,352.32265,326.30705,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-20:1)-H,842.76065,606.54665,350.30705,324.29135,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-20:2)-H,840.74505,604.53105,348.29135,322.27565,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-20:3)-H,838.72945,602.51535,346.27565,320.26005,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-20:4)-H,836.71375,600.49975,344.26005,318.24445,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-21:0)-H,858.79195,622.57805,366.33835,340.32265,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-21:1)-H,856.77635,620.56235,364.32265,338.30705,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-21:2)-H,854.76065,618.54665,362.30705,336.29135,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-21:3)-H,852.74505,616.53105,360.29135,334.27565,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-21:4)-H,850.72945,614.51535,358.27565,332.26005,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-22:0)-H,872.80765,636.59365,380.35395,354.33835,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-22:1)-H,870.79195,634.57805,378.33835,352.32265,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-22:2)-H,868.77635,632.56235,376.32265,350.30705,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-22:3)-H,866.76065,630.54665,374.30705,348.29135,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-22:4)-H,864.74505,628.53105,372.29135,346.27565,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-23:0)-H,886.82335,650.60935,394.36955,368.35395,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-23:1)-H,884.80765,648.59365,392.35395,366.33835,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-23:2)-H,882.79195,646.57805,390.33835,364.32265,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-23:3)-H,880.77635,644.56235,388.32265,362.30705,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-23:4)-H,878.76065,642.54665,386.30705,360.29135,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-24:0)-H,900.83895,664.62495,408.38525,382.36955,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-24:1)-H,898.82335,662.60935,406.36955,380.35395,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-24:2)-H,896.80765,660.59365,404.35395,378.33835,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-24:3)-H,894.79195,658.57805,402.33835,376.32265,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-24:4)-H,892.77635,656.56235,400.32265,374.30705,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-25:0)-H,914.85465,678.64055,422.40095,396.38525,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-25:1)-H,912.83895,676.62495,420.38525,394.36955,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-25:2)-H,910.82335,674.60935,418.36955,392.35395,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-25:3)-H,908.80765,672.59365,416.35395,390.33835,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-25:4)-H,906.79195,670.57805,414.33835,388.32265,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-26:0)-H,928.87025,692.65625,436.41655,410.40095,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-26:1)-H,926.85465,690.64055,434.40095,408.38525,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-26:2)-H,924.83895,688.62495,432.38525,406.36955,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-26:3)-H,922.82335,686.60935,430.36955,404.35395,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-26:4)-H,920.80765,684.59365,428.35395,402.33835,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-27:0)-H,942.88595,706.67185,450.43225,424.41655,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-27:1)-H,940.87025,704.65625,448.41655,422.40095,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-27:2)-H,938.85465,702.64055,446.40095,420.38525,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-27:3)-H,936.83895,700.62495,444.38525,418.36955,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-27:4)-H,934.82335,698.60935,442.36955,416.35395,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-28:0)-H,956.90155,720.68755,464.44785,438.43225,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-28:1)-H,954.88595,718.67185,462.43225,436.41655,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-28:2)-H,952.87025,716.65625,460.41655,434.40095,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-28:3)-H,950.85465,714.64055,458.40095,432.38525,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-28:4)-H,948.83895,712.62495,456.38525,430.36955,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-29:0)-H,970.91725,734.70315,478.46355,452.44785,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-29:1)-H,968.90155,732.68755,476.44785,450.43225,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-29:2)-H,966.88595,730.67185,474.43225,448.41655,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-29:3)-H,964.87025,728.65625,472.41655,446.40095,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-29:4)-H,962.85465,726.64055,470.40095,444.38525,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-30:0)-H,984.93285,748.71885,492.47915,466.46355,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-30:1)-H,982.91725,746.70315,490.46355,464.44785,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-30:2)-H,980.90155,744.68755,488.44785,462.43225,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-30:3)-H,978.88595,742.67185,486.43225,460.41655,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-30:4)-H,976.87025,740.65625,484.41655,458.40095,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-31:0)-H,998.94845,762.73445,506.49485,480.47915,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-31:1)-H,996.93285,760.71885,504.47915,478.46355,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-31:2)-H,994.91725,758.70315,502.46355,476.44785,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-31:3)-H,992.90155,756.68755,500.44785,474.43225,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-31:4)-H,990.88595,754.67185,498.43225,472.41655,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-32:0)-H,1012.96455,776.75015,520.51045,494.49485,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-32:1)-H,1010.94855,774.73445,518.49485,492.47915,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-32:2)-H,1008.93255,772.71885,516.47915,490.46355,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-32:3)-H,1006.91755,770.70315,514.46355,488.44785,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-32:4)-H,1004.90155,768.68755,512.44785,486.43225,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-33:0)-H,1026.97955,790.76585,534.52615,508.51045,253.21785,237.22295
Cer_EOS(d18:1/16:1/O-33:1)-H,1024.96455,788.75015,532.51045,506.49485,253.21785,237.22295
