GlcCer_AS,[M+HCO2]-,[M-H]-,[M-C6H10O5-H]-,[M-Hex-H2O-H]-,[M-Hex-CH4O-H]-,[M-Hex-CH4O2-H]-,[M-Hex-CH6O3-H]-,[FAA+C2H5O-H]-,[FAA+C2H3O-H]-,[Sph-H]-,[FAA+C2H5O-H2O-H]-,[Sph-H2O-H]-,[FAA+C2H5O-2H2O-H]-,[FAA+O-H]-,[FAA-H]-,[Sph-CH2O-H]-,[Sph-H5NO-H]-,[FA-2H-H]-,[Sph-CH4O2-H]-,[Sph-C2H5NO-H]-,[Sph-C2H7NO-H]-,[FA+CH2O-H]-
GlcCer_AS(d16:1/19:4)+HCO2,766.51115,720.50565,558.45275,540.44225,526.42655,510.43165,492.42105,348.25495,346.23935,270.24445,330.24385,252.23385,312.23335,305.21275,304.20495,240.23385,235.20725,287.20225,222.22325,211.20725,209.19165,259.20725
GlcCer_AS(d16:1/20:0)+HCO2,788.58935,742.58385,580.53105,562.52045,548.50485,532.50985,514.49935,370.33325,368.31755,270.24445,352.32215,252.23385,334.31155,327.29105,326.28325,240.23385,235.20725,309.28045,222.22325,211.20725,209.19165,281.28555
GlcCer_AS(d16:1/20:1)+HCO2,786.57365,740.56825,578.51535,560.50485,546.48915,530.49425,512.48365,368.31755,366.30195,270.24445,350.30645,252.23385,332.29585,325.27535,324.26755,240.23385,235.20725,307.26485,222.22325,211.20725,209.19165,279.26985
GlcCer_AS(d16:1/20:2)+HCO2,784.55805,738.55255,576.49975,558.48915,544.47355,528.47855,510.46805,366.30195,364.28625,270.24445,348.29085,252.23385,330.28025,323.25975,322.25195,240.23385,235.20725,305.24915,222.22325,211.20725,209.19165,277.25425
GlcCer_AS(d16:1/20:3)+HCO2,782.54245,736.53695,574.48405,556.47355,542.45785,526.46295,508.45235,364.28625,362.27065,270.24445,346.27515,252.23385,328.26455,321.24405,320.23625,240.23385,235.20725,303.23355,222.22325,211.20725,209.19165,275.23855
GlcCer_AS(d16:1/20:4)+HCO2,780.52675,734.52125,572.46845,554.45785,540.44225,524.44725,506.43675,362.27065,360.25495,270.24445,344.25955,252.23385,326.24895,319.22845,318.22065,240.23385,235.20725,301.21785,222.22325,211.20725,209.19165,273.22295
GlcCer_AS(d16:1/21:0)+HCO2,802.60495,756.59945,594.54665,576.53615,562.52045,546.52555,528.51495,384.34885,382.33325,270.24445,366.33775,252.23385,348.32725,341.30665,340.29885,240.23385,235.20725,323.29615,222.22325,211.20725,209.19165,295.30115
GlcCer_AS(d16:1/21:1)+HCO2,800.58935,754.58385,592.53105,574.52045,560.50485,544.50985,526.49935,382.33325,380.31755,270.24445,364.32215,252.23385,346.31155,339.29105,338.28325,240.23385,235.20725,321.28045,222.22325,211.20725,209.19165,293.28555
GlcCer_AS(d16:1/21:2)+HCO2,798.57365,752.56825,590.51535,572.50485,558.48915,542.49425,524.48365,380.31755,378.30195,270.24445,362.30645,252.23385,344.29585,337.27535,336.26755,240.23385,235.20725,319.26485,222.22325,211.20725,209.19165,291.26985
GlcCer_AS(d16:1/21:3)+HCO2,796.55805,750.55255,588.49975,570.48915,556.47355,540.47855,522.46805,378.30195,376.28625,270.24445,360.29085,252.23385,342.28025,335.25975,334.25195,240.23385,235.20725,317.24915,222.22325,211.20725,209.19165,289.25425
