Cer_NDS,[M+HCO2]-,[M-H]-,[M-CO-3H]-,[M-CO-O-3H]-,[Sph-H]-,[FA+NCCO-3H]-,[FA+NCC-3H]-,[FA+N-H]-,[Sph-NCCO-3H]-,[FA-3H]-
Cer_NDS(d16:0/25:3)+HCO2,676.58855,630.58305,598.55685,582.56195,272.26005,416.35345,400.35845,374.34335,211.20725,357.34065
Cer_NDS(d16:0/25:4)+HCO2,674.57285,628.56745,596.54115,580.54625,272.26005,414.33775,398.34285,372.32775,211.20725,355.32505
Cer_NDS(d16:0/26:0)+HCO2,696.65115,650.64565,618.61945,602.62455,272.26005,436.41605,420.42115,394.40595,211.20725,377.40325
Cer_NDS(d16:0/26:1)+HCO2,694.63545,648.63005,616.60385,600.60885,272.26005,434.40035,418.40545,392.39035,211.20725,375.38765
Cer_NDS(d16:0/26:2)+HCO2,692.61985,646.61435,614.58815,598.59325,272.26005,432.38475,416.38985,390.37465,211.20725,373.37195
Cer_NDS(d16:0/26:3)+HCO2,690.60415,644.59875,612.57255,596.57755,272.26005,430.36905,414.37415,388.35905,211.20725,371.35625
Cer_NDS(d16:0/26:4)+HCO2,688.58855,642.58305,610.55685,594.56195,272.26005,428.35345,412.35845,386.34335,211.20725,369.34065
Cer_NDS(d16:0/27:0)+HCO2,710.66685,664.66135,632.63515,616.64015,272.26005,450.43165,434.43675,408.42165,211.20725,391.41885
Cer_NDS(d16:0/27:1)+HCO2,708.65115,662.64565,630.61945,614.62455,272.26005,448.41605,432.42115,406.40595,211.20725,389.40325
Cer_NDS(d16:0/27:2)+HCO2,706.63545,660.63005,628.60385,612.60885,272.26005,446.40035,430.40545,404.39035,211.20725,387.38765
Cer_NDS(d16:0/27:3)+HCO2,704.61985,658.61435,626.58815,610.59325,272.26005,444.38475,428.38985,402.37465,211.20725,385.37195
Cer_NDS(d16:0/27:4)+HCO2,702.60415,656.59875,624.57255,608.57755,272.26005,442.36905,426.37415,400.35905,211.20725,383.35625
Cer_NDS(d16:0/28:0)+HCO2,724.68245,678.67705,646.65075,630.65585,272.26005,464.44735,448.45235,422.43725,211.20725,405.43455
Cer_NDS(d16:0/28:1)+HCO2,722.66685,676.66135,644.63515,628.64015,272.26005,462.43165,446.43675,420.42165,211.20725,403.41885
Cer_NDS(d16:0/28:2)+HCO2,720.65115,674.64565,642.61945,626.62455,272.26005,460.41605,444.42115,418.40595,211.20725,401.40325
Cer_NDS(d16:0/28:3)+HCO2,718.63545,672.63005,640.60385,624.60885,272.26005,458.40035,442.40545,416.39035,211.20725,399.38765
Cer_NDS(d16:0/28:4)+HCO2,716.61985,670.61435,638.58815,622.59325,272.26005,456.38475,440.38985,414.37465,211.20725,397.37195
Cer_NDS(d16:0/29:0)+HCO2,738.69815,692.69265,660.66635,644.67155,272.26005,478.46295,462.46805,436.45295,211.20725,419.45015
Cer_NDS(d16:0/29:1)+HCO2,736.68245,690.67705,658.65075,642.65585,272.26005,476.44735,460.45235,434.43725,211.20725,417.43455
Cer_NDS(d16:0/29:2)+HCO2,734.66685,688.66135,656.63515,640.64015,272.26005,474.43165,458.43675,432.42165,211.20725,415.41885
Cer_NDS(d16:0/29:3)+HCO2,732.65115,686.64565,654.61945,638.62455,272.26005,472.41605,456.42115,430.40595,211.20725,413.40325
Cer_NDS(d16:0/29:4)+HCO2,730.63545,684.63005,652.60385,636.60885,272.26005,470.40035,454.40545,428.39035,211.20725,411.38765
Cer_NDS(d16:0/30:0)+HCO2,752.71375,706.70825,674.68205,658.68715,272.26005,492.47865,476.48375,450.46855,211.20725,433.46585
Cer_NDS(d16:0/30:1)+HCO2,750.69815,704.69265,672.66635,656.67155,272.26005,490.46295,474.46805,448.45295,211.20725,431.45015
