Cer_AS,[M-H]-,[M-O-H]-,[M-CO-3H]-,[M-CO-O-H]-,[Sph-3H]-,[Sph-O-3H]-,[FA+O-H]-,[FA+N-H]-,[Sph-CO-H]-,[FA-3H]-,[Sph-NCCO-H]-,[Sph-NCCO-3H]-,[FA-CO-3H]-
Cer_AS(d16:1/27:3)-H,672.59365,654.58305,640.56745,624.57255,268.22875,252.23385,419.35365,418.36955,240.23385,401.34305,211.20725,209.19165,373.34815
Cer_AS(d16:1/27:4)-H,670.57805,652.56745,638.55175,622.55685,268.22875,252.23385,417.33795,416.35395,240.23385,399.32745,211.20725,209.19165,371.33245
Cer_AS(d16:1/28:0)-H,692.65625,674.64565,660.63005,644.63505,268.22875,252.23385,439.41625,438.43225,240.23385,421.40565,211.20725,209.19165,393.41075
Cer_AS(d16:1/28:1)-H,690.64055,672.63005,658.61435,642.61945,268.22875,252.23385,437.40055,436.41655,240.23385,419.39005,211.20725,209.19165,391.39505
Cer_AS(d16:1/28:2)-H,688.62495,670.61435,656.59865,640.60385,268.22875,252.23385,435.38495,434.40095,240.23385,417.37435,211.20725,209.19165,389.37945
Cer_AS(d16:1/28:3)-H,686.60935,668.59865,654.58305,638.58815,268.22875,252.23385,433.36925,432.38525,240.23385,415.35875,211.20725,209.19165,387.36385
Cer_AS(d16:1/28:4)-H,684.59365,666.58305,652.56745,636.57255,268.22875,252.23385,431.35365,430.36955,240.23385,413.34305,211.20725,209.19165,385.34815
Cer_AS(d16:1/29:0)-H,706.67185,688.66135,674.64565,658.65075,268.22875,252.23385,453.43185,452.44785,240.23385,435.42125,211.20725,209.19165,407.42635
Cer_AS(d16:1/29:1)-H,704.65625,686.64565,672.63005,656.63505,268.22875,252.23385,451.41625,450.43225,240.23385,433.40565,211.20725,209.19165,405.41075
Cer_AS(d16:1/29:2)-H,702.64055,684.63005,670.61435,654.61945,268.22875,252.23385,449.40055,448.41655,240.23385,431.39005,211.20725,209.19165,403.39505
Cer_AS(d16:1/29:3)-H,700.62495,682.61435,668.59865,652.60385,268.22875,252.23385,447.38495,446.40095,240.23385,429.37435,211.20725,209.19165,401.37945
Cer_AS(d16:1/29:4)-H,698.60935,680.59865,666.58305,650.58815,268.22875,252.23385,445.36925,444.38525,240.23385,427.35875,211.20725,209.19165,399.36385
Cer_AS(d16:1/30:0)-H,720.68755,702.67695,688.66135,672.66635,268.22875,252.23385,467.44755,466.46355,240.23385,449.43695,211.20725,209.19165,421.44205
Cer_AS(d16:1/30:1)-H,718.67185,700.66135,686.64565,670.65075,268.22875,252.23385,465.43185,464.44785,240.23385,447.42125,211.20725,209.19165,419.42635
Cer_AS(d16:1/30:2)-H,716.65625,698.64565,684.63005,668.63505,268.22875,252.23385,463.41625,462.43225,240.23385,445.40565,211.20725,209.19165,417.41075
Cer_AS(d16:1/30:3)-H,714.64055,696.63005,682.61435,666.61945,268.22875,252.23385,461.40055,460.41655,240.23385,443.39005,211.20725,209.19165,415.39505
Cer_AS(d16:1/30:4)-H,712.62495,694.61435,680.59865,664.60385,268.22875,252.23385,459.38495,458.40095,240.23385,441.37435,211.20725,209.19165,413.37945
Cer_AS(d16:1/31:0)-H,734.70315,716.69265,702.67695,686.68205,268.22875,252.23385,481.46315,480.47915,240.23385,463.45265,211.20725,209.19165,435.45775
Cer_AS(d16:1/31:1)-H,732.68755,714.67695,700.66135,684.66635,268.22875,252.23385,479.44755,478.46355,240.23385,461.43695,211.20725,209.19165,433.44205
Cer_AS(d16:1/31:2)-H,730.67185,712.66135,698.64565,682.65075,268.22875,252.23385,477.43185,476.44785,240.23385,459.42125,211.20725,209.19165,431.42635
Cer_AS(d16:1/31:3)-H,728.65625,710.64565,696.63005,680.63505,268.22875,252.23385,475.41625,474.43225,240.23385,457.40565,211.20725,209.19165,429.41075
Cer_AS(d16:1/31:4)-H,726.64055,708.63005,694.61435,678.61945,268.22875,252.23385,473.40055,472.41655,240.23385,455.39005,211.20725,209.19165,427.39505
Cer_AS(d16:1/32:0)-H,748.71885,730.70825,716.69265,700.69765,268.22875,252.23385,495.47885,494.49485,240.23385,477.46825,211.20725,209.19165,449.47335
