Cer_BS,[M-H]-,[M-H2O-H]-,[Sph+C2H2O-H]-,[Sph+C-H]-,[Sph-H5NO-H]-,[Sph-C2H7NO-H]-
Cer_BS(d16:2/30:0)-H,718.67185,718.67185,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/30:1)-H,716.65625,716.65625,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/30:2)-H,714.64055,714.64055,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/30:3)-H,712.62495,712.62495,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/30:4)-H,710.60935,710.60935,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/31:0)-H,732.68755,732.68755,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/31:1)-H,730.67185,730.67185,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/31:2)-H,728.65625,728.65625,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/31:3)-H,726.64055,726.64055,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/31:4)-H,724.62495,724.62495,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/32:0)-H,746.70315,746.70315,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/32:1)-H,744.68755,744.68755,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/32:2)-H,742.67185,742.67185,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/32:3)-H,740.65625,740.65625,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/32:4)-H,738.64055,738.64055,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/33:0)-H,760.71885,760.71885,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/33:1)-H,758.70315,758.70315,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/33:2)-H,756.68755,756.68755,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/33:3)-H,754.67185,754.67185,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/33:4)-H,752.65625,752.65625,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/34:0)-H,774.73445,774.73445,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/34:1)-H,772.71885,772.71885,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/34:2)-H,770.70315,770.70315,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/34:3)-H,768.68755,768.68755,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/34:4)-H,766.67185,766.67185,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/35:0)-H,788.75015,788.75015,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/35:1)-H,786.73445,786.73445,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/35:2)-H,784.71885,784.71885,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/35:3)-H,782.70315,782.70315,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/35:4)-H,780.68755,780.68755,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/36:0)-H,802.76585,802.76585,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/36:1)-H,800.75015,800.75015,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/36:2)-H,798.73445,798.73445,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/36:3)-H,796.71885,796.71885,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/36:4)-H,794.70315,794.70315,310.23935,278.21315,268.22875,207.17595
Cer_BS(d17:2/14:0)-H,508.43715,508.43715,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/14:1)-H,506.42145,506.42145,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/14:2)-H,504.40585,504.40585,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/14:3)-H,502.39015,502.39015,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/15:0)-H,522.45285,522.45285,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/15:1)-H,520.43715,520.43715,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/15:2)-H,518.42155,518.42155,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/15:3)-H,516.40585,516.40585,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/16:0)-H,536.46845,536.46845,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/16:1)-H,534.45285,534.45285,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/16:2)-H,532.43715,532.43715,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/16:3)-H,530.42155,530.42155,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/16:4)-H,528.40585,528.40585,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/17:0)-H,550.48405,550.48405,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/17:1)-H,548.46845,548.46845,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/17:2)-H,546.45285,546.45285,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/17:3)-H,544.43715,544.43715,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/18:0)-H,564.49975,564.49975,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/18:1)-H,562.48405,562.48405,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/18:2)-H,560.46845,560.46845,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/18:3)-H,558.45285,558.45285,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/18:4)-H,556.43715,556.43715,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/19:0)-H,578.51535,578.51535,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/19:1)-H,576.49975,576.49975,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/19:2)-H,574.48405,574.48405,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/19:3)-H,572.46845,572.46845,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/19:4)-H,570.45285,570.45285,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/20:0)-H,592.53105,592.53105,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/20:1)-H,590.51535,590.51535,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/20:2)-H,588.49975,588.49975,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/20:3)-H,586.48405,586.48405,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/20:4)-H,584.46845,584.46845,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/21:0)-H,606.54665,606.54665,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/21:1)-H,604.53105,604.53105,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/21:2)-H,602.51535,602.51535,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/21:3)-H,600.49975,600.49975,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/21:4)-H,598.48405,598.48405,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/22:0)-H,620.56235,620.56235,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/22:1)-H,618.54665,618.54665,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/22:2)-H,616.53105,616.53105,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/22:3)-H,614.51535,614.51535,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/22:4)-H,612.49975,612.49975,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/23:0)-H,634.57805,634.57805,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/23:1)-H,632.56235,632.56235,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/23:2)-H,630.54665,630.54665,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/23:3)-H,628.53105,628.53105,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/23:4)-H,626.51535,626.51535,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/24:0)-H,648.59365,648.59365,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/24:1)-H,646.57805,646.57805,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/24:2)-H,644.56235,644.56235,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/24:3)-H,642.54665,642.54665,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/24:4)-H,640.53105,640.53105,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/25:0)-H,662.60935,662.60935,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/25:1)-H,660.59365,660.59365,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/25:2)-H,658.57805,658.57805,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/25:3)-H,656.56235,656.56235,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/25:4)-H,654.54665,654.54665,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/26:0)-H,676.62495,676.62495,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/26:1)-H,674.60935,674.60935,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/26:2)-H,672.59365,672.59365,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/26:3)-H,670.57805,670.57805,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/26:4)-H,668.56235,668.56235,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/27:0)-H,690.64055,690.64055,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/27:1)-H,688.62495,688.62495,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/27:2)-H,686.60935,686.60935,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/27:3)-H,684.59365,684.59365,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/27:4)-H,682.57805,682.57805,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/28:0)-H,704.65625,704.65625,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/28:1)-H,702.64055,702.64055,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/28:2)-H,700.62495,700.62495,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/28:3)-H,698.60935,698.60935,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/28:4)-H,696.59365,696.59365,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/29:0)-H,718.67185,718.67185,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/29:1)-H,716.65625,716.65625,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/29:2)-H,714.64055,714.64055,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/29:3)-H,712.62495,712.62495,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/29:4)-H,710.60935,710.60935,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/30:0)-H,732.68755,732.68755,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/30:1)-H,730.67185,730.67185,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/30:2)-H,728.65625,728.65625,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/30:3)-H,726.64055,726.64055,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/30:4)-H,724.62495,724.62495,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/31:0)-H,746.70315,746.70315,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/31:1)-H,744.68755,744.68755,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/31:2)-H,742.67185,742.67185,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/31:3)-H,740.65625,740.65625,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/31:4)-H,738.64055,738.64055,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/32:0)-H,760.71885,760.71885,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/32:1)-H,758.70315,758.70315,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/32:2)-H,756.68755,756.68755,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/32:3)-H,754.67185,754.67185,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/32:4)-H,752.65625,752.65625,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/33:0)-H,774.73445,774.73445,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/33:1)-H,772.71885,772.71885,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/33:2)-H,770.70315,770.70315,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/33:3)-H,768.68755,768.68755,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/33:4)-H,766.67185,766.67185,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/34:0)-H,788.75015,788.75015,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/34:1)-H,786.73445,786.73445,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/34:2)-H,784.71885,784.71885,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/34:3)-H,782.70315,782.70315,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/34:4)-H,780.68755,780.68755,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/35:0)-H,802.76585,802.76585,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/35:1)-H,800.75015,800.75015,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/35:2)-H,798.73445,798.73445,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/35:3)-H,796.71885,796.71885,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/35:4)-H,794.70315,794.70315,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/36:0)-H,816.78145,816.78145,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/36:1)-H,814.76585,814.76585,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/36:2)-H,812.75015,812.75015,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/36:3)-H,810.73445,810.73445,324.25495,292.22875,282.24445,221.19165
Cer_BS(d17:2/36:4)-H,808.71885,808.71885,324.25495,292.22875,282.24445,221.19165
Cer_BS(d18:2/14:0)-H,522.45285,522.45285,338.27065,306.24445,296.26005,235.20735
Cer_BS(d18:2/14:1)-H,520.43715,520.43715,338.27065,306.24445,296.26005,235.20735
Cer_BS(d18:2/14:2)-H,518.42155,518.42155,338.27065,306.24445,296.26005,235.20735
Cer_BS(d18:2/14:3)-H,516.40585,516.40585,338.27065,306.24445,296.26005,235.20735
