Plasmenyl-PC,[M+C2H3O2]-,NL_CH3&C2H3O2,NL_Choline&C2H3O2,NL_T2Ketene&CH3&C2H3O2,NL_T2RCOOH&CH3&C2H3O2,NL_T2RCOOH_Choline_C2H3O2,GlyceroPC_NLCH3&H2O,T2_RCOO-,PC_NLCH3, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
Plasmenyl-PC(P-16:1/20:1)+C2H3O2,828.6125,754.57572,683.50222,462.29905,444.28849,373.215,224.06881,309.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/20:2)+C2H3O2,826.5968,752.56002,681.48652,462.29905,444.28849,373.215,224.06881,307.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/20:3)+C2H3O2,824.5812,750.54442,679.47092,462.29905,444.28849,373.215,224.06881,305.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/20:4)+C2H3O2,822.5655,748.52872,677.45522,462.29905,444.28849,373.215,224.06881,303.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/20:5)+C2H3O2,820.5499,746.51312,675.43962,462.29905,444.28849,373.215,224.06881,301.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/21:0)+C2H3O2,844.6438,770.60702,699.53352,462.29905,444.28849,373.215,224.06881,325.31125,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/22:0)+C2H3O2,858.6594,784.62262,713.54912,462.29905,444.28849,373.215,224.06881,339.32685,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/22:1)+C2H3O2,856.6438,782.60702,711.53352,462.29905,444.28849,373.215,224.06881,337.31125,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/22:2)+C2H3O2,854.6281,780.59132,709.51782,462.29905,444.28849,373.215,224.06881,335.29555,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/22:3)+C2H3O2,852.6125,778.57572,707.50222,462.29905,444.28849,373.215,224.06881,333.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/22:4)+C2H3O2,850.5968,776.56002,705.48652,462.29905,444.28849,373.215,224.06881,331.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/22:5)+C2H3O2,848.5812,774.54442,703.47092,462.29905,444.28849,373.215,224.06881,329.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/22:6)+C2H3O2,846.5655,772.52872,701.45522,462.29905,444.28849,373.215,224.06881,327.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/23:0)+C2H3O2,872.6751,798.63832,727.56482,462.29905,444.28849,373.215,224.06881,353.34255,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/24:0)+C2H3O2,886.6907,812.65392,741.58042,462.29905,444.28849,373.215,224.06881,367.35815,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/24:1)+C2H3O2,884.6751,810.63832,739.56482,462.29905,444.28849,373.215,224.06881,365.34255,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/25:0)+C2H3O2,900.7064,826.66962,755.59612,462.29905,444.28849,373.215,224.06881,381.37385,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/26:0)+C2H3O2,914.722,840.68522,769.61172,462.29905,444.28849,373.215,224.06881,395.38945,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/8:0)+C2H3O2,662.4403,588.40352,517.33002,462.29905,444.28849,373.215,224.06881,143.10775,168.04314,152.99586,96.96964,78.95852
