Cer_AP,[M+HCO2]-,[M-H]-,[FA+NC(C)CO-H]-,[FA+O-H]-,[FA-CO-3H]-,[Sph-NC(CO)CO-H]-
Cer_AP(t16:0/36:0)+HCO2,868.79745,822.79195,606.58255,551.54145,505.53595,197.19055
Cer_AP(t16:0/36:1)+HCO2,866.78185,820.77635,604.56685,549.52575,503.52025,197.19055
Cer_AP(t16:0/36:2)+HCO2,864.76615,818.76065,602.55125,547.51015,501.50465,197.19055
Cer_AP(t16:0/36:3)+HCO2,862.75055,816.74505,600.53555,545.49455,499.48895,197.19055
Cer_AP(t16:0/36:4)+HCO2,860.73485,814.72945,598.51995,543.47885,497.47335,197.19055
Cer_AP(t17:0/14:0)+HCO2,574.46885,528.46335,298.23825,243.19715,197.19165,211.20615
Cer_AP(t17:0/14:1)+HCO2,572.45315,526.44765,296.22255,241.18145,195.17595,211.20615
Cer_AP(t17:0/14:2)+HCO2,570.43755,524.43205,294.20695,239.16585,193.16035,211.20615
Cer_AP(t17:0/14:3)+HCO2,568.42185,522.41635,292.19125,237.15015,191.14465,211.20615
Cer_AP(t17:0/15:0)+HCO2,588.48445,542.47905,312.25385,257.21275,211.20725,211.20615
Cer_AP(t17:0/15:1)+HCO2,586.46885,540.46335,310.23825,255.19715,209.19165,211.20615
Cer_AP(t17:0/15:2)+HCO2,584.45315,538.44765,308.22255,253.18145,207.17595,211.20615
Cer_AP(t17:0/15:3)+HCO2,582.43755,536.43205,306.20695,251.16585,205.16035,211.20615
Cer_AP(t17:0/16:0)+HCO2,602.50015,556.49465,326.26955,271.22845,225.22295,211.20615
Cer_AP(t17:0/16:1)+HCO2,600.48445,554.47905,324.25385,269.21275,223.20725,211.20615
Cer_AP(t17:0/16:2)+HCO2,598.46885,552.46335,322.23825,267.19715,221.19165,211.20615
Cer_AP(t17:0/16:3)+HCO2,596.45315,550.44765,320.22255,265.18145,219.17595,211.20615
Cer_AP(t17:0/16:4)+HCO2,594.43755,548.43205,318.20695,263.16585,217.16035,211.20615
Cer_AP(t17:0/17:0)+HCO2,616.51585,570.51035,340.28515,285.24405,239.23855,211.20615
Cer_AP(t17:0/17:1)+HCO2,614.50015,568.49465,338.26955,283.22845,237.22295,211.20615
Cer_AP(t17:0/17:2)+HCO2,612.48445,566.47905,336.25385,281.21275,235.20725,211.20615
Cer_AP(t17:0/17:3)+HCO2,610.46885,564.46335,334.23825,279.19715,233.19165,211.20615
Cer_AP(t17:0/18:0)+HCO2,630.53145,584.52595,354.30085,299.25975,253.25425,211.20615
Cer_AP(t17:0/18:1)+HCO2,628.51585,582.51035,352.28515,297.24405,251.23855,211.20615
Cer_AP(t17:0/18:2)+HCO2,626.50015,580.49465,350.26955,295.22845,249.22295,211.20615
Cer_AP(t17:0/18:3)+HCO2,624.48445,578.47905,348.25385,293.21275,247.20725,211.20615
Cer_AP(t17:0/18:4)+HCO2,622.46885,576.46335,346.23825,291.19715,245.19165,211.20615
Cer_AP(t17:0/19:0)+HCO2,644.54705,598.54165,368.31645,313.27535,267.26985,211.20615
Cer_AP(t17:0/19:1)+HCO2,642.53145,596.52595,366.30085,311.25975,265.25425,211.20615
