GlcCer_NS,[M+H]+,[M-C6H10O5+H]+,[M-Hex-H2O+H]+,[M-Hex-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
GlcCer_NS(d16:1/28:2)+H,836.698,674.6452,656.6346,638.6241,254.2478,236.2373,420.42012,224.2373
GlcCer_NS(d16:1/28:3)+H,834.68234,672.62954,654.61894,636.60844,254.2478,236.2373,418.40446,224.2373
GlcCer_NS(d16:1/28:4)+H,832.66668,670.61388,652.60328,634.59278,254.2478,236.2373,416.3888,224.2373
GlcCer_NS(d16:1/29:0)+H,854.74498,692.69218,674.68158,656.67108,254.2478,236.2373,438.4671,224.2373
GlcCer_NS(d16:1/29:1)+H,852.72932,690.67652,672.66592,654.65542,254.2478,236.2373,436.45144,224.2373
GlcCer_NS(d16:1/29:2)+H,850.71366,688.66086,670.65026,652.63976,254.2478,236.2373,434.43578,224.2373
GlcCer_NS(d16:1/29:3)+H,848.698,686.6452,668.6346,650.6241,254.2478,236.2373,432.42012,224.2373
GlcCer_NS(d16:1/29:4)+H,846.68234,684.62954,666.61894,648.60844,254.2478,236.2373,430.40446,224.2373
GlcCer_NS(d16:1/30:0)+H,868.76064,706.70784,688.69724,670.68674,254.2478,236.2373,452.48276,224.2373
GlcCer_NS(d16:1/30:1)+H,866.74498,704.69218,686.68158,668.67108,254.2478,236.2373,450.4671,224.2373
GlcCer_NS(d16:1/30:2)+H,864.72932,702.67652,684.66592,666.65542,254.2478,236.2373,448.45144,224.2373
GlcCer_NS(d16:1/30:3)+H,862.71366,700.66086,682.65026,664.63976,254.2478,236.2373,446.43578,224.2373
GlcCer_NS(d16:1/30:4)+H,860.698,698.6452,680.6346,662.6241,254.2478,236.2373,444.42012,224.2373
GlcCer_NS(d16:1/31:0)+H,882.7763,720.7235,702.7129,684.7024,254.2478,236.2373,466.49842,224.2373
GlcCer_NS(d16:1/31:1)+H,880.76064,718.70784,700.69724,682.68674,254.2478,236.2373,464.48276,224.2373
GlcCer_NS(d16:1/31:2)+H,878.74498,716.69218,698.68158,680.67108,254.2478,236.2373,462.4671,224.2373
GlcCer_NS(d16:1/31:3)+H,876.72932,714.67652,696.66592,678.65542,254.2478,236.2373,460.45144,224.2373
GlcCer_NS(d16:1/31:4)+H,874.71366,712.66086,694.65026,676.63976,254.2478,236.2373,458.43578,224.2373
GlcCer_NS(d16:1/32:0)+H,896.79196,734.73916,716.72856,698.71806,254.2478,236.2373,480.51408,224.2373
GlcCer_NS(d16:1/32:1)+H,894.7763,732.7235,714.7129,696.7024,254.2478,236.2373,478.49842,224.2373
GlcCer_NS(d16:1/32:2)+H,892.76064,730.70784,712.69724,694.68674,254.2478,236.2373,476.48276,224.2373
GlcCer_NS(d16:1/32:3)+H,890.74498,728.69218,710.68158,692.67108,254.2478,236.2373,474.4671,224.2373
GlcCer_NS(d16:1/32:4)+H,888.72932,726.67652,708.66592,690.65542,254.2478,236.2373,472.45144,224.2373
GlcCer_NS(d16:1/33:0)+H,910.80762,748.75482,730.74422,712.73372,254.2478,236.2373,494.52974,224.2373
GlcCer_NS(d16:1/33:1)+H,908.79196,746.73916,728.72856,710.71806,254.2478,236.2373,492.51408,224.2373
GlcCer_NS(d16:1/33:2)+H,906.7763,744.7235,726.7129,708.7024,254.2478,236.2373,490.49842,224.2373
GlcCer_NS(d16:1/33:3)+H,904.76064,742.70784,724.69724,706.68674,254.2478,236.2373,488.48276,224.2373
GlcCer_NS(d16:1/33:4)+H,902.74498,740.69218,722.68158,704.67108,254.2478,236.2373,486.4671,224.2373
GlcCer_NS(d16:1/34:0)+H,924.82328,762.77048,744.75988,726.74938,254.2478,236.2373,508.5454,224.2373
GlcCer_NS(d16:1/34:1)+H,922.80762,760.75482,742.74422,724.73372,254.2478,236.2373,506.52974,224.2373
GlcCer_NS(d16:1/34:2)+H,920.79196,758.73916,740.72856,722.71806,254.2478,236.2373,504.51408,224.2373
GlcCer_NS(d16:1/34:3)+H,918.7763,756.7235,738.7129,720.7024,254.2478,236.2373,502.49842,224.2373
GlcCer_NS(d16:1/34:4)+H,916.76064,754.70784,736.69724,718.68674,254.2478,236.2373,500.48276,224.2373
GlcCer_NS(d16:1/35:0)+H,938.83894,776.78614,758.77554,740.76504,254.2478,236.2373,522.56106,224.2373
GlcCer_NS(d16:1/35:1)+H,936.82328,774.77048,756.75988,738.74938,254.2478,236.2373,520.5454,224.2373
GlcCer_NS(d16:1/35:2)+H,934.80762,772.75482,754.74422,736.73372,254.2478,236.2373,518.52974,224.2373
GlcCer_NS(d16:1/35:3)+H,932.79196,770.73916,752.72856,734.71806,254.2478,236.2373,516.51408,224.2373
GlcCer_NS(d16:1/35:4)+H,930.7763,768.7235,750.7129,732.7024,254.2478,236.2373,514.49842,224.2373
GlcCer_NS(d16:1/36:0)+H,952.8546,790.8018,772.7912,754.7807,254.2478,236.2373,536.57672,224.2373
GlcCer_NS(d16:1/36:1)+H,950.83894,788.78614,770.77554,752.76504,254.2478,236.2373,534.56106,224.2373
GlcCer_NS(d16:1/36:2)+H,948.82328,786.77048,768.75988,750.74938,254.2478,236.2373,532.5454,224.2373
GlcCer_NS(d16:1/36:3)+H,946.80762,784.75482,766.74422,748.73372,254.2478,236.2373,530.52974,224.2373
