Cer_ADS,[M-H]-,[M-O-H]-,[M-CO-H]-,[M-CO-O-H]-,[Sph-H]-,[Sph+C=O-3H]-,[Sph-O-H]-,[Sph+C=O-O-3H]-,[Sph-CO-H]-,[FA-3H]-,[Sph-NCCO-3H]-,[FA-CO-3H]-
Cer_ADS(d16:0/32:1)-H,748.71885,730.70825,716.69265,700.69765,272.26005,518.49425,254.24945,500.48375,240.23385,475.45265,211.20725,447.45775
Cer_ADS(d16:0/32:2)-H,746.70315,728.69265,714.67695,698.68205,272.26005,516.47865,254.24945,498.46805,240.23385,473.43695,211.20725,445.44205
Cer_ADS(d16:0/32:3)-H,744.68755,726.67695,712.66135,696.66635,272.26005,514.46295,254.24945,496.45235,240.23385,471.42125,211.20725,443.42635
Cer_ADS(d16:0/32:4)-H,742.67185,724.66135,710.64565,694.65075,272.26005,512.44735,254.24945,494.43675,240.23385,469.40565,211.20725,441.41075
Cer_ADS(d16:0/33:0)-H,764.75015,746.73955,732.72395,716.72905,272.26005,534.52555,254.24945,516.51505,240.23385,491.48395,211.20725,463.48895
Cer_ADS(d16:0/33:1)-H,762.73445,744.72395,730.70825,714.71335,272.26005,532.50995,254.24945,514.49935,240.23385,489.46825,211.20725,461.47335
Cer_ADS(d16:0/33:2)-H,760.71885,742.70825,728.69265,712.69765,272.26005,530.49425,254.24945,512.48375,240.23385,487.45265,211.20725,459.45775
Cer_ADS(d16:0/33:3)-H,758.70315,740.69265,726.67695,710.68205,272.26005,528.47865,254.24945,510.46805,240.23385,485.43695,211.20725,457.44205
Cer_ADS(d16:0/33:4)-H,756.68755,738.67695,724.66135,708.66635,272.26005,526.46295,254.24945,508.45235,240.23385,483.42125,211.20725,455.42635
Cer_ADS(d16:0/34:0)-H,778.76585,760.75525,746.73955,730.74465,272.26005,548.54115,254.24945,530.53065,240.23385,505.49955,211.20725,477.50465
Cer_ADS(d16:0/34:1)-H,776.75015,758.73955,744.72395,728.72905,272.26005,546.52555,254.24945,528.51505,240.23385,503.48395,211.20725,475.48895
Cer_ADS(d16:0/34:2)-H,774.73445,756.72395,742.70825,726.71335,272.26005,544.50995,254.24945,526.49935,240.23385,501.46825,211.20725,473.47335
Cer_ADS(d16:0/34:3)-H,772.71885,754.70825,740.69265,724.69765,272.26005,542.49425,254.24945,524.48375,240.23385,499.45265,211.20725,471.45775
Cer_ADS(d16:0/34:4)-H,770.70315,752.69265,738.67695,722.68205,272.26005,540.47865,254.24945,522.46805,240.23385,497.43695,211.20725,469.44205
Cer_ADS(d16:0/35:0)-H,792.78145,774.77085,760.75525,744.76035,272.26005,562.55685,254.24945,544.54635,240.23385,519.51515,211.20725,491.52025
Cer_ADS(d16:0/35:1)-H,790.76585,772.75525,758.73955,742.74465,272.26005,560.54115,254.24945,542.53065,240.23385,517.49955,211.20725,489.50465
Cer_ADS(d16:0/35:2)-H,788.75015,770.73955,756.72395,740.72905,272.26005,558.52555,254.24945,540.51505,240.23385,515.48385,211.20725,487.48895
Cer_ADS(d16:0/35:3)-H,786.73445,768.72395,754.70825,738.71335,272.26005,556.50995,254.24945,538.49935,240.23385,513.46825,211.20725,485.47335
Cer_ADS(d16:0/35:4)-H,784.71885,766.70825,752.69265,736.69765,272.26005,554.49425,254.24945,536.48375,240.23385,511.45265,211.20725,483.45775
Cer_ADS(d16:0/36:0)-H,806.79715,788.78645,774.77085,758.77595,272.26005,576.57255,254.24945,558.56195,240.23385,533.53085,211.20725,505.53595
Cer_ADS(d16:0/36:1)-H,804.78145,786.77085,772.75525,756.76035,272.26005,574.55685,254.24945,556.54635,240.23385,531.51515,211.20725,503.52025
Cer_ADS(d16:0/36:2)-H,802.76585,784.75525,770.73955,754.74465,272.26005,572.54115,254.24945,554.53065,240.23385,529.49955,211.20725,501.50465
Cer_ADS(d16:0/36:3)-H,800.75015,782.73955,768.72395,752.72905,272.26005,570.52555,254.24945,552.51505,240.23385,527.48385,211.20725,499.48895
Cer_ADS(d16:0/36:4)-H,798.73445,780.72395,766.70825,750.71335,272.26005,568.50995,254.24945,550.49935,240.23385,525.46825,211.20725,497.47335
Cer_ADS(d17:0/14:0)-H,512.46845,494.45785,480.44225,464.44725,286.27565,268.22825,268.26515,250.21765,254.24945,225.18655,225.22295,197.19165
Cer_ADS(d17:0/14:1)-H,510.45275,492.44225,478.42655,462.43165,286.27565,266.21255,268.26515,248.20195,254.24945,223.17095,225.22295,195.17595
Cer_ADS(d17:0/14:2)-H,508.43715,490.42655,476.41095,460.41595,286.27565,264.19695,268.26515,246.18635,254.24945,221.15525,225.22295,193.16035
Cer_ADS(d17:0/14:3)-H,506.42145,488.41095,474.39525,458.40035,286.27565,262.18125,268.26515,244.17075,254.24945,219.13965,225.22295,191.14465
Cer_ADS(d17:0/15:0)-H,526.48405,508.47355,494.45785,478.46295,286.27565,282.24385,268.26515,264.23335,254.24945,239.20225,225.22295,211.20725
Cer_ADS(d17:0/15:1)-H,524.46845,506.45785,492.44225,476.44725,286.27565,280.22825,268.26515,262.21765,254.24945,237.18655,225.22295,209.19165
Cer_ADS(d17:0/15:2)-H,522.45285,504.44225,490.42655,474.43165,286.27565,278.21255,268.26515,260.20195,254.24945,235.17095,225.22295,207.17595
Cer_ADS(d17:0/15:3)-H,520.43715,502.42655,488.41095,472.41595,286.27565,276.19695,268.26515,258.18635,254.24945,233.15525,225.22295,205.16035
Cer_ADS(d17:0/16:0)-H,540.49975,522.48915,508.47355,492.47865,286.27565,296.25955,268.26515,278.24895,254.24945,253.21785,225.22295,225.22295
Cer_ADS(d17:0/16:1)-H,538.48405,520.47355,506.45785,490.46295,286.27565,294.24385,268.26515,276.23335,254.24945,251.20225,225.22295,223.20725
Cer_ADS(d17:0/16:2)-H,536.46845,518.45785,504.44225,488.44725,286.27565,292.22825,268.26515,274.21765,254.24945,249.18655,225.22295,221.19165
Cer_ADS(d17:0/16:3)-H,534.45285,516.44225,502.42655,486.43165,286.27565,290.21255,268.26515,272.20195,254.24945,247.17095,225.22295,219.17595
Cer_ADS(d17:0/16:4)-H,532.43715,514.42655,500.41095,484.41595,286.27565,288.19695,268.26515,270.18635,254.24945,245.15525,225.22295,217.16035
Cer_ADS(d17:0/17:0)-H,554.51535,536.50485,522.48915,506.49425,286.27565,310.27515,268.26515,292.26455,254.24945,267.23355,225.22295,239.23855
Cer_ADS(d17:0/17:1)-H,552.49975,534.48915,520.47355,504.47865,286.27565,308.25955,268.26515,290.24895,254.24945,265.21785,225.22295,237.22295
Cer_ADS(d17:0/17:2)-H,550.48405,532.47355,518.45785,502.46295,286.27565,306.24385,268.26515,288.23335,254.24945,263.20225,225.22295,235.20725
Cer_ADS(d17:0/17:3)-H,548.46845,530.45785,516.44225,500.44725,286.27565,304.22825,268.26515,286.21765,254.24945,261.18655,225.22295,233.19165
Cer_ADS(d17:0/18:0)-H,568.53105,550.52045,536.50485,520.50985,286.27565,324.29085,268.26515,306.28025,254.24945,281.24915,225.22295,253.25425
Cer_ADS(d17:0/18:1)-H,566.51535,548.50485,534.48915,518.49425,286.27565,322.27515,268.26515,304.26455,254.24945,279.23355,225.22295,251.23855
Cer_ADS(d17:0/18:2)-H,564.49975,546.48915,532.47355,516.47855,286.27565,320.25955,268.26515,302.24895,254.24945,277.21785,225.22295,249.22295
Cer_ADS(d17:0/18:3)-H,562.48405,544.47355,530.45785,514.46295,286.27565,318.24385,268.26515,300.23335,254.24945,275.20225,225.22295,247.20725
Cer_ADS(d17:0/18:4)-H,560.46845,542.45785,528.44225,512.44735,286.27565,316.22825,268.26515,298.21765,254.24945,273.18655,225.22295,245.19165
Cer_ADS(d17:0/19:0)-H,582.54665,564.53615,550.52045,534.52555,286.27565,338.30645,268.26515,320.29585,254.24945,295.26485,225.22295,267.26985
Cer_ADS(d17:0/19:1)-H,580.53105,562.52045,548.50485,532.50985,286.27565,336.29085,268.26515,318.28025,254.24945,293.24915,225.22295,265.25425
Cer_ADS(d17:0/19:2)-H,578.51535,560.50485,546.48915,530.49425,286.27565,334.27515,268.26515,316.26455,254.24945,291.23355,225.22295,263.23855
Cer_ADS(d17:0/19:3)-H,576.49975,558.48915,544.47355,528.47855,286.27565,332.25955,268.26515,314.24895,254.24945,289.21785,225.22295,261.22295
Cer_ADS(d17:0/19:4)-H,574.48405,556.47355,542.45785,526.46295,286.27565,330.24385,268.26515,312.23335,254.24945,287.20225,225.22295,259.20725
Cer_ADS(d17:0/20:0)-H,596.56235,578.55175,564.53615,548.54115,286.27565,352.32215,268.26515,334.31155,254.24945,309.28045,225.22295,281.28555
Cer_ADS(d17:0/20:1)-H,594.54665,576.53615,562.52045,546.52555,286.27565,350.30645,268.26515,332.29585,254.24945,307.26485,225.22295,279.26985
Cer_ADS(d17:0/20:2)-H,592.53105,574.52045,560.50485,544.50985,286.27565,348.29085,268.26515,330.28025,254.24945,305.24915,225.22295,277.25425
Cer_ADS(d17:0/20:3)-H,590.51535,572.50485,558.48915,542.49425,286.27565,346.27515,268.26515,328.26455,254.24945,303.23355,225.22295,275.23855
Cer_ADS(d17:0/20:4)-H,588.49975,570.48915,556.47355,540.47855,286.27565,344.25955,268.26515,326.24895,254.24945,301.21785,225.22295,273.22295
Cer_ADS(d17:0/21:0)-H,610.57805,592.56745,578.55175,562.55685,286.27565,366.33775,268.26515,348.32725,254.24945,323.29615,225.22295,295.30115
