PS,[M+H]+,NL_head,T1RCOO+58,T2RCOO+58,T1_RCO+,T2_RCO+
PS(10:0_22:3)+H,730.46546,545.45651,391.32076,229.17986,155.14305,317.28395
PS(10:0_22:4)+H,728.44976,543.44081,389.30506,229.17986,155.14305,315.26825
PS(10:0_22:5)+H,726.43416,541.42521,387.28946,229.17986,155.14305,313.25265
PS(10:0_22:6)+H,724.41846,539.40951,385.27376,229.17986,155.14305,311.23695
PS(10:0_23:0)+H,750.52806,565.51911,411.38336,229.17986,155.14305,337.34655
PS(10:0_24:0)+H,764.54366,579.53471,425.39896,229.17986,155.14305,351.36215
PS(10:0_24:1)+H,762.52806,577.51911,423.38336,229.17986,155.14305,349.34655
PS(10:0_25:0)+H,778.55936,593.55041,439.41466,229.17986,155.14305,365.37785
PS(10:0_26:0)+H,792.57496,607.56601,453.43026,229.17986,155.14305,379.39345
PS(12:0_12:0)+H,624.38716,439.37821,257.21116,257.21116,183.17435,183.17435
PS(12:0_13:0)+H,638.40286,453.39391,271.22686,257.21116,183.17435,197.19005
PS(12:0_14:0)+H,652.41846,467.40951,285.24246,257.21116,183.17435,211.20565
PS(12:0_14:1)+H,650.40286,465.39391,283.22686,257.21116,183.17435,209.19005
PS(12:0_15:0)+H,666.43416,481.42521,299.25816,257.21116,183.17435,225.22135
PS(12:0_15:1)+H,664.41846,479.40951,297.24246,257.21116,183.17435,223.20565
PS(12:0_16:0)+H,680.44976,495.44081,313.27376,257.21116,183.17435,239.23695
PS(12:0_16:1)+H,678.43416,493.42521,311.25816,257.21116,183.17435,237.22135
PS(12:0_17:0)+H,694.46546,509.45651,327.28946,257.21116,183.17435,253.25265
PS(12:0_17:1)+H,692.44976,507.44081,325.27376,257.21116,183.17435,251.23695
PS(12:0_17:2)+H,690.43416,505.42521,323.25816,257.21116,183.17435,249.22135
PS(12:0_18:0)+H,708.48106,523.47211,341.30506,257.21116,183.17435,267.26825
PS(12:0_18:1)+H,706.46546,521.45651,339.28946,257.21116,183.17435,265.25265
PS(12:0_18:2)+H,704.44976,519.44081,337.27376,257.21116,183.17435,263.23695
PS(12:0_18:3)+H,702.43416,517.42521,335.25816,257.21116,183.17435,261.22135
PS(12:0_18:4)+H,700.41846,515.40951,333.24246,257.21116,183.17435,259.20565
PS(12:0_19:0)+H,722.49676,537.48781,355.32076,257.21116,183.17435,281.28395
PS(12:0_20:0)+H,736.51236,551.50341,369.33636,257.21116,183.17435,295.29955
PS(12:0_20:1)+H,734.49676,549.48781,367.32076,257.21116,183.17435,293.28395
PS(12:0_20:2)+H,732.48106,547.47211,365.30506,257.21116,183.17435,291.26825
PS(12:0_20:3)+H,730.46546,545.45651,363.28946,257.21116,183.17435,289.25265
PS(12:0_20:4)+H,728.44976,543.44081,361.27376,257.21116,183.17435,287.23695
PS(12:0_20:5)+H,726.43416,541.42521,359.25816,257.21116,183.17435,285.22135
PS(12:0_21:0)+H,750.52806,565.51911,383.35206,257.21116,183.17435,309.31525
PS(12:0_22:0)+H,764.54366,579.53471,397.36766,257.21116,183.17435,323.33085
PS(12:0_22:1)+H,762.52806,577.51911,395.35206,257.21116,183.17435,321.31525
PS(12:0_22:2)+H,760.51236,575.50341,393.33636,257.21116,183.17435,319.29955
PS(12:0_22:3)+H,758.49676,573.48781,391.32076,257.21116,183.17435,317.28395
PS(12:0_22:4)+H,756.48106,571.47211,389.30506,257.21116,183.17435,315.26825
PS(12:0_22:5)+H,754.46546,569.45651,387.28946,257.21116,183.17435,313.25265
PS(12:0_22:6)+H,752.44976,567.44081,385.27376,257.21116,183.17435,311.23695
PS(12:0_23:0)+H,778.55936,593.55041,411.38336,257.21116,183.17435,337.34655
PS(12:0_24:0)+H,792.57496,607.56601,425.39896,257.21116,183.17435,351.36215
PS(12:0_24:1)+H,790.55936,605.55041,423.38336,257.21116,183.17435,349.34655
PS(12:0_25:0)+H,806.59066,621.58171,439.41466,257.21116,183.17435,365.37785
PS(12:0_26:0)+H,820.60626,635.59731,453.43026,257.21116,183.17435,379.39345
PS(13:0_13:0)+H,652.41856,467.40961,271.22686,271.22686,197.19005,197.19005
PS(13:0_14:0)+H,666.43416,481.42521,285.24246,271.22686,197.19005,211.20565
PS(13:0_14:1)+H,664.41856,479.40961,283.22686,271.22686,197.19005,209.19005
PS(13:0_15:0)+H,680.44986,495.44091,299.25816,271.22686,197.19005,225.22135
PS(13:0_15:1)+H,678.43416,493.42521,297.24246,271.22686,197.19005,223.20565
PS(13:0_16:0)+H,694.46546,509.45651,313.27376,271.22686,197.19005,239.23695
PS(13:0_16:1)+H,692.44986,507.44091,311.25816,271.22686,197.19005,237.22135
PS(13:0_17:0)+H,708.48116,523.47221,327.28946,271.22686,197.19005,253.25265
PS(13:0_17:1)+H,706.46546,521.45651,325.27376,271.22686,197.19005,251.23695
PS(13:0_17:2)+H,704.44986,519.44091,323.25816,271.22686,197.19005,249.22135
PS(13:0_18:0)+H,722.49676,537.48781,341.30506,271.22686,197.19005,267.26825
PS(13:0_18:1)+H,720.48116,535.47221,339.28946,271.22686,197.19005,265.25265
PS(13:0_18:2)+H,718.46546,533.45651,337.27376,271.22686,197.19005,263.23695
PS(13:0_18:3)+H,716.44986,531.44091,335.25816,271.22686,197.19005,261.22135
PS(13:0_18:4)+H,714.43416,529.42521,333.24246,271.22686,197.19005,259.20565
PS(13:0_19:0)+H,736.51246,551.50351,355.32076,271.22686,197.19005,281.28395
PS(13:0_20:0)+H,750.52806,565.51911,369.33636,271.22686,197.19005,295.29955
PS(13:0_20:1)+H,748.51246,563.50351,367.32076,271.22686,197.19005,293.28395
PS(13:0_20:2)+H,746.49676,561.48781,365.30506,271.22686,197.19005,291.26825
PS(13:0_20:3)+H,744.48116,559.47221,363.28946,271.22686,197.19005,289.25265
PS(13:0_20:4)+H,742.46546,557.45651,361.27376,271.22686,197.19005,287.23695
PS(13:0_20:5)+H,740.44986,555.44091,359.25816,271.22686,197.19005,285.22135
PS(13:0_21:0)+H,764.54376,579.53481,383.35206,271.22686,197.19005,309.31525
